String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination,DOI
"Brian, A. (1921). I Copepodi Harpacticoidi del Golfo di Genova. Studi del Laboratorio Marino di Quarto dei Mille Presso, Genova 1-112, figs. 1-38, pls. 1-2.","Brian, A.",1921,I Copepodi Harpacticoidi del Golfo di Genova.,,Studi del Laboratorio Marino di Quarto dei Mille Presso,,Genova,,,"1-112, figs. 1-38, pls.1-12. SIL q QL444 .C74B84 1921",
"Richer de Forges, B. (1993). Campagnes d'exploration de la faune bathyale faites depuis mai 1989 dans la zone économique de la Nouvelle-Calédonie. Liste des stations. <em>Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 10. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 156: 27-32.","Richer de Forges, B.",1993,Campagnes d'exploration de la faune bathyale faites depuis mai 1989 dans la zone économique de la Nouvelle-Calédonie. Liste des stations,Résultats des Campagnes MUSORSTOM 10,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,156,,27-32,
"Hardy, J.; Bold, T.J. (1851). A catalogue of the insects of Northumberland and Durham (Part ii). <em>Transactions of the Tyneside Naturalists' Field Club.</em> 2(1): 21-97.","Hardy, J.; Bold, T.J.",1851,A catalogue of the insects of Northumberland and Durham (Part ii).,,Transactions of the Tyneside Naturalists' Field Club,,,2,1,21-97,
"Bayer, F.M. (1981). Key to the genera of Octocorallia exclusive of Pennatulacea (Coelenterata: Anthozoa), with diagnoses of new taxa. <em>Proc. Biol. Soc. Wash.</em> 94(3): 902-947.","Bayer, F.M.",1981,"Key to the genera of Octocorallia exclusive of Pennatulacea (Coelenterata: Anthozoa), with diagnoses of new taxa",,Proc. Biol. Soc. Wash.,,,94,3,902-947,
"Danovaro, R.; Fabiano, M.; Vincx, M. (1995). Meiofauna response to the Agip Abruzzo oil spill in subtidal sediments of the Ligurian Sea. <em>Marine Pollution Bulletin.</em> 30(2): 133-145.","Danovaro, R.; Fabiano, M.; Vincx, M.",1995,Meiofauna response to the Agip Abruzzo oil spill in subtidal sediments of the Ligurian Sea,,Marine Pollution Bulletin,,,30,2,133-145,
"Rabaut, M.; Degraer, S.; Schrijvers, J.; Derous, S.; Bogaert, D.; Maes, F.; Vincx, M.; Cliquet, A. (2009). Policy analysis of the ‘MPA-process' in temperate continental shelf areas. <em>Aquatic Conservation: Marine and Freshwater Ecosystems.</em> 19(5): 596-608.","Rabaut, M.; Degraer, S.; Schrijvers, J.; Derous, S.; Bogaert, D.; Maes, F.; Vincx, M.; Cliquet, A.",2009,Policy analysis of the ‘MPA-process' in temperate continental shelf areas,,Aquatic Conservation: Marine and Freshwater Ecosystems,,,19,5,596-608,10.1002/aqc.985
Liénard E. (1870). Description d'espèces nouvelles provenant de l'Ile Maurice. <em>Journal de Conchyliologie.</em> 18: 304-305.,Liénard E.,1870,Description d'espèces nouvelles provenant de l'Ile Maurice,,Journal de Conchyliologie,,,18,,304-305,
"Massin, C.; Norro, A.; Mallefet, J. (2002). Biodiversity of a wreck from the Belgian Continental Shelf: monitoring using scientific diving. Preliminary results. <em>Bulletin de l'Institut Royal des Sciences Naturelles de Belgique (Biologie).</em> 72: 67-72.","Massin, C.; Norro, A.; Mallefet, J.",2002,Biodiversity of a wreck from the Belgian Continental Shelf: monitoring using scientific diving. Preliminary results.,,Bulletin de l'Institut Royal des Sciences Naturelles de Belgique (Biologie),,,72,,67-72,
"Whitelegge, T. (1902). Notes on Lendenfeld's types described in the catalogue of sponges in the Australian Museum. <em>Records of the Australian Museum.</em> 4 (7): 274-288.","Whitelegge, T.",1902,Notes on Lendenfeld's types described in the catalogue of sponges in the Australian Museum.,,Records of the Australian Museum,,,4,7,274-288,
"Leloup, Eugène. (1937). Contributions à l'étude de la faune belge. VIII. Les dégâts causés par le ver polychète <i>Polydora ciliata</i> (Johnston) dans les coquilles des bigorneaux et des huîtres [Contributions to the study of the Belgian fauna: VIII. The damage caused by the worm <i>Polydora ciliata</i> (Johnston) in the shells of periwinkles and oysters]. <em>Bulletin du Musée Royal d'Histoire Naturelle de Belgique / Mededeelingen van het Koninklijk Natuurhistorisch Museum van België.</em> 13(33): 1-4, plate I.","Leloup, Eugène",1937,Contributions à l'étude de la faune belge. VIII. Les dégâts causés par le ver polychète <i>Polydora ciliata</i> (Johnston) dans les coquilles des bigorneaux et des huîtres [Contributions to the study of the Belgian fauna: VIII. The damage caused by the worm <i>Polydora ciliata</i> (Johnston) in the shells of periwinkles and oysters].,,Bulletin du Musée Royal d'Histoire Naturelle de Belgique / Mededeelingen van het Koninklijk Natuurhistorisch Museum van België,,,13,33,"1-4, 1 plate",
"Dautzenberg, P. (1891). Voyage de la goëlette Melita aux Canaries et au Sénégal, 1889-1890: Mollusques Testacés. <em>Mémoires de la Société Zoologique de France.</em> 4: 16-65, pl. 3.","Dautzenberg, P.",1891,"Voyage de la goëlette Melita aux Canaries et au Sénégal, 1889-1890: Mollusques Testacés",,Mémoires de la Société Zoologique de France,,,4,,"16-65, plate 3",
"Karling, T. G. (1947). Studien über Kalyptorhynchien (Turbellaria). I. Die Familien Placorhynchidae und Gnathorhynchidae. <em>Acta Zoologica Fennica. Societas pro Fauna et Flora Fennica.</em> 50:1-64.","Karling, T. G.",1947,Studien über Kalyptorhynchien (Turbellaria). I. Die Familien Placorhynchidae und Gnathorhynchidae.,,Acta Zoologica Fennica,Societas pro Fauna et Flora Fennica,,50,,1-64,
"Schockaert, E.R. (1982). Turbellaria from Somalia 2. Kalyptorhynchia (part 2). <em>Monitore Zoologico Italiano.</em> 18: 81–96.","Schockaert, E.R.",1982,Turbellaria from Somalia 2. Kalyptorhynchia (part 2),,Monitore Zoologico Italiano,,,18,,81-96,
"Humes, A.G. (1957). Deux Copépodes Harpacticoïdes nouveaux du genre Tisbe, parasites des Holothuries de la Méditerranée. <em>Vie et Milieu.</em> 8(1):9-22, figs. 1-53. (vi-1957).","Humes, A.G.",1957,"Deux Copépodes Harpacticoïdes nouveaux du genre Tisbe, parasites des Holothuries de la Méditerranée.",,Vie et Milieu,,,8,1,9-22,
"Gofas, S.; Le Renard, J.; Bouchet, P. (2001). Mollusca. in: Costello, M.J. et al. (eds), European Register of Marine Species: a check-list of the marine species in Europe and a bibliography of guides to their identification. <em>Patrimoines Naturels.</em> 50: 180-213.","Gofas, S.; Le Renard, J.; Bouchet, P.",2001,"Mollusca. in: Costello, M.J. et al. (eds), European Register of Marine Species: a check-list of the marine species in Europe and a bibliography of guides to their identification.",European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification,Patrimoines Naturels,,,50,,180-213,
"Sterrer, W. (1991). <i>Triplignathia adriatica</i>, new genus and species, and a typology of mouth parts in Austrognathiidae (Ganthostomulida). <em>Proc. Biol. Soc. Wash.</em> 104(3): 640-646.","Sterrer, W.",1991,"<i>Triplignathia adriatica</i>, new genus and species, and a typology of mouth parts in Austrognathiidae (Ganthostomulida)",,Proc. Biol. Soc. Wash.,,,104,3,640-646,
"Polk, P. (1976). Inventarisatie plankton: fauna en flora [Plankton inventory : fauna and flora].","Polk, P.",1976,Inventarisatie plankton: fauna en flora [Plankton inventory : fauna and flora],Project Sea final report: 7. Inventory of fauna and flora.,,,,,,233-311,
"Gofas, S.; Moreno, D.; Salas, C. (2011). Moluscos marinos de Andalucía: I. Introducción general, clase Solenogastres, clase Caudofoveata, clase Polyplacophora y clase Gastropoda (Prosobranchia). Servicio de Publicaciones e Intercambio Científico, Universidad de Málaga: Málaga. ISBN 978-84-9747-381-1. XVI, 1-342 pp.","Gofas, S. & Salas, C",2011,Molluscos marinos de Andalucía,,,Universidad de Málaga,Málaga,,,"XVI, 1-342",
"Galil, B. S.; Golani, D. (1990). Two new migrant decapods from the eastern Mediterranean. <em>Crustaceana.</em> 58(3): 229-236.","Galil, B. S.; Golani, D.",1990,Two new migrant decapods from the eastern Mediterranean,,Crustaceana,,,58,3,229-236,
"De Blauwe, H.; Faasse, M. A. (2004). <i>Smittoidea prolifica</i> Osburn, 1952 (Bryozoa, Cheilostomatida), a Pacific bryozoan introduced to The Netherlands (Northeast Atlantic). <em>Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen. Biologie.</em> 74: 33-39.","De Blauwe, H.; Faasse, M. A.",2004,"<i>Smittoidea prolifica</i> Osburn, 1952 (Bryozoa, Cheilostomatida), a Pacific bryozoan introduced to The Netherlands (Northeast Atlantic).",,Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen. Biologie,,,74,,33-39,
"Wang, S. (1998). On new and rare species of Mysidacea (Crustacea) from the Northern South China Sea. <em>Studia Marina Sinica.</em> 40: 199-244.","Wang, S.",1998,On new and rare species of Mysidacea (Crustacea) from the Northern South China Sea,,Studia Marina Sinica,,,40,,199-244,
"Sars, G.O. (1907). Mysidae. <em>Trudy Kaspiiskoi Ekspeditsii.</em> 1: 243-313.","Sars, G.O.",1907,Mysidae,,Trudy Kaspiiskoi Ekspeditsii,,,,,243-313,
"Decraemer, W.; Coomans, A. (1978). Scientific Report on the Belgian Expedition to the Great Barrier Reef in 1967. Nematodes XIII. A Description of Four New Species and a Redescription of Four Known Species from in and around Mangroves on Lizard Island. <em>Marine and Freshwater Research.</em> 29(4): 509-541.","Decraemer, W.; Coomans, A.",1978,Scientific Report on the Belgian Expedition to the Great Barrier Reef in 1967. Nematodes XIII. A Description of Four New Species and a Redescription of Four Known Species from in and around Mangroves on Lizard Island,,Marine and Freshwater Research,,,29,4,509-541,10.1071/mf9780509
"Van Soest, R.W.M. (1990). <i>Monanchora stocki</i> n. sp. (Porifera, Poecilosclerida) from the Mid-Atlantic Islands. <em>Bijdragen tot de Dierkunde.</em> 60 (3-4): 249-255.","Van Soest, R.W.M.",1990,"<i>Monanchora stocki</i> n. sp. (Porifera, Poecilosclerida) from the Mid-Atlantic Islands",,Bijdragen tot de Dierkunde,,,60,3-4,249-255,
"Anker, A.; Hultgren, K. M.; De Grave, S. (2017). Synalpheus pinkfloydi sp. nov., a new pistol shrimp from the tropical eastern Pacific (Decapoda: Alpheidae). <em>Zootaxa.</em> 4254(1): 111-119.","Anker, A.; Hultgren, K. M.; De Grave, S.",2017,"Synalpheus pinkfloydi sp. nov., a new pistol shrimp from the tropical eastern Pacific (Decapoda: Alpheidae)",,Zootaxa,,,4254,1,111-119,10.11646/zootaxa.4254.1.7
"El-Rashidy, H. H.; Boxshall, G. A. (2012). A new copepod (Siphonostomatoida: Lernanthropidae) parasitic on a Red Sea immigrant dragonet (Actinopterygii: Callionymidae), with a review of records of parasitic copepods from dragonets. <em>Systematic Parasitology.</em> 81(2): 87-96.","El-Rashidy, H. H.; Boxshall, G. A.",2012,"A new copepod (Siphonostomatoida: Lernanthropidae) parasitic on a Red Sea immigrant dragonet (Actinopterygii: Callionymidae), with a review of records of parasitic copepods from dragonets",,Systematic Parasitology,,,81,2,87-96,10.1007/s11230-011-9326-7
"Thomson, G.M. (1890). A new parasitic copepod. Transactions of the New Zealand Institute 23:227-229, pl. 23.","Thomson, G.M.",1890,A new parasitic copepod.,,Transactions of the New Zealand Institute,,,23,,"227-229, plate 23",
"Rappé, G. (1989). <i>Haliclona xena</i> de Weerdt, 1986 (Porifera, Desmospongiae), <i>Petrobius maritimus</i> (Leach) (Insecta, Thysanura) and some other exceptional observations on the eastern harbour jetty of Zeebrugge [<i>Haliclona xena</i> de Weerdt, 1986 (Porifera, Desmospongiae), <i>Petrobius maritimus</i> (Leach) (Insecta, Thysanura) en enkele andere bijzondere waarnemingen van de oostelijke strekdam van Zeebrugge]. <em>De Strandvlo.</em> 9(4): 113-116.","Rappé, G.",1989,"<i>Haliclona xena</i> de Weerdt, 1986 (Porifera, Desmospongiae), <i>Petrobius maritimus</i> (Leach) (Insecta, Thysanura) and some other exceptional observations on the eastern harbour jetty of Zeebrugge [<i>Haliclona xena</i> de Weerdt, 1986 (Porifera, Desmospongiae), <i>Petrobius maritimus</i> (Leach) (Insecta, Thysanura) en enkele andere bijzondere waarnemingen van de oostelijke strekdam van Zeebrugge].",,De Strandvlo,,,9,4,113-116,
"David, B.; De Ridder, C. (1989). Echinodermes: Échinides irréguliers. <em>in: Forest, J. (Ed.) Résultats des Campagnes MUSORSTOM 4. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 143: 203-227.","David, B.; De Ridder, C.",1989,Echinodermes: Échinides irréguliers,Résultats des Campagnes MUSORSTOM 4,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,143,,203-227,
"Chitwood, B. G. (1951). North American marine nematodes. <em>Texas J. Sci.</em> 3(4): 617-672.","Chitwood, B. G.",1951,North American marine nematodes,,Texas J. Sci.,,,3,4,617-672,
"Micali, P.; Palazzi, S. (1992). Contributo alla conoscenza dei Pyramidellidae della Turchia, con segnalazione di due nuove immigrazioni dal Mar Rosso. <em>Bollettino Malacologico.</em> 28(1-4): 83-90.","Micali, P.; Palazzi, S.",1992,"Contributo alla conoscenza dei Pyramidellidae della Turchia, con segnalazione di due nuove immigrazioni dal Mar Rosso",,Bollettino Malacologico,,,28,1-4,83-90,
"Sars, G.O. (1879). Extracts from Prof. G.O. Sars's report on the Norwegian Atlantic Expedition of 1876. <em>Report of the Commissioner 1877.</em> 681-692.","Sars, G.O.",1879,Extracts from Prof. G.O. Sars's report on the Norwegian Atlantic Expedition of 1876,,Report of the Commissioner 1877,,,,,681-692,
"Heip, C., R.M. Warwick, M.R. Carr, P.M.J. Herman, R. Huys, N. Smol & K. van Holsbeke. (1988). Analysis of community attributes of the benthic meiofauna of Frierfjord/Langesundfjord. <em>Marine Ecology Progress Series.</em> 46:171-180, figs. 1-16, tab. 1. (30.vi.1988).","Heip, C., R.M. Warwick, M.R. Carr, P.M.J. Herman, R. Huys, N. Smol & K. van Holsbeke",1988,Analysis of community attributes of the benthic meiofauna of Frierfjord/Langesundfjord.,,Marine Ecology Progress Series,,,46,,"171-180, figs. 1-16, tab. 1. (30.vi.1988)",
"Dautzenberg, Ph. (1893). Contribution à la faune malacologique des Ïles Séchelles: récoltes de MM. Ch. Alluaud, A. Fauvel et Philibert. <em>Bull. Soc. Zool. Fr.</em> XVIII: 78-84.","Dautzenberg, Ph.",1893,"Contribution à la faune malacologique des Ïles Séchelles: récoltes de MM. Ch. Alluaud, A. Fauvel et Philibert",,Bull. Soc. Zool. Fr.,,,XVIII,,78-84,
"Boets, P.; Lock, K.; Goethals, P. L. M. (2011). Assessing the importance of alien macro-Crustacea (Malacostraca) within macroinvertebrate assemblages in Belgian coastal harbours. <em>Helgoland Marine Research.</em> 66(2): 175-187.","Boets, P.; Lock, K.; Goethals, P. L. M.",2011,Assessing the importance of alien macro-Crustacea (Malacostraca) within macroinvertebrate assemblages in Belgian coastal harbours,,Helgoland Marine Research,,,66,2,175-187,10.1007/s10152-011-0259-y
"Galil, B. S.; Pisanty, S.; Spanier, E.; Tom, M. (1989). The Indo-Pacific lobster <i>Panulirus ornatus</i> (Fabricius, 1798) (Crustacea: Decapoda): a new Lessepsian migrant to the eastern Mediterranean. <em>Israel Journal of Zoology.</em> 35(4): 241-243.","Galil, B. S.; Pisanty, S.; Spanier, E.; Tom, M.",1989,"The Indo-Pacific lobster <i>Panulirus ornatus</i> (Fabricius, 1798) (Crustacea: Decapoda): a new Lessepsian migrant to the eastern Mediterranean",,Israel Journal of Zoology,,,35,4,241-243,
"Huys, R. & T.M. Iliffe. (1998). Novocriniidae, a new family of harpacticoid copepods from anchihaline caves in Belize. <em>Zoologica Scripta.</em> 27(1): 1-15.","Huys, R. & T.M. Iliffe",1998,"Novocriniidae, a new family of harpacticoid copepods from anchihaline caves in Belize.",,Zoologica Scripta,,,27,1,1-15,10.1111/j.1463-6409.1998.tb00425.x
"de Saint Laurent, M.; Poupin, J. (1996). Crustacea Anomura: Les espèces indo-ouest pacifiques du genre Eumunida Smith, 1880 (Chirostylidae). Description de six espèces nouvelles. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 15. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 168: 337-385.","de Saint Laurent, M.; Poupin, J.",1996,"Crustacea Anomura: Les espèces indo-ouest pacifiques du genre Eumunida Smith, 1880 (Chirostylidae). Description de six espèces nouvelles",Résultats des Campagnes MUSORSTOM 15,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,168,,337-385,
"Bowman, T. E. (1978). Revision of the pelagic amphipod genus Primno (Hyperiidea: Phrosinidae). <em>Smithsonian Contributions to Zoology.</em> 275: 1-23.","Bowman, T. E.",1978,Revision of the pelagic amphipod genus Primno (Hyperiidea: Phrosinidae),,Smithsonian Contributions to Zoology,,,275,,1-23,10.5479/si.00810282.275
"Borojevic, R.; Boury-Esnault, N.; Manuel, M.; Vacelet, J. (2002). Order Leucosolenida Hartman, 1958. Pp. 1157-1184. <em>In: Hooper, J.N.A.; Van Soest, R.W.M. (eds) (2002). Systema Porifera: a guide to the classification of sponges. 2 volumes.</em> Kluwer Academic/Plenum, NY, 1708 + xvliii. ISBN 0-306-47260-0 (printed version).","Borojevic, R.; Boury-Esnault, N.; Manuel, M.; Vacelet, J.",2002,"Order Leucosolenida Hartman, 1958. Pp. 1157-1184",Systema Porifera: a guide to the classification of sponges. 2 volumes,,Kluwer Academic/Plenum,NY,,,1708 + xvliii,
"Orsi Relini, L. (2002). Occurrence of the South American fish <i>Pinguipes brasilianus</i> (Pinguipedidae) in the Mediterranean. <em>Cybium.</em> 26(2): 147-149.","Orsi Relini, L.",2002,Occurrence of the South American fish <i>Pinguipes brasilianus</i> (Pinguipedidae) in the Mediterranean,,Cybium,,,26,2,147-149,
"Karaytug, S. & R. Huys. (2004). Taxonomic position of and generic distinction between Parepactophanes Kunz, 1935 and Taurocletodes Kunz, 1975 (Copepoda, Canthocamptidae incertae sedis), with description of a new species from the Black Sea. <em>Zoological Journal of the Linnean Society.</em> 140(4): 469-486.","Karaytug, S. & R. Huys",2004,"Taxonomic position of and generic distinction between Parepactophanes Kunz, 1935 and Taurocletodes Kunz, 1975 (Copepoda, Canthocamptidae incertae sedis), with description of a new species from the Black Sea",,Zoological Journal of the Linnean Society,,,140,4,469-486,10.1111/j.1096-3642.2003.00101.x
"De Troch, M., F. Fiers & M. Vincx. (2001). Alpha and beta diversity of harpacticoid copepods in a tropical seagrass bed: the relation between diversity and species' range size distribution. <em>Marine Ecology Progress Series.</em> 215: 225-236.","De Troch, M., F. Fiers & M. Vincx",2001,Alpha and beta diversity of harpacticoid copepods in a tropical seagrass bed: the relation between diversity and species' range size distribution,,Marine Ecology Progress Series,,,215,,225-236,10.3354/meps215225
"Blome, D. (1982). Systematik der Nematoda eines Sandstrandes der Nordseeinsel Sylt. <em>Mikrofauna des Meeresbodens.</em> 86: 1-194.","Blome, D.",1982,Systematik der Nematoda eines Sandstrandes der Nordseeinsel Sylt,,Mikrofauna des Meeresbodens,,,86,,194,
"Bavestrello, G.; Calcinai, B.; Cerrano, C.; Sarà, M. (1998). <i>Alectona</i> species from north-western Pacific (Demospongiae: Clionidae). <em>Journal of the Marine Biological Association of the United Kingdom.</em> 78 (1): 59-73.","Bavestrello, G.; Calcinai, B.; Cerrano, C.; Sarà, M.",1998,<i>Alectona</i> species from north-western Pacific (Demospongiae: Clionidae),,Journal of the Marine Biological Association of the United Kingdom,,,78,1,59-73,
"Sars, G.O. (1877). Nye Bidrag til Kundskaben om Middelhavets Invertebratfauna I. Middelhavets Mysider. <em>Arch. Math. Naturvidenskaberne.</em> 2: 10-119, 36pls.","Sars, G.O.",1877,Nye Bidrag til Kundskaben om Middelhavets Invertebratfauna I. Middelhavets Mysider,,Arch. Math. Naturvidenskaberne,,,2,,"10-119, 36pls",
"Schultz, H. (2005). Sea Urchins: a guide to worldwide shallow water species. <em>Heinke & Peter Schultz Partner, Hemdingen.</em> 484 pp.","Schultz, H.",2005,Sea Urchins: a guide to worldwide shallow water species,,"Heinke & Peter Schultz Partner, Hemdingen",,,,,484,
"Bellan-Santini, D.; Karaman, G.; Krapp-Schickel, G.; Ledoyer, M.; Myers, A.A.; Ruffo, S.; Schiecke, U. (1982). The Amphipoda of the Mediterranean. Part 1: Gammaridae (Acanthonotozomatidae to Gammaridae). <em>Mémoires de l'Institut océanographique, Monaco.</em> 13: 1-364.","Bellan-Santini, D.; Karaman, G.; Krapp-Schickel, G.; Ledoyer, M.; Myers, A.A.; Ruffo, S.; Schiecke, U.",1982,The Amphipoda of the Mediterranean. Part 1: Gammaridae (Acanthonotozomatidae to Gammaridae),,"Mémoires de l'Institut océanographique, Monaco",,,13,,364,
