String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination
"(1999). 13th Biennial Conference on the Biology of Marine Mammals: abstracts. Wailea, Maui, Hawaii, 28 November-3 December, 1999. Society for Marine Biology: [s.l.].  226 pp.",,1999,"13th Biennial Conference on the Biology of Marine Mammals: abstracts. Wailea, Maui, Hawaii, 28 November-3 December, 1999",,,Society for Marine Biology,,,,226
"(1999). Schelde Nieuwsbrief 5(20). <i>Schelde Nieuwsbrief</i>, 5(20). [S.n.]: [s.l.].",,1999,Schelde Nieuwsbrief 5(20),,Schelde Nieuwsbrief,,,5,20,
"(2000). Meeting of the <i>ad hoc</i> working group on Oceanographic Data Exchange Policy, UNESCO Headquarters, Paris, France, 15-17 May  2000. Revised. <i>IOC Information Documents</i>, 1144. UNESCO: Paris.  13 + annexes pp.",,2000,"Meeting of the <i>ad hoc</i> working group on Oceanographic Data Exchange Policy, UNESCO Headquarters, Paris, France, 15-17 May  2000",,IOC Information Documents,UNESCO,Paris,1144,,13 + annexes
(2003). 2003 Annual Combined Cumulative Index for Cambridge Scientific Abstracts Journals [CD-ROM]. Cambridge Scientific Abstracts: Bethesda.  cd-rom pp.,,2003,2003 Annual Combined Cumulative Index for Cambridge Scientific Abstracts Journals [CD-ROM],,,Cambridge Scientific Abstracts,Bethesda,,,cd-rom
(2003). Abdichtung beim Westerschelde-Tunnel und bei der Metro Kopenhagen = Seals for the Westerschelde tunnel and the Copenhagen metro. <i>Tunnel 8</i>,,2003,Abdichtung beim Westerschelde-Tunnel und bei der Metro Kopenhagen = Seals for the Westerschelde tunnel and the Copenhagen metro,,,,,8,,
(2003). Generic depth-damage relationships for residential structures without basements: economic guidance memorandum #04-01. [S.n.]: [s.l.].  17 pp.,,2003,Generic depth-damage relationships for residential structures without basements: economic guidance memorandum #04-01,,,[S.n.],,,,17
"(2004). Caring for the sea: accomplishments, activities and future of the United Nations GESAMP. <i>IOC Information Documents</i>, 1197. UNESCO: Paris.  14 pp.",,2004,"Caring for the sea: accomplishments, activities and future of the United Nations GESAMP",,IOC Information Documents,UNESCO,Paris,1197,,14
(2004). Naar een duurzame Belgische visserijsector: analyserapport bij het strategisch plan voor de Stichting voor Duurzame Visserijontwikkelling: eindrapport. Policy Research Corporation: Antwerpen.  44 pp.,,2004,Naar een duurzame Belgische visserijsector: analyserapport bij het strategisch plan voor de Stichting voor Duurzame Visserijontwikkelling: eindrapport,,,Policy Research Corporation,Antwerpen,,,44
"(2004). Vis uit de Baltische Zee = Fish of the Baltic Sea. Twenty-language edition. Office for Official Publications of the European Communities: Luxembourg. ISBN 92-894-7795-4. 52, ill. pp.",,2004,Vis uit de Baltische Zee = Fish of the Baltic Sea,,,Office for Official Publications of the European Communities,Luxembourg,,,"52, ill."
"(2005). EEA core set of indicators guide. <i>EEA Technical Report</i>, 2005(1). European Environment Agency: Copenhagen. ISBN 92-9167-757-4. 37 pp.",,2005,EEA core set of indicators guide,,EEA Technical Report,European Environment Agency,Copenhagen,2005,1,37
(2006). Dossier de waterbeheerplannen: plannen voor de elf bekkens. <i>Verrekijker (Erembodegem) december</i>: 20-21,,2006,Dossier de waterbeheerplannen: plannen voor de elf bekkens,,Verrekijker,,,december,,20-21
(2006). Duurzaam lokaal waterplan: deelbekken Mangelbeek. [S.n.]: [s.l.].  130 + maps pp.,,2006,Duurzaam lokaal waterplan: deelbekken Mangelbeek,,,,,,,130 + maps
"(2006). MarinERA Newsletter 2. <i>MarinERA Newsletter</i>, 2. [S.n.]: [s.l.].",,2006,MarinERA Newsletter 2,,MarinERA Newsletter,,,2,,
"(2006). Oceans of opportunity - exploring Ireland’s marine resources: Review of Projects 2000-2005 supported under the Marine Research, Technology, Development & Innovation (RTDI) measure (NDP 2000-2006). Marine Institute. Foras na Mara: Galway.  76 pp.",,2006,"Oceans of opportunity - exploring Ireland’s marine resources: Review of Projects 2000-2005 supported under the Marine Research, Technology, Development & Innovation (RTDI) measure (NDP 2000-2006)",,,Marine Institute. Foras na Mara,Galway,,,76
(2007). Chemische kwaliteit van de bodem van de Beneden-Zeeschelde (campagne 2007). Vlaamse Milieumaatschappij: Aalst.,,2007,Chemische kwaliteit van de bodem van de Beneden-Zeeschelde (campagne 2007),,,Vlaamse Milieumaatschappij,Aalst,,,
(2007). Ecotopenkaart 2003 / 2004 Westerschelde - Zeeschelde; Kaart 1a. IMDC: Antwerpen.  1 pp.,,2007,Ecotopenkaart 2003 / 2004 Westerschelde - Zeeschelde; Kaart 1a,,,IMDC,Antwerpen,,,1
"(2007). Symposium Entretiens de Port-Cros 4 = Port-Cros Conference 4. Changement Climatique et Biodiversité des Ecosystèmes Marins = Climate Change and Biodiversity of Marine Ecosystems. 3-5 October 2007, Porquerolles, France. Total Fondation d'entreprise Pour la biodiversité et la mer: Paris.  1 booklet (20 pp.) + 1 CDROM, 1 DVD pp.",,2007,"Symposium Entretiens de Port-Cros 4 = Port-Cros Conference 4. Changement Climatique et Biodiversité des Ecosystèmes Marins = Climate Change and Biodiversity of Marine Ecosystems. 3-5 October 2007, Porquerolles, France",,,Total Fondation d'entreprise Pour la biodiversité et la mer,Paris,,,"1 booklet (20 pp.) + 1 CDROM, 1 DVD"
"(2008). Climate change impacts on population dynamics of <i>Ips typographus</i> (L.) using fine scale climate change scenario, <b><i>in</i></b>: <i>International conference on adaptation of forests and forest management to changing climate with emphasis on forest health : a review of science, policies and practices : book of abstracts and premilinary programme.</i> pp. 93",,2008,Climate change impacts on population dynamics of <i>Ips typographus</i> (L.) using fine scale climate change scenario,"International conference on adaptation of forests and forest management to changing climate with emphasis on forest health : a review of science, policies and practices : book of abstracts and premilinary programme",,,,,,93
"(2008). Jan De Nul in Dubai 1, <b><i>in</i></b>: <i>De waterbouwers [DVD].</i> pp. Aflevering 1",,2008,Jan De Nul in Dubai 1,De waterbouwers [DVD],,,,,,Aflevering 1
"(2009). IOC Committee on International Oceanographic Data and Information Exchange, Twentieth Session, China People’s Palace, Beijing, China, 4-8 May 2009. <i>Reports of Governing and Major Subsidiary Bodies = Rapports des organes directeurs et des principaux organes subsidiaires. Intergovernmental Oceanographic Commission (IOC) = Commision océanographique intergouvernementale</i>, 135. IOC: Paris.  iii, 79 + annexes pp.",,2009,"IOC Committee on International Oceanographic Data and Information Exchange, Twentieth Session, China People’s Palace, Beijing, China, 4-8 May 2009",,Reports of Governing and Major Subsidiary Bodies = Rapports des organes directeurs et des principaux organes subsidiaires. Intergovernmental Oceanographic Commission (IOC) = Commision océanographique intergouvernementale,IOC,Paris,135,,"iii, 79 + annexes"
(2009). Onderzoek bij de kampeerautotoeristen aan de Vlaamse Kust (zomer 2009). Toerisme Vlaanderen: Brugge.,,2009,Onderzoek bij de kampeerautotoeristen aan de Vlaamse Kust (zomer 2009),,,Toerisme Vlaanderen,Brugge,,,
"(2009). Voorstel voor een 'Richtlijn van het Europees parlement en de raad' betreffende meldingsformaliteiten voor schepen die aankomen in en/of vertrekken uit havens van de lidstaten van de Gemeenschap en tot intrekking van Richtlijn 2002/6/EG. <i>Documents - Commission of the European Communities</i>, COM(2009)(11 definitief). Commissie van de Europese Gemeenschappen: Brussel.  19 pp.",,2009,Voorstel voor een 'Richtlijn van het Europees parlement en de raad' betreffende meldingsformaliteiten voor schepen die aankomen in en/of vertrekken uit havens van de lidstaten van de Gemeenschap en tot intrekking van Richtlijn 2002/6/EG,,Documents - Commission of the European Communities,Commissie van de Europese Gemeenschappen,Brussel,COM(2009),11 definitief,19
(2009). WCT of outstanding importance. <i>Zeeland Port News 4(3)</i>: 4,,2009,WCT of outstanding importance,,Zeeland Port News,,,4,3,4
(2010). Conclusions on joint programming in research. Council of the European Union: Brussels.  3 pp.,,2010,Conclusions on joint programming in research,,,Council of the European Union,Brussels,,,3
"(2013). In de branding, <b><i>in</i></b>: <i>De Grote Rede 35. De Grote Rede: Nieuws over onze Kust en Zee,</i> 35: pp. 34-35",,2013,In de branding,De Grote Rede 35,De Grote Rede: Nieuws over onze Kust en Zee,,,,,34-35
"(2019). Blue Sea Land 2019. Expo dei distretti agroalimentari del Mediterraneo, dell’Africa e del Medioriente. Mazara del Vallo, 17-20 ottobre 2019. [S.n.]: [s.l.].",,2019,"Blue Sea Land 2019. Expo dei distretti agroalimentari del Mediterraneo, dell’Africa e del Medioriente. Mazara del Vallo, 17-20 ottobre 2019",,,,,,,
"(2019). Europese kreeft - <i>Homarus gammarus</i>, <b><i>in</i></b>: <i>Status Bestanden Belgische Visserij 2019. Status Bestanden Belgische Visserij,</i> 2019: pp. 1 kaart",,2019,Europese kreeft - <i>Homarus gammarus</i>,Status Bestanden Belgische Visserij 2019,Status Bestanden Belgische Visserij,,,,,1 kaart
"(2021). Ending marine pollution. <i>Nature Sustainability 4(6)</i>: 459-459. <a href=""https://dx.doi.org/10.1038/s41893-021-00734-2"" target=""_blank"">https://dx.doi.org/10.1038/s41893-021-00734-2</a>",,2021,Ending marine pollution,,Nature Sustainability,,,4,6,459-459
(S.d.). De Maas [BROCHURE]. Voorlichting Verkeer en Waterstaat: Den Haag.  11 pp.,,,De Maas [BROCHURE],,,Voorlichting Verkeer en Waterstaat,Den Haag,,,11
(S.d.). Ecotopenkaart Westerschelde 2001. RIKZ: [s.l.].  1 pp.,,,Ecotopenkaart Westerschelde 2001,,,RIKZ,,,,1
(S.d.). Geregistreerde Belgische norm en Europese norm: iso 9000 tot en met iso 9004. B.I.N.: [s.l.].,,,Geregistreerde Belgische norm en Europese norm: iso 9000 tot en met iso 9004,,,B.I.N.,,,,
(S.d.). Zeekaarten uit de 16e eeuw [CD-ROM]. <i>Digitale kaarten en atlassen</i>. Alvo: Delft.  1 cd-rom pp.,,,Zeekaarten uit de 16e eeuw [CD-ROM],,Digitale kaarten en atlassen,Alvo,Delft,,,1 cd-rom
"<b>Achu Awa, W.</b> (2008). Sustainable forest management systems within rural communities of the North-West province of Cameroon, strong strategic approaches for climate change in sub-Saharan Africa, <b><i>in</i></b>: <i>International conference on adaptation of forests and forest management to changing climate with emphasis on forest health : a review of science, policies and practices : book of abstracts and premilinary programme.</i> pp. 3","Achu Awa, W.",2008,"Sustainable forest management systems within rural communities of the North-West province of Cameroon, strong strategic approaches for climate change in sub-Saharan Africa","International conference on adaptation of forests and forest management to changing climate with emphasis on forest health : a review of science, policies and practices : book of abstracts and premilinary programme",,,,,,3
"<b>Ackerman, J.D.; Tremblay, R.L.; Pérez, M.E.; Madden, H.; Bechtold, M.; Boeken, M.</b> (2020). Small populations on small islands: What chance does an orchid have? <i>International journal of plant sciences 181(7)</i>: 667-685. <a href=""https://dx.doi.org/10.1086/709399"" target=""_blank"">https://dx.doi.org/10.1086/709399</a>","Ackerman, J.D.; Tremblay, R.L.; Pérez, M.E.; Madden, H.; Bechtold, M.; Boeken, M.",2020,Small populations on small islands: What chance does an orchid have?,,International journal of plant sciences,,,181,7,667-685
"<b>Adam, S.; De Backer, A.; Degraer, S.; Monbaliu, J.; Toorman, E.; Vincx, M.</b> (2007). Bio-physical characterization of indicators of sediment stability in mudflats using remote sensing (CISS), <b><i>in</i></b>: <i>Proceedings 5th EARSeL Workshop on Imaging Spectroscopy. Bruges, Belgium, April 23-25 2007.</i> pp. 2 pp","Adam, S.; De Backer, A.; Degraer, S.; Monbaliu, J.; Toorman, E.; Vincx, M.",2007,Bio-physical characterization of indicators of sediment stability in mudflats using remote sensing (CISS),"Proceedings 5th EARSeL Workshop on Imaging Spectroscopy. Bruges, Belgium, April 23-25 2007",,,,,,2 pp
"<b>Adrian-Martinez, S.; van Haren, H.</b> (2016). A search for Secluded Dark Matter in the Sun with the ANTARES neutrino telescope. <i>Journal of Cosmology and Astroparticle Physics 2016</i>: 1-12. <a href=""https://dx.doi.org/10.1088/1475-7516/2016/05/016"" target=""_blank"">https://dx.doi.org/10.1088/1475-7516/2016/05/016</a>","Adrian-Martinez, S.; van Haren, H.",2016,A search for Secluded Dark Matter in the Sun with the ANTARES neutrino telescope,,Journal of Cosmology and Astroparticle Physics,,,2016,,1-12
"<b>Alsteens, L.</b> (2007). Giftige algen kwellen astmalijders aan Amerikaanse kust. <i>De Standaard 18 januari 2007</i>: W3","Alsteens, L.",2007,Giftige algen kwellen astmalijders aan Amerikaanse kust,,De Standaard,,,18 januari 2007,,W3
"<b>Altenburger, A.; Blossom, H.E.; Garcia-Cuetos, L.; Jakobsen, H.H.; Carstensen, J.; Lundholm, N.; Hansen, P.J.; Moestrup, O.; Haraguchi, L.</b> (2020). Dimorphism in cryptophytes—The case of <i>Teleaulax amphioxeia/Plagioselmis prolonga</i> and its ecological implications. <i>Science Advances 6(37)</i>: eabb1611. <a href=""https://hdl.handle.net/10.1126/sciadv.abb1611"" target=""_blank"">https://hdl.handle.net/10.1126/sciadv.abb1611</a>","Altenburger, A.; Blossom, H.E.; Garcia-Cuetos, L.; Jakobsen, H.H.; Carstensen, J.; Lundholm, N.; Hansen, P.J.; Moestrup, O.; Haraguchi, L.",2020,Dimorphism in cryptophytes—The case of <i>Teleaulax amphioxeia/Plagioselmis prolonga</i> and its ecological implications,,Science Advances,,,6,37,eabb1611
"<b>Ameryckx, J.</b> (1958). Bodemkaart van België: verklarende tekst bij het kaartblad Westkapelle 11 E en het Zwin, 1954 Gent; Brugge 23 W. [S.n.]: Gent.","Ameryckx, J.",1958,"Bodemkaart van België: verklarende tekst bij het kaartblad Westkapelle 11 E en het Zwin, 1954 Gent; Brugge 23 W",,,,Gent,,,
"<b>Antonelli, F.</b> (1968). Il valore dellle cure climatichi in medicina psicosomatica, <b><i>in</i></b>: Gualtierotti, R. <i>et al.</i> (Ed.) <i>Bioclimatology, biometeorology and aeroionotherapy.</i> pp. 21-24","Antonelli, F.",1968,Il valore dellle cure climatichi in medicina psicosomatica,"Bioclimatology, biometeorology and aeroionotherapy",,,,,,21-24
"<b>Antwerpse Zeehavendienst</b> (1991). Terneuzen 1991, <b><i>in</i></b>: Antwerpse Zeehavendienst <i>Kanaal van Gent naar Terneuzen.</i> pp. 105/11",Antwerpse Zeehavendienst,1991,Terneuzen 1991,Kanaal van Gent naar Terneuzen,,,,,,105/11
"<b>Ates, R.M.L.</b> (1982). Nederlandse namen van inheemse zeeanemonen en hun verwanten. <i>Het Zeepaard 42(6)</i>: 162-165","Ates, R.M.L.",1982,Nederlandse namen van inheemse zeeanemonen en hun verwanten,,Het Zeepaard,,,42,6,162-165
"<b>Backhaus, J.O.; Soetje, K.C.</b> (1988). On the three-dimensional approach to environmental modelling, <b><i>in</i></b>: Newman, P.J. <i>et al.</i> (Ed.) <i>Environmental protection of the North Sea: International technical conference, London, 24-27 March 1987.</i> pp. 613-627","Backhaus, J.O.; Soetje, K.C.",1988,On the three-dimensional approach to environmental modelling,"Environmental protection of the North Sea: International technical conference, London, 24-27 March 1987",,,,,,613-627
"<b>Baeyens, R.; Buysse, D.; Mouton, A.; Gelaude, E.; De Maerteleire, N.; Robberechts, K.; Jacobs, Y.; Van den Neucker, T.; Stevens, M.; Coeck, J.</b> (2013). Evaluatie van een ‘de Wit’-aanpassing bij een conventioneel vijzelgemaal: Isabellagemaal (Boekhoute). <i>Rapporten van het Instituut voor Natuur- en Bosonderzoek</i>, INBO.R.2013.14. Instituut voor Natuur- en Bosonderzoek (INBO): Brussel.  38 pp.","Baeyens, R.; Buysse, D.; Mouton, A.; Gelaude, E.; De Maerteleire, N.; Robberechts, K.; Jacobs, Y.; Van den Neucker, T.; Stevens, M.; Coeck, J.",2013,Evaluatie van een ‘de Wit’-aanpassing bij een conventioneel vijzelgemaal: Isabellagemaal (Boekhoute),,Rapporten van het Instituut voor Natuur- en Bosonderzoek,Instituut voor Natuur- en Bosonderzoek (INBO),Brussel,INBO.R.2013.14,,38
"<b>Bakker, A.D.; Jongeling, T.H.G.; Kolkman, P.A.; Yan Shi Wu, Y.S.W.</b> (1991). Self-excitated oscillations of a floating gate related to the gate discharge characteristics. <i>Publications - Delft Hydraulics</i>, 462. WL | Delft Hydraulics: Delft.  8 pp.","Bakker, A.D.; Jongeling, T.H.G.; Kolkman, P.A.; Yan Shi Wu, Y.S.W.",1991,Self-excitated oscillations of a floating gate related to the gate discharge characteristics,,Publications - Delft Hydraulics,WL | Delft Hydraulics,Delft,462,,8
"<b>Barjadze, Sh.</b> (2004). Annotated List of Aphids (Hemiptera: Drepanosiphidae) in Georgia. <i>Proceedings of the Institute of Zoology 22</i>: 193-197","Barjadze, Sh.",2004,Annotated List of Aphids (Hemiptera: Drepanosiphidae) in Georgia,,Proceedings of the Institute of Zoology,,,22,,193-197
"<b>Barkman, J.J.; Stoutjesdijk, P.</b> (1987). Microklimaat, vegetatie en fauna. PUDOC: Wageningen. ISBN 90 220 09173 3. 223 pp.","Barkman, J.J.; Stoutjesdijk, P.",1987,"Microklimaat, vegetatie en fauna",,,PUDOC,Wageningen,,,223
"<b>Basher, Z.; Costello, M.J.</b> (2016). The past, present and future distribution of a deep-sea shrimp in the Southern Ocean. <i>PeerJ 4</i>: e1713. <a href=""http://hdl.handle.net/10.7717/peerj.1713"" target=""_blank"">http://hdl.handle.net/10.7717/peerj.1713</a>","Basher, Z.; Costello, M.J.",2016,"The past, present and future distribution of a deep-sea shrimp in the Southern Ocean",,PeerJ,,,4,,e1713
"<b>Becker, S.; Willaert, C.; Devos, J.; Faucon, L.; Janssens, M.; Lambert, R.; Lemoine, G.; Leten, M.; Nuyttens, F.; Spruytte, H.; Willaert, R.</b> (2005). Bloemen uit de duinen van Gravelines tot Nieuwpoort. <i>Ecogids Tjiftjaf</i>. Provincie West-Vlaanderen: Brugge.  80 pp.","Becker, S.; Willaert, C.; Devos, J.; Faucon, L.; Janssens, M.; Lambert, R.; Lemoine, G.; Leten, M.; Nuyttens, F.; Spruytte, H.; Willaert, R.",2005,Bloemen uit de duinen van Gravelines tot Nieuwpoort,,Ecogids Tjiftjaf,Provincie West-Vlaanderen,Brugge,,,80
"<b>Beekman, A.A.</b> (1919). Nederlandsch of Belgisch? Beknopt overzicht van de staatkundige geschiedenis van de Westerschelde, Zeeuwsch-Vlaanderen en Limburg. Martinus Nijhoff: 's-Gravenhage.  19 + 2 kaarten pp.","Beekman, A.A.",1919,"Nederlandsch of Belgisch? Beknopt overzicht van de staatkundige geschiedenis van de Westerschelde, Zeeuwsch-Vlaanderen en Limburg",,,Martinus Nijhoff,s-Gravenhage,,,19 + 2 kaarten
"<b>Beelaerts, V.; Bauwens, M.; De Ridder, F.; Dehairs, F.A.; CALMARs group</b> (2006). Environmental records from calcareous marine skeletons, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>VLIZ Young Scientists' Day, Brugge, Belgium 31 March 2006: book of abstracts. VLIZ Special Publication,</i> 30: pp. 22","Beelaerts, V.; Bauwens, M.; De Ridder, F.; Dehairs, F.A.; CALMARs group",2006,Environmental records from calcareous marine skeletons,"VLIZ Young Scientists' Day, Brugge, Belgium 31 March 2006: book of abstracts",VLIZ Special Publication,,,,,22
"<b>Bell, J.J.; Barnes, D.K.A.</b> (2000). A sponge diversity centre within a marine 'island'. <i>Hydrobiologia 440(1-3)</i>: 55-64. <a href=""https://hdl.handle.net/10.1023/A:1004145011422"" target=""_blank"">https://hdl.handle.net/10.1023/A:1004145011422</a>","Bell, J.J.; Barnes, D.K.A.",2000,A sponge diversity centre within a marine 'island',,Hydrobiologia,,,440,1-3,55-64
"<b>Bernaers, G.; Bols, L.</b> (1980). Getij en stormvloeden op de Schelde. Thesis. KU Leuven: Leuven.","Bernaers, G.; Bols, L.",1980,Getij en stormvloeden op de Schelde,,,KU Leuven,Leuven,,,
"<b>Berta, A.; Sumich, J.L.; Kovacs, K.M.</b> (2015). Introduction, <b><i>in</i></b>: Berta, A. <i>et al.</i> <i>Marine mammals: evolutionary biology.</i> pp. 1-14","Berta, A.; Sumich, J.L.; Kovacs, K.M.",2015,Introduction,Marine mammals: evolutionary biology,,,,,,1-14
"<b>Bianchi, C.N.</b> (1981). Policheti serpuloidei. <i>Guide per il riconoscimento delle specie animali delle acque lagunari e costiere italiane</i>, 5. Consiglio Nazionale delle Ricerche: Genova. 187 pp.","Bianchi, C.N.",1981,Policheti serpuloidei,,Guide per il riconoscimento delle specie animali delle acque lagunari e costiere italiane,Consiglio Nazionale delle Ricerche,Genova,5,,187
"<b>Bierman, S.; Miller, D.; Quirijns, F.; van Hal, R.</b> (2009). Intensiteit boomkorvisserij in de Vlakte van de Raan. <i>IMARES Wageningen Report</i>, C145/09. IMARES Wageningen UR: [s.l.].  36 pp.","Bierman, S.; Miller, D.; Quirijns, F.; van Hal, R.",2009,Intensiteit boomkorvisserij in de Vlakte van de Raan,,IMARES Wageningen Report,IMARES Wageningen UR,,C145/09,,36
"<b>Bijlsma, A.C.</b> (2004). Study of density currents in the framework of the LTV for the Scheldt estuary: executive summary. Waterbouwkundig Laboratorium en Hydrologisch Onderzoek: Antwerp.  31 pp.","Bijlsma, A.C.",2004,Study of density currents in the framework of the LTV for the Scheldt estuary: executive summary,,,Waterbouwkundig Laboratorium en Hydrologisch Onderzoek,Antwerp,,,31
"<b>Blogoslawski, W.J.; Pearce, J.B.</b> (1993). Mariculture development in Northeastern United States. <i>CM Documents - ICES</i>, C.M. 1993(F:40). ICES: Copenhagen.  8 + table pp.","Blogoslawski, W.J.; Pearce, J.B.",1993,Mariculture development in Northeastern United States,,CM Documents - ICES,ICES,Copenhagen,C.M. 1993,F:40,8 + table
"<b>Bloklander, G.; Lucas, J.</b> (1949). Wat de herfststormen ons brachten in 1948 (vervolg). <i>Het Zeepaard 9(7-8)</i>: 52-55","Bloklander, G.; Lucas, J.",1949,Wat de herfststormen ons brachten in 1948 (vervolg),,Het Zeepaard,,,9,7-8,52-55
"<b>Bloklander, G.</b> (1947). Het zeegat uit! <i>Het Zeepaard 7(6-7)</i>: 4-8","Bloklander, G.",1947,Het zeegat uit!,,Het Zeepaard,,,7,6-7,4-8
"<b>Blommaerts, P.</b> (2000). Een eeuw Oostendse postgeschiedenis belicht. Het Streekboek: Nieuwkerken-Waas. 96 pp.","Blommaerts, P.",2000,Een eeuw Oostendse postgeschiedenis belicht,,,Het Streekboek,Nieuwkerken-Waas,,,96
"<b>Blount, B.G.</b> (2003). Perceptions of legitimacy in conflict between commercial fishermen and regulatory agencies, <b><i>in</i></b>: Dallmeyer, D.G. <i>Values at sea: ethics for the marine environment.</i> pp. 127-146","Blount, B.G.",2003,Perceptions of legitimacy in conflict between commercial fishermen and regulatory agencies,Values at sea: ethics for the marine environment,,,,,,127-146
