String,Authors,Year,Title,Series,Suffix,DOI
"d'Hondt, J. L. (1971). Note sur quelques gastrotriches Chaetonotidae. <em>Bulletin de La Société zoologique de France.</em> 96(2): 215-235; 1971.","d'Hondt, J. L.",1971,Note sur quelques gastrotriches Chaetonotidae.,Bulletin de La Société zoologique de France,96(2): 215-235; 1971,
"Mapstone, G.; Youngbluth, M. (2020). New observations on the rare physonect <em>Melophysa</em> <em>melo</em> (Siphonophora; Agalmatidae) from the northern Gulf of Mexico. <em>Zootaxa.</em> 4732(1): 117-137.","Mapstone, G.; Youngbluth, M.",2020,New observations on the rare physonect <em>Melophysa</em> <em>melo</em> (Siphonophora; Agalmatidae) from the northern Gulf of Mexico,Zootaxa,4732(1): 117-137,10.11646/zootaxa.4732.1.5
"Ben-Tuvia, A. (1955). Two Indo-Pacific fishes, <i>Dasayatis uarnak</i> and <i>Upeneus moluccensis</i> in the eastern Mediterranean. <em>Nature, London.</em> 176: 1177-1178.","Ben-Tuvia, A.",1955,"Two Indo-Pacific fishes, <i>Dasayatis uarnak</i> and <i>Upeneus moluccensis</i> in the eastern Mediterranean","Nature, London",176: 1177-1178,
"Cole, T. C. H. (2017). Wörterbuch der Wirbellosen / Dictionary of Invertebrates. Latein-Deutsch-English. <em>2017.</em> Springer Spektrum: Berlin. ISBN 978-3-662-52869-3. XII, 574 pp.","Cole, T. C. H.",2017,Wörterbuch der Wirbellosen / Dictionary of Invertebrates. Latein-Deutsch-English,2017,"Springer Spektrum: Berlin. ISBN 978-3-662-52869-3. XII, 574 pp",10.1007/978-3-662-52869-3
"Rowe, F.W.E. (1977). A new family of Asteroidea (Echinodermata) with the description of five new species and one new species of <i>Asterodiscides</i>. <em>Records of the Australian Museum.</em> 31(5): 187-233.","Rowe, F.W.E.",1977,A new family of Asteroidea (Echinodermata) with the description of five new species and one new species of <i>Asterodiscides</i>.,Records of the Australian Museum,31(5): 187-233.,
"Scott, T. (1894). Additions to the fauna of the Firth of Forth. Part VI. <em>Report of the Fishery Board for Scotland.</em> 12(3):231-271, pls. 5-10.","Scott, T.",1894,Additions to the fauna of the Firth of Forth. Part VI.,Report of the Fishery Board for Scotland,"12(3):231-271, pls. 5-10.",
"Silva, P.C. (1960). Remarks on algal nomenclature III. <em>Taxon.</em> 9: 18-25.","Silva, P.C.",1960,Remarks on algal nomenclature III.,Taxon,9: 18-25.,
"Lemaitre, R. (1999). Crustacea Decapoda: A review of the species of the genus Parapagurus Smith, 1879 (Parapaguridae) from the Pacific and Indian Oceans. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 20. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 180: 303-378.","Lemaitre, R.",1999,"Crustacea Decapoda: A review of the species of the genus Parapagurus Smith, 1879 (Parapaguridae) from the Pacific and Indian Oceans","in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 20. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",180: 303-378,
"Moens, J. B.; Martens, E. E.; Schockaert, E. R. (1994). Syndesmis longicanalis sp. nov., an umagillid turbellarian (Plathelminthes) from echinoids from the Kenyan coast. Belgian Journal of Zoology, 124(2):105-114.","Moens, J. B.; Martens, E. E.; Schockaert, E. R.",1994,"Syndesmis longicanalis sp. nov., an umagillid turbellarian (Plathelminthes) from echinoids from the Kenyan coast.",Belgian Journal of Zoology,124(2):105-114.,
"Huys, R. (1987). Some morphological observations on the Neobradyidae Olofsson, 1917 (Copepoda, Harpacticoida) including the redescription of Antarcticobradya tenuis (Brady, 1910) comb. nov. Bulletin de l'Institut Royal des Sciences Naturelles de Belgique, Biologie 57:133-148, figs. 1-9, tab. 1. (French summary.)","Huys, R.",1987,"Some morphological observations on the Neobradyidae Olofsson, 1917 (Copepoda, Harpacticoida) including the redescription of Antarcticobradya tenuis (Brady, 1910) comb. nov.","Bulletin de l'Institut Royal des Sciences Naturelles de Belgique, Biologie","57:133-148, figs. 1-9, tab. 1. (French summary.)",
"Rosso, A. (2009). The first catenicellid (Bryozoa, Ascophora) from Mediterranean shallow waters: a hidden resident or a new immigrant. <em>Journal of Natural History.</em> 43(35): 2209-2226.","Rosso, A.",2009,"The first catenicellid (Bryozoa, Ascophora) from Mediterranean shallow waters: a hidden resident or a new immigrant",Journal of Natural History,43(35): 2209-2226,10.1080/00222930903089977
"Ben-Tuvia, A. (1983). An Indo-Pacific goby <i>Oxyurichthys papuensis</i> in the Eastern Mediterranean. <em>Israel Journal of Zoology.</em> 32: 37-43.","Ben-Tuvia, A.",1983,An Indo-Pacific goby <i>Oxyurichthys papuensis</i> in the Eastern Mediterranean,Israel Journal of Zoology,32: 37-43,
"Borojevic, R.; Boury-Esnault, N.; Manuel, M.; Vacelet, J. (2002). Order Baerida Borojevic, Boury-Esnault & Vacelet, 2000. Pp. 1193-1200. <em>In: Hooper, J.N.A.; Van Soest, R.W.M. (eds) (2002). Systema Porifera: a guide to the classification of sponges.</em> Kluwer Academic/Plenum, NY, 1708 + xvliii. ISBN 0-306-47260-0 (printed version).","Borojevic, R.; Boury-Esnault, N.; Manuel, M.; Vacelet, J.",2002,"Order Baerida Borojevic, Boury-Esnault & Vacelet, 2000. Pp. 1193-1200","In: Hooper, J.N.A.; Van Soest, R.W.M. (eds) (2002). Systema Porifera: a guide to the classification of sponges","Kluwer Academic/Plenum, NY, 1708 + xvliii. ISBN 0-306-47260-0 (printed version)",
"Pérès, J.-M. (1958). Ascidies récoltées sur les côtes méditerranéennes d'Israël. <em>The Bulletin of the Research Council of Israel.</em> 7: 143-150.","Pérès, J.-M.",1958,Ascidies récoltées sur les côtes méditerranéennes d'Israël,The Bulletin of the Research Council of Israel,7: 143-150,
"Forest, J. (1989). Compte rendu de la Campagne MUSORSTOM 3 aux Philippines (31 mai-7 juin 1985) = Report on the MUSORSTOM 3 Expedition to the Philippines (May 31st-June 7th 1985). <em>in: Forest, J. (Ed.) Résultats des Campagnes MUSORSTOM 4. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 143: 9-23.","Forest, J.",1989,Compte rendu de la Campagne MUSORSTOM 3 aux Philippines (31 mai-7 juin 1985) = Report on the MUSORSTOM 3 Expedition to the Philippines (May 31st-June 7th 1985),"in: Forest, J. (Ed.) Résultats des Campagnes MUSORSTOM 4. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",143: 9-23,
"Guille, A. (1981). Echinodermes: Ophiurides. <em>in: Forest, J. (Ed.) Résultats des campagnes MUSORSTOM: 1. Philippines (18-28 Mars 1976). Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 91: 413-456.","Guille, A.",1981,Echinodermes: Ophiurides,"in: Forest, J. (Ed.) Résultats des campagnes MUSORSTOM: 1. Philippines (18-28 Mars 1976). Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",91: 413-456,
"Bruce, A. J. (1996). Crustacea Decapoda: Palaemonoid shrimps from the Indo-Pacific region mainly from New Caledonia. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 15. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 168: 197-267.","Bruce, A. J.",1996,Crustacea Decapoda: Palaemonoid shrimps from the Indo-Pacific region mainly from New Caledonia,"in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 15. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",168: 197-267,
"Todaro, M.A. & R. Huys. (1998). La meiofauna delle Secche della Meloria: osservazioni su un nuovo Leptastacidae (Copepoda, Harpacticoida).  Meiofauna from the Meloria Shoals: observations on a new Leptastacidae (Copepoda, Harpacticoida). <em>Biologia Marina Mediterranea.</em> 5(1): 591-595.","Todaro, M.A. & R. Huys",1998,"La meiofauna delle Secche della Meloria: osservazioni su un nuovo Leptastacidae (Copepoda, Harpacticoida).  Meiofauna from the Meloria Shoals: observations on a new Leptastacidae (Copepoda, Harpacticoida).",Biologia Marina Mediterranea,5(1): 591-595,
"Simon, E. (2010). Argyrotheca furtiva n. sp. and Joania arguta (Grant, 1983) two micromorphic megathyrid brachiopods (Terebratulida, Megathyridoidea) from the Indonesian Archipelago. <em>Bulletin de l'Institut royal des Sciences naturelles de Belgique, Biologie.</em> 80, 277-295.","Simon, E.",2010,"Argyrotheca furtiva n. sp. and Joania arguta (Grant, 1983) two micromorphic megathyrid brachiopods (Terebratulida, Megathyridoidea) from the Indonesian Archipelago","Bulletin de l'Institut royal des Sciences naturelles de Belgique, Biologie","80, 277-295",
"Groves, J. (1881). Notes on plants received. Report. <em>Botanical Society and Exchange Club of the British Isles.</em> 1: 28-42.","Groves, J",1881,Notes on plants received. Report,Botanical Society and Exchange Club of the British Isles,1: 28-42,
"Macpherson, E. (1999). Crustacea Decapoda: Species of the genera Agononida Baba & de Saint Laurent, 1996 and Munida Leach, 1820 (Galatheidae) collected during the MUSORSTOM 8 cruise in Vanuatu. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 20. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 180: 407-426.","Macpherson, E.",1999,"Crustacea Decapoda: Species of the genera Agononida Baba & de Saint Laurent, 1996 and Munida Leach, 1820 (Galatheidae) collected during the MUSORSTOM 8 cruise in Vanuatu","in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 20. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",180: 407-426,
"Hyra, G. S. N. (1993). Genostoma kozloffi sp. (Turbellaria: Neorhabdocoela: Genostomatidae) from leptostracan crustaceans of the genus Nebalia. <em>Cahiers de Biologie Marine.</em> 34(1): 111-126.","Hyra, G. S. N.",1993,Genostoma kozloffi sp. (Turbellaria: Neorhabdocoela: Genostomatidae) from leptostracan crustaceans of the genus Nebalia,Cahiers de Biologie Marine,34(1): 111-126,
"De Blauwe, H. (2000). Japans bessenwier Sargassum muticum gevestigd te Zeebrugge. <em>De Strandvlo.</em> 20(1): 33-35.","De Blauwe, H.",2000,Japans bessenwier Sargassum muticum gevestigd te Zeebrugge,De Strandvlo,20(1): 33-35,
"Engl, W.; Çeviker, D. (1999). New migrant species from southeast Turkey: <i>Psammotreta praerupta</i> (Salisbury, 1934) and <i>Antigona lamellaris</i> Schumacher, 1817. <em>La Conchiglia.</em> 290: 17-20.","Engl, W.; Çeviker, D.",1999,"New migrant species from southeast Turkey: <i>Psammotreta praerupta</i> (Salisbury, 1934) and <i>Antigona lamellaris</i> Schumacher, 1817",La Conchiglia,290: 17-20,
"Huys, R. & R. Böttger-Schnack. (1994). Taxonomy, biology and phylogeny of Miraciidae (Copepoda: Harpacticoida). Sarsia, Bergen 79:207-283.","Huys, R. & R. Böttger-Schnack",1994,"Taxonomy, biology and phylogeny of Miraciidae (Copepoda: Harpacticoida).","Sarsia, Bergen",79(3):207-283.,
"Beneden, P.J. van. (1852). Anatomie comparée. <em>Encyclopédie populaire. Bruxelles. Societe pour l'Emancipation Intellectuelee.</em> 348 pp., 340 figs.","Beneden, P.J. van",1852,Anatomie comparée.,Encyclopédie populaire. Bruxelles. Societe pour l'Emancipation Intellectuelee,"348 pp., 340 figs.",
"Markham, J. C. (1990). Crustacea Isopoda: new records of Bopyridae from New Caledonian waters. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 6. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 145, 55-69.","Markham, J. C.",1990,Crustacea Isopoda: new records of Bopyridae from New Caledonian waters,"in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 6. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie","145, 55-69",
"Jacobs, L. J. (1987). A redefinition of the genus Monhystrella Cobb (Nematoda, Monhysteridae) with keys to the species. <em>Zoologica Scri.</em> 16(3): 191-197.","Jacobs, L. J.",1987,"A redefinition of the genus Monhystrella Cobb (Nematoda, Monhysteridae) with keys to the species",Zoologica Scri.,16(3): 191-197,
"Clark, A. M. (1970). Notes on the family Amphiuridae (Ophiuroidea). <em>Bull. Br. Mus. Nat. Hist. (Zool.).</em> 19(1): 1-81.","Clark, A. M.",1970,Notes on the family Amphiuridae (Ophiuroidea),Bull. Br. Mus. Nat. Hist. (Zool.),19(1): 1-81,
"Monod, T. (1938). Mission Robert Ph. Dollfus en Egypte. VIII. Decapoda Brachyura. <em>Mémoires présentés à l'Institut d'Égypte.</em> 37: 91-162.","Monod, T.",1938,Mission Robert Ph. Dollfus en Egypte. VIII. Decapoda Brachyura.,Mémoires présentés à l'Institut d'Égypte,37: 91-162,
"Quéro, J.C.; Hureau, J.-C.; Karrer, C.; Post, A.; Saldanha, L. (Ed.). (1991). Check-list of the fishes of the Eastern Tropical Atlantic CLOFETA [Catalogue des poissons de l'Atlantique oriental tropical CLOFETA]. <em>UNESCO Publishing: Paris, France. ISBN 92-3-002620-4.</em> 1492 (3 vol.) pp.","Quéro, J.C.; Hureau, J.-C.; Karrer, C.; Post, A.; Saldanha, L. (Ed.)",1991,Check-list of the fishes of the Eastern Tropical Atlantic CLOFETA [Catalogue des poissons de l'Atlantique oriental tropical CLOFETA],"UNESCO Publishing: Paris, France. ISBN 92-3-002620-4",1492 (3 vol.) pp.,
"Platonova, T. A. (1970). On the Taxonomy of the Leptosomatidae (Nematoda) of the Mediterranean Sea and of the Adjacent Waters of the Atlantic [O sistematike Leptosomatidae (Nematoda) Sredizemnogo Morya i prilezhashchikh vod Atlantiki]. <em>Zoologicheskii Zhurnal.</em> 49(9): 1298-1305.","Platonova, T. A.",1970,On the Taxonomy of the Leptosomatidae (Nematoda) of the Mediterranean Sea and of the Adjacent Waters of the Atlantic [O sistematike Leptosomatidae (Nematoda) Sredizemnogo Morya i prilezhashchikh vod Atlantiki],Zoologicheskii Zhurnal,49(9): 1298-1305,
"Vincx, M.; Herman, R. (1989). The influence of the Western Scheldt on the meiobenthos of the Belgian coastal area. <em>In: Pichot, G. (ed.). Progress in Belgian Oceanographic Research 1989. Proceedings of the North Sea Symposium, Ghent.</em> Pp. 283-296.","Vincx, M.; Herman, R.",1989,The influence of the Western Scheldt on the meiobenthos of the Belgian coastal area,"In: Pichot, G. (ed.). Progress in Belgian Oceanographic Research 1989. Proceedings of the North Sea Symposium, Ghent.",Pp. 283-296.,
"Artois, T. J.; Schockaert, E. R. (2000). Interstitial fauna of the Galapagos: Typhlopolycystidinae (Platyhelminthes Polycystididae). <em>Trop. Zool.</em> 13: 141-158.","Artois, T. J.; Schockaert, E. R.",2000,Interstitial fauna of the Galapagos: Typhlopolycystidinae (Platyhelminthes Polycystididae),Trop. Zool.,13: 141-158,
"Chan, T.-Y.; Crosnier, A. (1991). Crustacea Decapoda: Studies of the Plesionika narval (Fabricius, 1787) group (Pandalidae) with descriptions of six new species. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 9. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 152, 413-461.","Chan, T.-Y.; Crosnier, A.",1991,"Crustacea Decapoda: Studies of the Plesionika narval (Fabricius, 1787) group (Pandalidae) with descriptions of six new species","in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 9. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie","152, 413-461",
"Ivanenko, V.N., D. Defaye & R. Huys. (2005). A new species of Ambilimbus nom. nov., a replacement name for Amphicrossus Huys, 1991 (Copepoda, Cyclopoida, Erebonasteridae), from the Mid-Atlantic Ridge at 36°N (hydrothermal vent site Rainbow). <em>Marine Biology Research.</em> 1(3): 233-241.","Ivanenko, V.N., D. Defaye & R. Huys",2005,"A new species of Ambilimbus nom. nov., a replacement name for Amphicrossus Huys, 1991 (Copepoda, Cyclopoida, Erebonasteridae), from the Mid-Atlantic Ridge at 36°N (hydrothermal vent site Rainbow)",Marine Biology Research,1(3): 233-241,10.1080/17451000510019097
"Deval, M. C.; Kaya, Y.; Guven, O.; Gokoglu, M.; Froglia, C. (2010). An unexpected find of the western Atlantic shrimp, <i>Farfantepenaeus aztecus</i> (Ives, 1891) (Decapoda, Penaeidae) in Antalya Bay, eastern Mediterranean Sea. <em>Crustaceana.</em> 83(12): 1531-1537.","Deval, M. C.; Kaya, Y.; Guven, O.; Gokoglu, M.; Froglia, C.",2010,"An unexpected find of the western Atlantic shrimp, <i>Farfantepenaeus aztecus</i> (Ives, 1891) (Decapoda, Penaeidae) in Antalya Bay, eastern Mediterranean Sea",Crustaceana,83(12): 1531-1537,
"Rappé, G. (2002). Eerste vangst van <i>Micropogonias undulatus</i> (Linnaeus, 1766), een Amerikaanse vis, in Belgische en Europese wateren [First catch of <i>Micropogonias undulatus</i> (Linnaeus, 1766), an American fish, in Belgian and European waters]. <i>De Strandvlo 22(3-4)</i>: 119-121","Rappe, G.",2002,"Eerste vangst van Micropogonias undulatus (Linnaeus, 1766), een Amerikaanse vis, in belgische en Europese wateren",De Strandvlo,22 (3-4) : 119-121.,
"Forest, J. (1995). Crustacea Decapoda Anomura: Présence du genre Ciliopagurus Forest, 1995 (Diogenidae) au Badénien (Miocène moyen): C. substriatiformis (Lörenthey, 1929). <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 13. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 163: 151-154.","Forest, J.",1995,"Crustacea Decapoda Anomura: Présence du genre Ciliopagurus Forest, 1995 (Diogenidae) au Badénien (Miocène moyen): C. substriatiformis (Lörenthey, 1929)","in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 13. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",163: 151-154,
"Swedmark, B. (1952). Note préliminaire sur un polychète sédentaire aberrant, Psammodrilus balanoglossoides, n.gen., n.sp. <em>Arkiv för Zoologi.</em> 4(8): 159-162.","Swedmark, B.",1952,"Note préliminaire sur un polychète sédentaire aberrant, Psammodrilus balanoglossoides, n.gen., n.sp",Arkiv för Zoologi,4(8): 159-162,
"Galil, B.S. (1999). <i>Melicertus hathor</i> (Burkenroad, 1959): a Red Sea penaeid prawn new to the Mediterranean. <em>Crustaceana.</em> 72: 1126-1128.","Galil, B.S.",1999,"<i>Melicertus hathor</i> (Burkenroad, 1959): a Red Sea penaeid prawn new to the Mediterranean",Crustaceana,72: 1126-1128,
"Houart, R. & Tröndlé, J. (2008). Update of Muricidae (excluding Coralliophilinae) from French Polynesia with description of ten new species. <em>Novapex.</em> 9 (2-3): 53-93.","Houart, R. & Tröndlé, J.",2008,Update of Muricidae (excluding Coralliophilinae) from French Polynesia with description of ten new species,Novapex,9 (2-3): 53-93.,
"Rowe, F. W. E. (1969). A review of the family Holothuriidae (Holothurioidea: Aspidochirotida). <em>Bull. Br. Mus. (Nat. Hist.) (Zool.).</em> 18(4): 119-170.","Rowe, F. W. E.",1969,A review of the family Holothuriidae (Holothurioidea: Aspidochirotida),Bull. Br. Mus. (Nat. Hist.) (Zool.),18(4): 119-170,
"Vitiello, P.; Haspeslagh, G. (1972). Ceramonematidae (Nematoda) de fonds vaseux profonds de Méditerranée. <em>Bulletin de l'Institut Royal des Sciences Naturelles de Belgique.</em> 48 (4): 1-14.","Vitiello, P.; Haspeslagh, G.",1972,Ceramonematidae (Nematoda) de fonds vaseux profonds de Méditerranée,Bulletin de l'Institut Royal des Sciences Naturelles de Belgique,48 (4): 1-14,
"Blome, D. (1982). Systematik der Nematoda eines Sandstrandes der Nordseeinsel Sylt. <em>Mikrofauna des Meeresbodens.</em> 86: 1-194.","Blome, D.",1982,Systematik der Nematoda eines Sandstrandes der Nordseeinsel Sylt,Mikrofauna des Meeresbodens,86: 1-194,
