String,Author,Year,Title,Book,Journal,Volume,Issue,Pagination
"Abé, T.H. (1936). Report of the biological survey of Mutsu Bay. 29. Notes on the protozoan fauna of Mutsu Bay. II. Genus Peridinium: Subgenus Archaeperidinium. <em>Science Reports of the Tohoku Imperial University, Fourth Series, Biology.</em> 10(4): 639-686.","Abé, T.H.",1936,Report of the biological survey of Mutsu Bay. 29. Notes on the protozoan fauna of Mutsu Bay. II. Genus Peridinium: Subgenus Archaeperidinium.,,"Science Reports of the Tohoku Imperial University, Fourth Series, Biology",10,4,639-686
"Abé, T.H. (1936). Report of the biological survey of Mutsu Bay. 30. Notes on the protozoan fauna of Mutsu Bay. III. Subgenus Protoperidinium: Genus Peridinium. <em>Science Reports of the Tohoku Imperial University, Fourth Series, Biology.</em> 11(1): 19-48.","Abé, T.H.",1936,Report of the biological survey of Mutsu Bay. 30. Notes on the protozoan fauna of Mutsu Bay. III. Subgenus Protoperidinium: Genus Peridinium.,,"Science Reports of the Tohoku Imperial University, Fourth Series, Biology",11,1,19-48
"Abé, T.H. (1941). Studies on the protozoan fauna of Shimada Bay. 1. The Diplopsalis group. <em>Records of Oceanographic Works in Japan.</em> 12(2): 121-144.","Abé, T.H.",1941,Studies on the protozoan fauna of Shimada Bay. 1. The Diplopsalis group.,,Records of Oceanographic Works in Japan,12,2,121-144
"Abollo, E.; Ramilo, A.; Casas, S. M.; Comesaña, P.; Cao, A.; Carballal, M. J.; Villalba, A. (2008). First detection of the protozoan parasite <i>Bonamia exitiosa</i> (Haplosporidia) infecting flat oyster <i>Ostrea edulis</i> grown in European waters. <em>Aquaculture.</em> 274: 201-207.","Abollo, E.; Ramilo, A.; Casas, S. M.; Comesaña, P.; Cao, A.; Carballal, M. J.; Villalba, A.",2008,First detection of the protozoan parasite <i>Bonamia exitiosa</i> (Haplosporidia) infecting flat oyster <i>Ostrea edulis</i> grown in European waters,,Aquaculture,274,,201-207
"Abraham, P. S. (1877). Revision of the anthobranchiate nudibranchiate Mollusca with descriptions or notices of forty-one hitherto undescribed species. <em>Proceedings of the Zoological Society of London.</em> 1877: 196-269, pl. 28-30 [August].","Abraham, P. S.",1877,Revision of the anthobranchiate nudibranchiate Mollusca with descriptions or notices of forty-one hitherto undescribed species,,Proceedings of the Zoological Society of London,1877,,"196-269, pl. 28-30"
"Achituv, Y. (1969). Studies on the reproduction and distribution of <i>Asterina burtoni</i>. Gray and <i>A. wega</i> (Asteroidea) in the Red Sea and the eastern Mediterranean. <em>Israel Journal of Zoology.</em> 18: 329-343.","Achituv, Y.",1969,Studies on the reproduction and distribution of <i>Asterina burtoni</i>. Gray and <i>A. wega</i> (Asteroidea) in the Red Sea and the eastern Mediterranean,,Israel Journal of Zoology,18,,329-342
"Acik, S. (2011). Sipuncula from the southern coast of Turkey (eastern Mediterranean), with a new report for the Mediterranean Sea. <em>Cahiers de Biologie Marine.</em> 52: 313-329.","Acik, S.",2011,"Sipuncula from the southern coast of Turkey (eastern Mediterranean), with a new report for the Mediterranean Sea",,Cahiers de Biologie Marine,52,,313-329
"Adam, W. (1934). Notes sur les Céphalopodes: 5. <i>Ozaena cirrhosa</i> (Lamarck, 1798) sur la côte belge [Notes on the cephalopods: 5. <i>Ozaena cirrhosa</i> (Lamarck, 1798) at the Belgian coast]. <em>Bulletin du Musée Royal d'Histoire Naturelle de Belgique - Mededeelingen van het Koninklijk Natuurhistorisch Museum van België.</em> 10 (43): 1-3.","Adam, W.",1934,"Notes sur les Céphalopodes: 5. <i>Ozaena cirrhosa</i> (Lamarck, 1798) sur la côte belge [Notes on the cephalopods: 5. <i>Ozaena cirrhosa</i> (Lamarck, 1798) at the Belgian coast]",,Bulletin du Musée Royal d'Histoire Naturelle de Belgique - Mededeelingen van het Koninklijk Natuurhistorisch Museum van België,10,43,01-Mar
"Adam, W.; Leloup, E. (1934). Sur la présence du gastéropode Crepidula fornicata (Linné, 1758) sur la côte belge [Occurrence of the gastropod Crepidula fornicata (Linneaus, 1758) at the Belgian coast]. <em>Bull. Mus. royal d'Hist. Nat. Belg./Med. Kon. Natuurhist. Mus. Belg.</em> 10(45): 1-6.","Adam, W.; Leloup, E.",1934,"Sur la présence du gastéropode Crepidula fornicata (Linné, 1758) sur la côte belge [Occurrence of the gastropod Crepidula fornicata (Linneaus, 1758) at the Belgian coast]",,Bull. Mus. royal d'Hist. Nat. Belg./Med. Kon. Natuurhist. Mus. Belg.,10,45,01-Jun
"Aerts, K.; Vanagt, T.; Degraer, S.; Guartatanga, S.; Wittoeck, J.; Fockedey, N.; Cornejo-Rodriguez, M.P.; Calderón, J.; Vincx, M. (2004). Macrofaunal community structure and zonation of an Ecuadorian sandy beach (Bay of Valdivia). <em>Belgian Journal of Zoology.</em> 134(1), 15-22.","Aerts, K.; Vanagt, T.; Degraer, S.; Guartatanga, S.; Wittoeck, J.; Fockedey, N.; Cornejo-Rodriguez, M.P.; Calderón, J.; Vincx, M.",2004,Macrofaunal community structure and zonation of an Ecuadorian sandy beach (Bay of Valdivia),,Belgian Journal of Zoology,134,1,15-22
"Ahn, K. (2004). Moorea zealandica, new genus and species from New Zealand with a discussion of its phylogenetic relationships (Coleoptera: Staphylinidae: Aleocharinae). New Zealand Journal of Zoology. 31(3): 255-261.","Ahn, K.",2004,"Moorea zealandica, new genus and species from New Zealand with a discussion of its phylogenetic relationships (Coleoptera: Staphylinidae: Aleocharinae)",,New Zealand Journal of Zoology,31,3,255-261
"Ahn, K. (2006). Replacement Name for the Genus Moorea Ahn (Coleoptera: Staphylinidae). The Coleopterists Bulletin. 60(1): 36-36.","Ahn, K.",2006,Replacement Name for the Genus Moorea Ahn (Coleoptera: Staphylinidae),,The Coleopterists Bulletin,60,1,36-36
"Ahn, K.; Ashe, J. S. (2004). Phylogeny of the Myllaenini and related taxa (Coleoptera: Staphylinidae: Aleocharinae). Cladistics. 20(2): 123-138.","Ahn, K.; Ashe, J. S.",2004,Phylogeny of the Myllaenini and related taxa (Coleoptera: Staphylinidae: Aleocharinae),,Cladistics,20,2,123-138
"Ahn, K.; Maruyama, M. (2000). Paramblopusa eoa , a New Intertidal Species (Coleoptera: Staphylinidae: Aleocharinae) from Kuril Islands. The Coleopterists Bulletin. 54(3): 359-364.","Ahn, K.; Maruyama, M.",2000,"Paramblopusa eoa , a New Intertidal Species (Coleoptera: Staphylinidae: Aleocharinae) from Kuril Islands",,The Coleopterists Bulletin,54,3,359-364
"Ahyong, S. T. (2013). Stomatopoda collected primarily by the Philippine AURORA expedition (Crustacea, Squilloidea). <em>in: Ahyong, S.T. et al. (Ed.) Tropical Deep-Sea Benthos 27. Mémoires du Muséum national d'Histoire naturelle (1993.</em> 204: 85-106.","Ahyong, S. T.",2013,"Stomatopoda collected primarily by the Philippine AURORA expedition (Crustacea, Squilloidea)",Tropical Deep-Sea Benthos 27,Mémoires du Muséum national d'Histoire naturelle (1993,204,,85-106
"Al-Safadi, M.M. & H.J. Dumont. (1996). First data on water chemistry and biota of the lakes in the volcanic cones of Damt, Yemen. Biologisch Jaarboek Dodonaea 63:108-119. (For 1995)","Al-Safadi, M.M. & H.J. Dumont",1996,"First data on water chemistry and biota of the lakes in the volcanic cones of Damt, Yemen.",,Biologisch Jaarboek Dodonaea,63,,108-119
"Albayrak, S.; Çeviker, D. (2001). New records: two new extra-mediterranena molluscs from Southeast Turkey: <i>Siphonaria belcheri</i> Hanley, 1858 [Gastropoda: Siphonariidae] and <i>Septifer bilocularis</i> (Linnaeus, 1758) [Bivalvia: Mytilidae]. <em>Israel Journal of Zoology.</em> 47(3): 297-298.","Albayrak, S.; Çeviker, D.",2001,"New records: two new extra-mediterranena molluscs from Southeast Turkey: <i>Siphonaria belcheri</i> Hanley, 1858 [Gastropoda: Siphonariidae] and <i>Septifer bilocularis</i> (Linnaeus, 1758) [Bivalvia: Mytilidae]",,Israel Journal of Zoology,47,3,297-298
"Alekseev, V. M.; Rassadnikova, I. V. (1977). A new species and a taxonomic analysis of the genus Leptolaimus (Nematoda, Araeolaimida). <em>ZooL. Zhurn.</em> 56(12): 1766-1774.","Alekseev, V. M.; Rassadnikova, I. V.",1977,"A new species and a taxonomic analysis of the genus Leptolaimus (Nematoda, Araeolaimida)",,ZooL. Zhurn.,56,12,1766-1774
"Alekseev, V.R., E. Fefilova & H.J. Dumont. (2002). Some noteworthy free-living copeopds from surface freshwater in Belgium. Belgian Journal of Zoology 132(2):133-139.","Alekseev, V.R., E. Fefilova & H.J. Dumont",2002,Some noteworthy free-living copeopds from surface freshwater in Belgium.,,Belgian Journal of Zoology,132,2,133-139
"Ali, M.A. (1956). Additions to the sponge fauna of Madras. <em>Journal of the Madras University, Section B.</em> 26 (2): 289-301.","Ali, M.A.",1956,Additions to the sponge fauna of Madras.,,"Journal of the Madras University, Section B",26,2,289-301
"Allue, R.; Rubies, P. (1984). On <i>Lampanyctus intricarius</i> Taning, 1928 (Osteichthyes, Myctophidae) in the Western Mediterranean. <em>Investigacion Pesquera.</em> 48: 175-180.","Allue, R.; Rubies, P.",1984,"On <i>Lampanyctus intricarius</i> Taning, 1928 (Osteichthyes, Myctophidae) in the Western Mediterranean.",,Investigacion Pesquera,48,2,175-180
"Almón Pazos, B.; Pérez Dieste, J.; Trigo, J.E. (2013). New contributions on <i>Cumanotus cuenoti</i> Pruvot-Fol, 1948 and <i>Cumanotus beaumonti</i> (Eliot, 1906) (Gastropoda: Flabellinidae) in the Iberian Peninsula . Gloria Maris 52(1-2): 14-21","Almón Pazos B., Pérez Dieste J. & Trigo J.E.",2013,"New contributions on <i>Cumanotus cuenoti</i> Pruvot-Fol, 1948 and <i>Cumanotus beaumonti</i> (Eliot, 1906) (Gastropoda: Flabellinidae) in the Iberian Peninsula",,Gloria Maris,52,01-Feb,14-21
"Althaus, B. (1957). Faunistisch ökologische Studien an Rotatorien salzhaltiger Gewässer Mitteldeutschlands. <em>Wissenschaftliche Zeitschrift der Martin-Luther-Universität Halle-Wittenberg.</em> 6(1): 117-157.","Althaus, B",1957,Faunistisch ökologische Studien an Rotatorien salzhaltiger Gewässer Mitteldeutschlands.,,Wissenschaftliche Zeitschrift der Martin-Luther-Universität Halle-Wittenberg,6,1,117-157
"Alurralde, G.; Torre, L.; Schwindt, E.; Castilla, J. C.; Tatián, M. (2013). A re-evaluation of morphological characters of the invasive ascidian Corella eumyota reveals two different species at the tip of South America and in the South Shetland Islands, Antarctica. <em>Polar Biology.</em> 36(7): 957-968.","Alurralde, G.; Torre, L.; Schwindt, E.; Castilla, J. C.; Tatián, M.",2013,"A re-evaluation of morphological characters of the invasive ascidian Corella eumyota reveals two different species at the tip of South America and in the South Shetland Islands, Antarctica",,Polar Biology,36,7,957-968
"Alvarez, B.; Bergquist, P.R.; Battershill, C.N. (2002). Taxonomic revision of the genus <i>Latrunculia</i> Du Bocage (Porifera: Demospongiae: Latrunculiidae) in New Zealand. <em>New Zealand Journal of Marine and Freshwater Research.</em> 36: 151-184.","Alvarez, B.; Bergquist, P.R.; Battershill, C.N.",2002,Taxonomic revision of the genus <i>Latrunculia</i> Du Bocage (Porifera: Demospongiae: Latrunculiidae) in New Zealand,,New Zealand Journal of Marine and Freshwater Research,36,,151-181
"Amaoka, K.; Mihara, E. (2000). Pisces Pleuronectiformes: flatfishes from New Caledonia and adjacent waters: genus Arnoglossus. <em>in: Crosnier, A. (Ed.) Résultats des campagnes MUSORSTOM: 21. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 184: 783-813.","Amaoka, K.; Mihara, E.",2000,Pisces Pleuronectiformes: flatfishes from New Caledonia and adjacent waters: genus Arnoglossus,Résultats des Campagnes MUSORSTOM 21,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",184,,783-813
"Amaoka, K.; Mihara, E.; Rivaton, J. (1993). Pisces, Pleuronectiformes: Flatfishes from the waters around New Caledonia. A revision of the genus Engyprosopon. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 11. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 158: 377-426.","Amaoka, K.; Mihara, E.; Rivaton, J.",1993,"Pisces, Pleuronectiformes: Flatfishes from the waters around New Caledonia. A revision of the genus Engyprosopon",Résultats des Campagnes MUSORSTOM 11,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",158,,377-426
"Amaoka, K.; Mihara, E.; Rivaton, J. (1997). Pisces, Pleuronectiformes: Flatfishes from the waters around New Caledonia. Six species of the bothid genera <i>Tosarhombus</i> and <i>Parabothus</i>. <em>in: Séret, B. (Ed.) Résultats des Campagnes MUSORSTOM 17. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 174: 143-171.","Amaoka, K.; Mihara, E.; Rivaton, J.",1997,"Pisces, Pleuronectiformes: Flatfishes from the waters around New Caledonia. Six species of the bothid genera <i>Tosarhombus</i> and <i>Parabothus</i>.",Résultats des Campagnes MUSORSTOM 17,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",174,,143-171
"Amaoka, K.; Rivaton, J. (1991). Pisces Pleuronectiformes: A review of the genus <i>Tosarhombus</i> (Bothidae) with descriptions of two new species from Saya de Malha Bank (Indian Ocean) and the Chesterfield Islands (Coral Sea). <em>in: Crosnier, A. Résultats des Campagnes MUSORSTOM 8. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 151, 449-466.","Amaoka, K.; Rivaton, J.",1991,Pisces Pleuronectiformes: A review of the genus <i>Tosarhombus</i> (Bothidae) with descriptions of two new species from Saya de Malha Bank (Indian Ocean) and the Chesterfield Islands (Coral Sea).,Résultats des Campagnes MUSORSTOM 8,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",151,,449-466
"Amar, R. (1948). Une nouvelle espèce méditerranéenne du genre <i>Munna</i> (Isopoda Asellota). <em>Bulletin du Museum d'Histoire Naturelle de Marseille.</em> 8 (2-3): 62-73.","Amar, R.",1948,Une nouvelle espèce méditerranéenne du genre <i>Munna</i> (Isopoda Asellota).,,Bulletin du Museum d'Histoire Naturelle de Marseille,8,02-Mar,62-73
"Améziane, N. (1997). Echinodermata Crinoidea: Les Pentacrines récoltées lors de la campagne KARUBAR en Indonésie. <em>in: Crosnier, A. et al. (Ed.) Résultats des Campagnes MUSORSTOM 16. Campagne Franco-Indonésienne KARUBAR. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 172: pp. 627-667.","Améziane, N.",1997,Echinodermata Crinoidea: Les Pentacrines récoltées lors de la campagne KARUBAR en Indonésie,Résultats des Campagnes MUSORSTOM 16. Campagne Franco-Indonésienne KARUBAR,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",172,,627-667
"Andersen, N.M.; Cheng, L. (2004). The marine insect <i>Halobates</i> (Heteroptera: Gerridae): biology, adaptations, distribution and phylogeny. <em>Oceanogr. Mar. Biol. Ann. Rev.</em> 42: 119-180.","Andersen, N.M.; Cheng, L.",2004,"The marine insect <i>Halobates</i> (Heteroptera: Gerridae): biology, adaptations, distribution and phylogeny",,Oceanogr. Mar. Biol. Ann. Rev.,42,,119-180
"Anderson, M. (1981). <i>Ergenstrema labrosi</i> sp. nov. on the gills of the thick lipped grey mullet <i>Chelon labrosus</i> at Plymouth. <em>J. Mar. Biol. Ass. U.K.</em> 61: 827-832.","Anderson, M.",1981,<i>Ergenstrema labrosi</i> sp. nov. on the gills of the thick lipped grey mullet <i>Chelon labrosus</i> at Plymouth,,J. Mar. Biol. Ass. U.K.,61,,827-832
"Andrássy, I. (1959). Nematoden aus dem Psammon des Adige-Flusses, I. <em>Mem. Mus. Civ. Stor. Nat. Verona.</em> 7: 163-181.","Andrássy, I.",1959,"Nematoden aus dem Psammon des Adige-Flusses, I",,Mem. Mus. Civ. Stor. Nat. Verona,7,,163-181
"Anker, A.; Hultgren, K. M.; De Grave, S. (2017). Synalpheus pinkfloydi sp. nov., a new pistol shrimp from the tropical eastern Pacific (Decapoda: Alpheidae). <em>Zootaxa.</em> 4254(1): 111-119.","Anker, A.; Hultgren, K. M.; De Grave, S.",2017,"Synalpheus pinkfloydi sp. nov., a new pistol shrimp from the tropical eastern Pacific (Decapoda: Alpheidae)",,Zootaxa,4254,1,111-119
Anseeuw P. (2016). Two new pleurotomariid subspecies from the South Pacific (Gastropoda: Pleurotomariidae). <em>Visaya.</em> 4(5): 43-57.,Anseeuw P.,2016,Two new pleurotomariid subspecies from the South Pacific (Gastropoda: Pleurotomariidae),,Visaya,4,5,43-57
"Appeltans, W.; Ahyong, S.; Anderson, G.; Angel, M.; Artois, T.; Bailly, N.; Bamber, R.; Barber, A.; Bartsch, I.; Berta, A.; Błażewicz-Paszkowycz, M.; Bock, P.; Boxshall, G.; Boyko, C.; Brandão, S.; Bray, R.; Bruce, N.; Cairns, S.; Chan, T.-Y.; Cheng, L.; Collins, A.; Cribb, T.; Curini-Galletti, M.; Dahdouh-Guebas, F.; Davie, P.; Dawson, M.; De Clerck, O.; Decock, W.; De Grave, S.; De Voogd, N.; Domning, D.; Emig, C.; Erséus, C.; Eschmeyer, W.; Fauchald, K.; Fautin, D.; Feist, S.; Fransen, C.; Furuya, H.; Garcia-Alvarez, O.; Gerken, S.; Gibson, D.; Gittenberger, A.; Gofas, S.; Gómez-Daglio, L.; Gordon, D.; Guiry, M.; Hernandez, F.; Hoeksema, B.; Hopcroft, R.; Jaume, D.; Kirk, P.; Koedam, N.; Koenemann, S.; Kolb, J.; Kristensen, R.; Kroh, A.; Lambert, G.; Lazarus, D.; Lemaitre, R.; Longshaw, M.; Lowry, J.; Macpherson, E.; Madin, L.; Mah, C.; Mapstone, G.; McLaughlin, P.; Mees, J.; Meland, K.; Messing, C.; Mills, C.; Molodtsova, T.; Mooi, R.; Neuhaus, B.; Ng, P.; Nielsen, C.; Norenburg, J.; Opresko, D.; Osawa, M.; Paulay, G.; Perrin, W.; Pilger, J.; Poore, G.; Pugh, P.; Read, G.; Reimer, J.; Rius, M.; Rocha, R.; Saiz-Salinas, J.; Scarabino, V.; Schierwater, B.; Schmidt-Rhaesa, A.; Schnabel, K.; Schotte, M.; Schuchert, P.; Schwabe, E.; Segers, H.; Self-Sullivan, C.; Shenkar, N.; Siegel, V.; Sterrer, W.; Stöhr, S.; Swalla, B.; Tasker, M.; Thuesen, E.; Timm, T.; Todaro, M.; Turon, X.; Tyler, S.; Uetz, P.; Van der Land, J.; Vanhoorne, B.; Van Ofwegen, L.; Van Soest, R.; Vanaverbeke, J.; Walker-Smith, G.; Walter, T.; Warren, A.; Williams, G.; Wilson, S.; Costello, M. (2012). The Magnitude of Global Marine Species Diversity. <em>Current Biology.</em> 22(23): 2189-2202.","Appeltans, W.; Ahyong, S.; Anderson, G.; Angel, M.; Artois, T.; Bailly, N.; Bamber, R.; Barber, A.; Bartsch, I.; Berta, A.; Błażewicz-Paszkowycz, M.; Bock, P.; Boxshall, G.; Boyko, C.; Brandão, S.; Bray, R.; Bruce, N.; Cairns, S.; Chan, T.-Y.; Cheng, L.; Collins, A.; Cribb, T.; Curini-Galletti, M.; Dahdouh-Guebas, F.; Davie, P.; Dawson, M.; De Clerck, O.; Decock, W.; De Grave, S.; De Voogd, N.; Domning, D.; Emig, C.; Erséus, C.; Eschmeyer, W.; Fauchald, K.; Fautin, D.; Feist, S.; Fransen, C.; Furuya, H.; Garcia-Alvarez, O.; Gerken, S.; Gibson, D.; Gittenberger, A.; Gofas, S.; Gómez-Daglio, L.; Gordon, D.; Guiry, M.; Hernandez, F.; Hoeksema, B.; Hopcroft, R.; Jaume, D.; Kirk, P.; Koedam, N.; Koenemann, S.; Kolb, J.; Kristensen, R.; Kroh, A.; Lambert, G.; Lazarus, D.; Lemaitre, R.; Longshaw, M.; Lowry, J.; Macpherson, E.; Madin, L.; Mah, C.; Mapstone, G.; McLaughlin, P.; Mees, J.; Meland, K.; Messing, C.; Mills, C.; Molodtsova, T.; Mooi, R.; Neuhaus, B.; Ng, P.; Nielsen, C.; Norenburg, J.; Opresko, D.; Osawa, M.; Paulay, G.; Perrin, W.; Pilger, J.; Poore, G.; Pugh, P.; Read, G.; Reimer, J.; Rius, M.; Rocha, R.; Saiz-Salinas, J.; Scarabino, V.; Schierwater, B.; Schmidt-Rhaesa, A.; Schnabel, K.; Schotte, M.; Schuchert, P.; Schwabe, E.; Segers, H.; Self-Sullivan, C.; Shenkar, N.; Siegel, V.; Sterrer, W.; Stöhr, S.; Swalla, B.; Tasker, M.; Thuesen, E.; Timm, T.; Todaro, M.; Turon, X.; Tyler, S.; Uetz, P.; Van der Land, J.; Vanhoorne, B.; Van Ofwegen, L.; Van Soest, R.; Vanaverbeke, J.; Walker-Smith, G.; Walter, T.; Warren, A.; Williams, G.; Wilson, S.; Costello, M.",2012,The Magnitude of Global Marine Species Diversity,,Current Biology,22,23,2189-2202
"Areschoug, J. E. (1866). Observationes phycologicae. Particula prima : De confervaceis nonis. <em>Nova Acta regiae Societatis scientiarum Upsaliensis. Seriei tertiae.</em> VI.2. Reg. Acad. Typographus: Upsaliae, Sweden.","Areschoug, J. E.",1866,Observationes phycologicae. Particula prima : De confervaceis nonis.,,Nova Acta regiae Societatis scientiarum Upsaliensis. Seriei tertiae,VI.2,,
"Armenteros, M.; Ruiz-Abierno, A.; Decraemer, W. (2014). Revision of Desmodorinae and Spiriniinae (Nematoda: Desmodoridae) with redescription of eight known species. <em>European Journal of Taxonomy.</em> 96: 1–32.","Armenteros, M.; Ruiz-Abierno, A.; Decraemer, W.",2014,Revision of Desmodorinae and Spiriniinae (Nematoda: Desmodoridae) with redescription of eight known species,,European Journal of Taxonomy,96,,Jan-32
"Armenteros, M.; Ruiz-Abierno, A.; Vincx, M.; Decraemer, W. (2009). A morphometric analysis of the genus Terschellingia (Nematoda: Linhomoeidae) with redefinition of the genus and key to the species. <em>Journal of the Marine Biological Association of the United Kingdom.</em> 89(6): 1257-1267.","Armenteros, M.; Ruiz-Abierno, A.; Vincx, M.; Decraemer, W.",2009,A morphometric analysis of the genus Terschellingia (Nematoda: Linhomoeidae) with redefinition of the genus and key to the species,,Journal of the Marine Biological Association of the United Kingdom,89,6,1257-1267
"Armenteros, M.; Vincx, M.; Decraemer, W. (2009). Cienfuegia gen. nov. (Xyalidae) and Pseudoterschellingia gen. nov. (Linhomoeidae), two new genera of free-living marine nematodes from the Caribbean Sea. <em>Journal of Natural History.</em> 43(17-18): 1067-1081.","Armenteros, M.; Vincx, M.; Decraemer, W.",2009,"Cienfuegia gen. nov. (Xyalidae) and Pseudoterschellingia gen. nov. (Linhomoeidae), two new genera of free-living marine nematodes from the Caribbean Sea",,Journal of Natural History,43,17-18,1067-1081
"Armenteros, M.; Vincx, M.; Decraemer, W. (2010). Guitartia tridentata n. gen., n. sp. (Monhysterida: Xyalidae) and Macrodontium gaspari n. gen., n. sp. (Chromadorida: Microlaimidae), free-living marine nematodes from the Caribbean Sea. <em>Nematology.</em> 12 (3): 417-427.","Armenteros, M.; Vincx, M.; Decraemer, W.",2010,"Guitartia tridentata n. gen., n. sp. (Monhysterida: Xyalidae) and Macrodontium gaspari n. gen., n. sp. (Chromadorida: Microlaimidae), free-living marine nematodes from the Caribbean Sea",,Nematology,12,3,417-427
"Artois, T. J.; Schockaert, E. R. (1999). Interstitial fauna of the Galapagos: Porrocystidinae (Platyhelminthes Polycystididae). <em>Tropical Zoology.</em> 12, 309-324.","Artois, T. J.; Schockaert, E. R.",1999,Interstitial fauna of the Galapagos: Porrocystidinae (Platyhelminthes Polycystididae),,Tropical Zoology,12,,309-324
"Artois, T. J.; Schockaert, E. R. (2000). Interstitial fauna of the Galapagos: Typhlopolycystidinae (Platyhelminthes Polycystididae). <em>Trop. Zool.</em> 13: 141-158.","Artois, T. J.; Schockaert, E. R.",2000,Interstitial fauna of the Galapagos: Typhlopolycystidinae (Platyhelminthes Polycystididae),,Trop. Zool.,13,,141-158
