String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination,DOI
"Brian, A. (1921). I Copepodi Harpacticoidi del Golfo di Genova. Studi del Laboratorio Marino di Quarto dei Mille Presso, Genova 1-112, figs. 1-38, pls. 1-2.","Brian, A.",1921,I Copepodi Harpacticoidi del Golfo di Genova.,,Studi del Laboratorio Marino di Quarto dei Mille Presso,,Genova,,,"1-112, figs. 1-38, pls.1-12. SIL q QL444 .C74B84 1921",
"Richer de Forges, B. (1993). Campagnes d'exploration de la faune bathyale faites depuis mai 1989 dans la zone économique de la Nouvelle-Calédonie. Liste des stations. <em>Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 10. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 156: 27-32.","Richer de Forges, B.",1993,Campagnes d'exploration de la faune bathyale faites depuis mai 1989 dans la zone économique de la Nouvelle-Calédonie. Liste des stations,Résultats des Campagnes MUSORSTOM 10,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,156,,27-32,
"Hardy, J.; Bold, T.J. (1851). A catalogue of the insects of Northumberland and Durham (Part ii). <em>Transactions of the Tyneside Naturalists' Field Club.</em> 2(1): 21-97.","Hardy, J.; Bold, T.J.",1851,A catalogue of the insects of Northumberland and Durham (Part ii).,,Transactions of the Tyneside Naturalists' Field Club,,,2,1,21-97,
"Bayer, F.M. (1981). Key to the genera of Octocorallia exclusive of Pennatulacea (Coelenterata: Anthozoa), with diagnoses of new taxa. <em>Proc. Biol. Soc. Wash.</em> 94(3): 902-947.","Bayer, F.M.",1981,"Key to the genera of Octocorallia exclusive of Pennatulacea (Coelenterata: Anthozoa), with diagnoses of new taxa",,Proc. Biol. Soc. Wash.,,,94,3,902-947,
"Danovaro, R.; Fabiano, M.; Vincx, M. (1995). Meiofauna response to the Agip Abruzzo oil spill in subtidal sediments of the Ligurian Sea. <em>Marine Pollution Bulletin.</em> 30(2): 133-145.","Danovaro, R.; Fabiano, M.; Vincx, M.",1995,Meiofauna response to the Agip Abruzzo oil spill in subtidal sediments of the Ligurian Sea,,Marine Pollution Bulletin,,,30,2,133-145,
"Rabaut, M.; Degraer, S.; Schrijvers, J.; Derous, S.; Bogaert, D.; Maes, F.; Vincx, M.; Cliquet, A. (2009). Policy analysis of the ‘MPA-process' in temperate continental shelf areas. <em>Aquatic Conservation: Marine and Freshwater Ecosystems.</em> 19(5): 596-608.","Rabaut, M.; Degraer, S.; Schrijvers, J.; Derous, S.; Bogaert, D.; Maes, F.; Vincx, M.; Cliquet, A.",2009,Policy analysis of the ‘MPA-process' in temperate continental shelf areas,,Aquatic Conservation: Marine and Freshwater Ecosystems,,,19,5,596-608,10.1002/aqc.985
Liénard E. (1870). Description d'espèces nouvelles provenant de l'Ile Maurice. <em>Journal de Conchyliologie.</em> 18: 304-305.,Liénard E.,1870,Description d'espèces nouvelles provenant de l'Ile Maurice,,Journal de Conchyliologie,,,18,,304-305,
"Massin, C.; Norro, A.; Mallefet, J. (2002). Biodiversity of a wreck from the Belgian Continental Shelf: monitoring using scientific diving. Preliminary results. <em>Bulletin de l'Institut Royal des Sciences Naturelles de Belgique (Biologie).</em> 72: 67-72.","Massin, C.; Norro, A.; Mallefet, J.",2002,Biodiversity of a wreck from the Belgian Continental Shelf: monitoring using scientific diving. Preliminary results.,,Bulletin de l'Institut Royal des Sciences Naturelles de Belgique (Biologie),,,72,,67-72,
"Whitelegge, T. (1902). Notes on Lendenfeld's types described in the catalogue of sponges in the Australian Museum. <em>Records of the Australian Museum.</em> 4 (7): 274-288.","Whitelegge, T.",1902,Notes on Lendenfeld's types described in the catalogue of sponges in the Australian Museum.,,Records of the Australian Museum,,,4,7,274-288,
"Leloup, Eugène. (1937). Contributions à l'étude de la faune belge. VIII. Les dégâts causés par le ver polychète <i>Polydora ciliata</i> (Johnston) dans les coquilles des bigorneaux et des huîtres [Contributions to the study of the Belgian fauna: VIII. The damage caused by the worm <i>Polydora ciliata</i> (Johnston) in the shells of periwinkles and oysters]. <em>Bulletin du Musée Royal d'Histoire Naturelle de Belgique / Mededeelingen van het Koninklijk Natuurhistorisch Museum van België.</em> 13(33): 1-4, plate I.","Leloup, Eugène",1937,Contributions à l'étude de la faune belge. VIII. Les dégâts causés par le ver polychète <i>Polydora ciliata</i> (Johnston) dans les coquilles des bigorneaux et des huîtres [Contributions to the study of the Belgian fauna: VIII. The damage caused by the worm <i>Polydora ciliata</i> (Johnston) in the shells of periwinkles and oysters].,,Bulletin du Musée Royal d'Histoire Naturelle de Belgique / Mededeelingen van het Koninklijk Natuurhistorisch Museum van België,,,13,33,"1-4, 1 plate",
"Dautzenberg, P. (1891). Voyage de la goëlette Melita aux Canaries et au Sénégal, 1889-1890: Mollusques Testacés. <em>Mémoires de la Société Zoologique de France.</em> 4: 16-65, pl. 3.","Dautzenberg, P.",1891,"Voyage de la goëlette Melita aux Canaries et au Sénégal, 1889-1890: Mollusques Testacés",,Mémoires de la Société Zoologique de France,,,4,,"16-65, plate 3",
