String,Authors,Year,Title,bookTitle,SeriesTitle,publishers,City,Volume,Issue,Pagination
Starch-Starke. WILEY-V C H VERLAG GMBH: Weinheim.  ISSN 0038-9056; e-ISSN 1521-379X,,0,Starch-Starke,,,WILEY-V C H VERLAG GMBH,Weinheim,,,
"<b>Seys, J. (Ed.)</b> (2006). VLIZINE januari - februari 2006. <i>Nieuwsbrief VLIZINE</i>, 7(1-2). Vlaams Instituut voor de Zee (VLIZ): Oostende.","Seys, J. (Ed.)",2006,VLIZINE januari - februari 2006,,Nieuwsbrief VLIZINE,Vlaams Instituut voor de Zee (VLIZ),Oostende,7,1-2,
"<b>Ivleva, I.V.</b> (1970). The influence of temperature on the transformation of matter in marine invertebrates, <b><i>in</i></b>: Steele, J.H. (Ed.) <i>Marine food chains: Proceedings of a Symposium held at the University of Aarhus, Denmark, from 23rd to 26th July, 1968.</i> pp. 96-112","Ivleva, I.V.",1970,The influence of temperature on the transformation of matter in marine invertebrates,"Marine food chains: Proceedings of a Symposium held at the University of Aarhus, Denmark, from 23rd to 26th July, 1968",,,,,,96-112
"<b>Larsen, J.N.</b> (2014). Marine invasive species: Issues and challenges in resource governance and monitoring of societal impacts, <b><i>in</i></b>: Fernandez, L. <i>et al.</i> (Ed.) <i>Marine invasive species in the Arctic. TemaNord Environment,</i> 547: pp. 23-31","Larsen, J.N.",2014,Marine invasive species: Issues and challenges in resource governance and monitoring of societal impacts,Marine invasive species in the Arctic,TemaNord Environment,,,,,23-31
"(2019). IGARSS 2019 - 2019 IEEE International Geoscience and Remote Sensing Symposium: Proceedings. IEEE: USA. ISBN 978-1-5386-9155-7; e-ISBN 978-1-5386-9154-0. [diff. pag.] pp. <a href=""https://hdl.handle.net/10.1109/IGARSS40859.2019"" target=""_blank"">https://hdl.handle.net/10.1109/IGARSS40859.2019</a>",,2019,IGARSS 2019 - 2019 IEEE International Geoscience and Remote Sensing Symposium: Proceedings,,,IEEE,USA,,,[diff. pag.]
Genes Brain and Behavior. Wiley-Blackwell: Hoboken.  ISSN 1601-1848; e-ISSN 1601-183X,,0,Genes Brain and Behavior,,,Wiley-Blackwell,Hoboken,,,
"<b>Camara, M.R.; Coutteau, P.; Sorgeloos, P.</b> (1995). Effect of dietary phosphatidylcholine on growth and lipid composition of post-larval <i>Penaeus vannamei</i> (Boone), <b><i>in</i></b>: Calderón, J. <i>et al.</i> (Ed.) <i>Memoria il Congreso Ecuatoriano de Acuicultura.</i> pp. 255-259","Camara, M.R.; Coutteau, P.; Sorgeloos, P.",1995,Effect of dietary phosphatidylcholine on growth and lipid composition of post-larval <i>Penaeus vannamei</i> (Boone),Memoria il Congreso Ecuatoriano de Acuicultura,,,,,,255-259
"<b>Sema, T.; Hoshizawa, K.; Mizuochi, H.; Endo, K.</b> [s.d.]. Study on methanol combustion for thermal power plants. [S.n.]: [s.l.].","Sema, T.; Hoshizawa, K.; Mizuochi, H.; Endo, K.",,Study on methanol combustion for thermal power plants,,,,,,,
"<b>Goffin, A.; Seys, J.; Mees, J.; Vincx, M. (Ed.)</b> (2008). UGent aan Zee. Vlaams Instituut voor de Zee (VLIZ): Oostende. ISBN 978-90-812900-1-2. 96 pp.","Goffin, A.; Seys, J.; Mees, J.; Vincx, M. (Ed.)",2008,UGent aan Zee,,,Vlaams Instituut voor de Zee (VLIZ),Oostende,,,96
Bulletin de la santé publique (Bruxelles). ISSN 0378-4673,,,Bulletin de la santé publique (Bruxelles),,,,,,,
European Transport Law. ETL-Antwerpen: Antwerpen.  ISSN 0014-3154,,,European Transport Law,,,ETL-Antwerpen,Antwerpen,,,
"<b>Van den Bold, W.A. (Ed.)</b> (1974). Ostracoda. The Henry V. Howe Memorial volume. <i>Geoscience and Man</i>, VI. School of Geoscience, Louisiana State University: Baton Rouge.  182 pp.","Van den Bold, W.A. (Ed.)",1974,Ostracoda. The Henry V. Howe Memorial volume,,Geoscience and Man,"School of Geoscience, Louisiana State University",Baton Rouge,VI,,182
"<b>Hovy, J.</b> (1980). Institutioneel onvermogen in de 18de eeuw, <b><i>in</i></b>: Blok, D.P. (Ed.) <i>Algemene Geschiedenis der Nederlanden 9. Algemene Geschiedenis der Nederlanden,</i> 9: pp. 126-138","Hovy, J.",1980,Institutioneel onvermogen in de 18de eeuw,Algemene Geschiedenis der Nederlanden 9,Algemene Geschiedenis der Nederlanden,,,,,126-138
"<b>Dogiel, V.A.; Petrushevski, G.K.; Polyanski, Yu.I.; Kabata, Z.</b> (1961). Parasitology of fishes. First English edition. Oliver and Boyd: Edinburgh.  X, 384 pp.","Dogiel, V.A.; Petrushevski, G.K.; Polyanski, Yu.I.; Kabata, Z.",1961,Parasitology of fishes,,,Oliver and Boyd,Edinburgh,,,"X, 384"
"<b>Serruys, J.B.H.</b> (1830). Notice historique du commerce des Pays-Bas depuis la domination de la maison de Bourgogne. Elleboudt: Ostende. 25 pp.","Serruys, J.B.H.",1830,Notice historique du commerce des Pays-Bas depuis la domination de la maison de Bourgogne,,,Elleboudt,Ostende,,,25
"<b>Carion, A.; Markey, A.; Hétru, J.; Carpentier, C.; Suarez-Ulloa, V.; Denoël, M.; Earley, R.L.; Silvestre, F.</b> (2020). Behavior and gene expression in the brain of adult self-fertilizing mangrove rivulus fish (<i>Kryptolebias marmoratus</i>) after early life exposure to the neurotoxin β-N-methylamino-l-alanine (BMAA). <i>NeuroToxicology 79</i>: 110-121. <a href=""https://hdl.handle.net/10.1016/j.neuro.2020.04.007"" target=""_blank"">https://hdl.handle.net/10.1016/j.neuro.2020.04.007</a>","Carion, A.; Markey, A.; Hétru, J.; Carpentier, C.; Suarez-Ulloa, V.; Denoël, M.; Earley, R.L.; Silvestre, F.",2020,Behavior and gene expression in the brain of adult self-fertilizing mangrove rivulus fish (<i>Kryptolebias marmoratus</i>) after early life exposure to the neurotoxin β-N-methylamino-l-alanine (BMAA),,NeuroToxicology,,,79,,110-121
Intelligence and National Security: Abingdon.  ISSN 0268-4527,,0,Intelligence and National Security,,,,Abingdon,,,
"<b>Gulland, J.A.</b> (1981). Science and fishery management, <b><i>in</i></b>: Thomasson, E.M. (Ed.) <i>Study of the sea: The development of marine research under the auspices of the International Council for the Exploration of the Sea.</i> pp. 216-221","Gulland, J.A.",1981,Science and fishery management,Study of the sea: The development of marine research under the auspices of the International Council for the Exploration of the Sea,,,,,,216-221
Estudios Geograficos: Madrid.  ISSN 0014-1496,,0,Estudios Geograficos,,,,Madrid,,,
"<b>Néraudeau, D.; Crônier, C.</b> (2003). The genus <i>Periaster</i> and the origins of the schizasterid echinoids: a short review, <b><i>in</i></b>: Féral, J.-P. <i>et al.</i> <i>Echinoderm Research 2001: proceedings of the 6th European Conference on Echinoderm Research, Banyuls-sur-mer, 3-7 September 2001.</i> pp. 87-90","Néraudeau, D.; Crônier, C.",2003,The genus <i>Periaster</i> and the origins of the schizasterid echinoids: a short review,"Echinoderm Research 2001: Proceedings of the 6th European Conference on Echinoderm Research, Banyuls-sur-mer, 3-7 September 2001",,,,,,87-90
"<b>van Duuren, B.; Kooren, J.; Wegkamp, O.</b> (1993). Alles over Coreldraw 3. Addison-Wesley: Amsterdam. ISBN 90-6789-337-4.","van Duuren, B.; Kooren, J.; Wegkamp, O.",1993,Alles over Coreldraw 3,,,Addison-Wesley,Amsterdam,,,
International Communications in Heat and Mass Transfer. PERGAMON-ELSEVIER SCIENCE LTD: Oxford.  ISSN 0735-1933; e-ISSN 1879-0178,,0,International Communications in Heat and Mass Transfer,,,PERGAMON-ELSEVIER SCIENCE LTD,Oxford,,,
"<b>Hily, C.; Guillaud, J.-F.</b> (1997). Les rejets urbains en mer, <b><i>in</i></b>: Dauvin, J.-C. (Ed.) <i>Les biocénoses marines et littorales françaises des côtes Atlantique, Manche et Mer du Nord: synthèse, menaces et perspectives. Collection Patrimoines naturels: Série Patrimoine ecologique,</i> 28: pp. 206-211","Hily, C.; Guillaud, J.-F.",1997,Les rejets urbains en mer,"Les biocénoses marines et littorales françaises des côtes Atlantique, Manche et Mer du Nord: Synthèse, menaces et perspectives",Collection Patrimoines naturels: Série Patrimoine ecologique,,,,,206-211
"<b>Smolders, S.; Maximova, T.; Vanlede, J.; Plancke, Y.; Verwaest, T.; Mostaert, F.</b> (2016). Integraal plan Boven-Zeeschelde: Subreport 1. SCALDIS: a 3D Hydrodynamic model for the Scheldt Estuary. Version 5.0. <i>WL Rapporten</i>, 13_131. Flanders Hydraulics Research: Antwerp. XXVIII, 246 + 228 p. bijl. pp.","Smolders, S.; Maximova, T.; Vanlede, J.; Plancke, Y.; Verwaest, T.; Mostaert, F.",2016,Integraal plan Boven-Zeeschelde: Subreport 1. SCALDIS: a 3D Hydrodynamic model for the Scheldt Estuary,,WL Rapporten,Flanders Hydraulics Research,Antwerp,13_131,,"XXVIII, 246 + 228 p. bijl."
"<b>International Marine and Dredging Consultants</b> (2008). Langdurige monitoring van zout/zoet-verdeling in de haven van Zeebrugge en monitoring van zoutconcentratie, slibconcentratie en hooggeconcentreerde slibsuspensies in de Belgische kustzone: deelrapport 2.3. Analyse omgevingscondities juli 2006 - augustus 2007. Versie 2.0. Waterbouwkundig Laboratorium: Antwerpen. IV, 123 pp.",International Marine and Dredging Consultants,2008,"Langdurige monitoring van zout/zoet-verdeling in de haven van Zeebrugge en monitoring van zoutconcentratie, slibconcentratie en hooggeconcentreerde slibsuspensies in de Belgische kustzone: deelrapport 2.3. Analyse omgevingscondities juli 2006 - augustus 2007",,,Waterbouwkundig Laboratorium,Antwerpen,,,"IV, 123"
Audubon: New York.  ISSN 0097-7136,,0,Audubon,,,,New York,,,
"<b>Maximova, T.; Vanlede, J.; Plancke, Y.; Verwaest, T.; Mostaert, F.</b> (2013). Testcase D-Flow FM: model set-up and validation. Version 2.0. <i>WL Rapporten</i>, 12_146. Flanders Hydraulics Research: Antwerp. VII, 53 + 78 p. appendices pp.","Maximova, T.; Vanlede, J.; Plancke, Y.; Verwaest, T.; Mostaert, F.",2013,Testcase D-Flow FM: model set-up and validation,,WL Rapporten,Flanders Hydraulics Research,Antwerp,12_146,,"VII, 53 + 78 p. appendices"
"<b>Netzband, A.; Christiansen, H.; Maass, B.; Meyer-Nehls, R.; Werner, G.</b> (1996). Umlagerung von Baggergut aus dem Hamburger Hafen in der Tideelbe: Zusammenfassung der Ergebnisse der Untersuchungen in den Jahren 1994 bis 1996. <i>Ergebnisse aus dem baggergutuntersuchungsprogramm</i>, 7. Freie und Hansestadt Hamburg Wirtschaftsbehörde Strom und Hafenbau: Hamburg.  93 pp.","Netzband, A.; Christiansen, H.; Maass, B.; Meyer-Nehls, R.; Werner, G.",1996,Umlagerung von Baggergut aus dem Hamburger Hafen in der Tideelbe: Zusammenfassung der Ergebnisse der Untersuchungen in den Jahren 1994 bis 1996,,Ergebnisse aus dem baggergutuntersuchungsprogramm,Freie und Hansestadt Hamburg Wirtschaftsbehörde Strom und Hafenbau,Hamburg,7,,93
Kragujevac Journal of Science: Kragujevac.  ISSN 1450-9636,,0,Kragujevac Journal of Science,,,,Kragujevac,,,
"<b>Walker, T.</b> (1995). Collect shells and other molluscs on stamps. <i>A Stanley Gibbons Thematic Catalogue</i>. Stanley Gibbons Publications: London. ISBN 0-85259-394-5. 202 pp.","Walker, T.",1995,Collect shells and other molluscs on stamps,,A Stanley Gibbons Thematic Catalogue,Stanley Gibbons Publications,London,,,202
"<b>Kuijpers, A.; Troelstra, S.R.; Verbeek, J.W.; Wensink, H.; De Wolf, H.</b> (1984). Paleoceanic conditions in the Canary Basin, Eastern North Atlantic, since 1.4 M.A. BP: evidence from the deep-water sedimentary record, <b><i>in</i></b>: Kuijpers, A. <i>et al.</i> <i>Geological Studies in the Eastern North Atlantic. Mededelingen Rijks Geologische Dienst. Nieuwe Serie,</i> 38(2): pp. 215-230","Kuijpers, A.; Troelstra, S.R.; Verbeek, J.W.; Wensink, H.; De Wolf, H.",1984,"Paleoceanic conditions in the Canary Basin, Eastern North Atlantic, since 1.4 M.A. BP: evidence from the deep-water sedimentary record",Geological Studies in the Eastern North Atlantic,Mededelingen Rijks Geologische Dienst. Nieuwe Serie,,,,,215-230
"<b>Vanlierde, E.; Deschamps, M.; Cornet, E.; Vereecken, H.; De Schutter, J.; Boeckx, L.; Mostaert, F.</b> (2012). Verontreiniging in de Bovenschelde: een inschatting van de verplaatsing van de verontreiniging doorheen de tijd. versie 2.0. <i>WL Adviezen</i>, 12_122. Waterbouwkundig Laboratorium: Antwerpen . III, 12 pp.","Vanlierde, E.; Deschamps, M.; Cornet, E.; Vereecken, H.; De Schutter, J.; Boeckx, L.; Mostaert, F.",2012,Verontreiniging in de Bovenschelde: een inschatting van de verplaatsing van de verontreiniging doorheen de tijd,,WL Adviezen,Waterbouwkundig Laboratorium,Antwerpen,12_122,,"III, 12"
"<b>Samuel, H.; King, S.D.</b> (2014). Mixing at mid-ocean ridges controlled by small-scale convection and plate motion. <i>Nature Geoscience 7(8)</i>: 602-605. <a href=""http://hdl.handle.net/10.1038/ngeo2208"" target=""_blank"">http://hdl.handle.net/10.1038/ngeo2208</a>","Samuel, H.; King, S.D.",2014,Mixing at mid-ocean ridges controlled by small-scale convection and plate motion,,Nature Geoscience,,,7,8,602-605
"<b>Gianni, M.</b> (2004). IUU fishing and the cost to Flag of Convenience countries, <b><i>in</i></b>: Gray, K. <i>et al.</i> (Ed.) <i>Fish piracy: combating illegal, unreported and unregulated fishing.</i> pp. 285-289","Gianni, M.",2004,IUU fishing and the cost to Flag of Convenience countries,"Fish piracy: combating illegal, unreported and unregulated fishing",,,,,,285-289
"(1961). Statistique des pêches maritimes: Année 1959. <i>Statistique des Pêches Maritimes</i>, 1959. Imprimerie nationale: Paris.  125 pp.",,1961,Statistique des pêches maritimes: Année 1959,,Statistique des Pêches Maritimes,Imprimerie nationale,Paris,1959,,125
"<b>Hufthammer, A.K.</b> (2016). Fish trade in Norway AD 800-1400: zooarchaeological evidence, <b><i>in</i></b>: Barrett, J.H. <i>et al.</i> (Ed.) <i>Cod and herring. The archaeology and history of medieval sea fishing.</i> pp. 221-230","Hufthammer, A.K.",2016,Fish trade in Norway AD 800-1400: zooarchaeological evidence,Cod and herring. The archaeology and history of medieval sea fishing,,,,,,221-230
"<b>Gabrielsen, K.J.; Johansen, R.A.</b> (2008). Exploring the unknown: collecting Arctic marine organisms in a search for unique, novel compounds. <i>MarBEF Newsletter 8</i>: 24-25","Gabrielsen, K.J.; Johansen, R.A.",2008,"Exploring the unknown: collecting Arctic marine organisms in a search for unique, novel compounds",,MarBEF Newsletter,,,8,,24-25
"<b>Schäfer, G.G.; Pedrini-Martha, V.; Jackson, D.J.; Dallinger, R.; Lieb, B.</b> (2021). The evolution of hemocyanin genes in Tectipleura: a multitude of conserved introns in highly diverse gastropods. <i>BMC Ecology and Evolution 21</i>: 36. <a href=""https://dx.doi.org/10.1186/s12862-021-01763-3"" target=""_blank"">https://dx.doi.org/10.1186/s12862-021-01763-3</a>","Schäfer, G.G.; Pedrini-Martha, V.; Jackson, D.J.; Dallinger, R.; Lieb, B.",2021,The evolution of hemocyanin genes in Tectipleura: a multitude of conserved introns in highly diverse gastropods,,BMC Ecology and Evolution,,,21,,36
"<b>Roose, F.</b> (1971). Stevenine Bousse, winkelierster te Blankenberge 1630-1680. <i>Rond de Poldertorens 13(4)</i>: 114-128","Roose, F.",1971,"Stevenine Bousse, winkelierster te Blankenberge 1630-1680",,Rond de Poldertorens,,,13,4,114-128
"<b>von Huene, R.; Klaeschen, D.; Fruehn, J.</b> (1999). Relation between the subducting plate and seismicity associated with the great 1964 Alaska earthquake, <b><i>in</i></b>: Sauber, J. <i>et al.</i> (Ed.) <i>Seismogenic and tsunamigenic processes in shallow subduction zones. Pure and Applied Geophysics,</i> 154(3-4): pp. 575-591. <a href=""http://hdl.handle.net/10.1007/978-3-0348-8679-6_10"" target=""_blank"">hdl.handle.net/10.1007/978-3-0348-8679-6_10</a>","von Huene, R.; Klaeschen, D.; Fruehn, J.",1999,Relation between the subducting plate and seismicity associated with the great 1964 Alaska earthquake,Seismogenic and tsunamigenic processes in shallow subduction zones,Pure and Applied Geophysics,,,,,575-591
"<b>Bortone, S.A.</b> (2015). Sustaining the interrelationships between corals and fisheries: managing for the future, <b><i>in</i></b>: Bortone, S.A. (Ed.) <i>Interrelationships between corals and fisheries. CRC Marine Biology Series,</i> : pp. 275-279","Bortone, S.A.",2015,Sustaining the interrelationships between corals and fisheries: managing for the future,Interrelationships between corals and fisheries,CRC Marine Biology Series,,,,,275-279
"<b>Soens, J.</b> (2005). Impact van windenergie in het toekomstig elektriciteitsnet. PhD Thesis. Katholieke Universiteit Leuven. Faculteit Wetenschappen: Leuven (Heverlee). ISBN 90-5682-652-2. 257 pp.","Soens, J.",2005,Impact van windenergie in het toekomstig elektriciteitsnet,,,Katholieke Universiteit Leuven. Faculteit Wetenschappen,Leuven (Heverlee),,,257
Studia Psychologica: Bratislava.  ISSN 0039-3320,,0,Studia Psychologica,,,,Bratislava,,,
"<b>Faure, M.G.; Han, L.; Shan, H. (Ed.)</b> (2010). Maritime pollution liability and policy. China, Europe and the U.S. Kluwer Law International: Alphen aan den Rijn. ISBN 978-90-411-2869-0. 456 pp.","Faure, M.G.; Han, L.; Shan, H. (Ed.)",2010,"Maritime pollution liability and policy. China, Europe and the U.S",,,Kluwer Law International,Alphen aan den Rijn,,,456
"<b>Cortés, E.</b> (2005). Atlantic sharpnose shark, <i>Rhizoprionodon terraenovae</i> (Richardson, 1836), <b><i>in</i></b>: Fowler, S.L. <i>et al.</i> (Ed.) <i>Sharks, rays and chimaeras: the status of the Chondrichthyan fishes. Status survey.</i> pp. 311-312","Cortés, E.",2005,"Atlantic sharpnose shark, <i>Rhizoprionodon terraenovae</i> (Richardson, 1836)","Sharks, rays and chimaeras: the status of the Chondrichthyan fishes. Status survey",,,,,,311-312
"<b>Symes, D.</b> (2014). Finding solutions: Resilience theory and Europe's small-scale fisheries, <b><i>in</i></b>: Urquhart, J. <i>et al.</i> (Ed.) <i>Social Issues in Sustainable Fisheries Management. MARE Publication Series,</i> 9: pp. 23-41","Symes, D.",2014,Finding solutions: Resilience theory and Europe's small-scale fisheries,Social Issues in Sustainable Fisheries Management,MARE Publication Series,,,,,23-41
"<b>Sherman, K.</b> (1990). Perturbations and yields of large marine ecosystems: introduction, <b><i>in</i></b>: Sherman, K. <i>et al.</i> <i>Large marine ecosystems: patterns, processes and yields.</i> pp. 3-4","Sherman, K.",1990,Perturbations and yields of large marine ecosystems: introduction,"Large marine ecosystems: patterns, processes and yields",,,,,,3-4
"<b>Simeonova, A.; Nikov, N.; Zhekova, T.; Petrova, D.; Gerdzhikov, D.</b> (2017). Evaluating the effect of an artificial habitat on the improvement of the Bulgarian Black Sea biodiversity. <i>International Journal of Current Research 9(8)</i>: 55412-55420","Simeonova, A.; Nikov, N.; Zhekova, T.; Petrova, D.; Gerdzhikov, D.",2017,Evaluating the effect of an artificial habitat on the improvement of the Bulgarian Black Sea biodiversity,,International Journal of Current Research,,,9,8,55412-55420
