String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination
"Dewicke, A.; Rottiers, V.; Mees, J.; Vincx, M. (2002). Evidence for an enriched hyperbenthic fauna in the Frisian front (North Sea). <em>Journal of Sea Research.</em> 47(2): 121-139.","Dewicke, A.; Rottiers, V.; Mees, J.; Vincx, M.",2002,Evidence for an enriched hyperbenthic fauna in the Frisian front (North Sea),,Journal of Sea Research,,,47,2,121-139
"Leschen, R. A. B.; Bullians, M. S.; Michaux, B.; Ahn, K. (2002). Systematics of Baeostethus chiltoni, a subantarctic liparocephaline (Coleoptera: Staphylinidae: Aleocharinae): A Pangean relic or a more recent immigrant?. Journal of the Royal Society of New Zealand. 32(2): 189-201.","Leschen, R. A. B.; Bullians, M. S.; Michaux, B.; Ahn, K.",2002,"Systematics of Baeostethus chiltoni, a subantarctic liparocephaline (Coleoptera: Staphylinidae: Aleocharinae): A Pangean relic or a more recent immigrant?",,Journal of the Royal Society of New Zealand,,,32,2,189-201
"Hyams, O.; Almogi-Labin, A.; Benjaminia, C. (2002). Larger foraminifera of the southeastern Mediterranean shallow continental shelf off Israel. <em>Israel Journal of Earth Sciences.</em> 51(3-4): 169-179.","Hyams, O.; Almogi-Labin, A.; Benjaminia, C.",2002,Larger foraminifera of the southeastern Mediterranean shallow continental shelf off Israel,,Israel Journal of Earth Sciences,,,51,3-4,169-179
"Uysal, Z., A.E. Kideys, A.A. Shmeleva, J.A. Zagorodnyaya & A.D. Gubanova. (2002). Checklist of copepods (Calanoida and Podoplea) from the northern Levantine basin shelf waters. <em>Hydrobiologia.</em> 482(1):15-21.","Uysal, Z., A.E. Kideys, A.A. Shmeleva, J.A. Zagorodnyaya & A.D. Gubanova",2002,Checklist of copepods (Calanoida and Podoplea) from the northern Levantine basin shelf waters.,,Hydrobiologia,,,482,1,15-21
"Hampel, H.; Cattrijsse, A.; Vincx, M. (2003). Tidal, diel and semi-lunar changes in the faunal assemblage of an intertidal salt marsh creek. <em>Estuarine, Coastal and Shelf Science.</em> 56(3-4), 795-805.","Hampel, H.; Cattrijsse, A.; Vincx, M.",2003,"Tidal, diel and semi-lunar changes in the faunal assemblage of an intertidal salt marsh creek",,"Estuarine, Coastal and Shelf Science",,,56,3-4,795-805
"Mu, F.H. & R. Huys. (2003). Canuellidae (Copepoda, Harpacticoida) from the Bohai Sea, China. <em>Journal of Natural History.</em> 38(1): 1-36. [actual pulbication date 30 Oct 2003]. [for 2004].","Mu, F.H. & R. Huys",2003,"Canuellidae (Copepoda, Harpacticoida) from the Bohai Sea, China.",,Journal of Natural History,,,38,1,1-36
"De Troch, M., F. Fiers & M. Vincx. (2003). Niche segregation and habitat specialisation of harpacticoid copepods in a tropical seagrass bed. <em>Marine Biology.</em> 142:345-355.","De Troch, M., F. Fiers & M. Vincx",2003,Niche segregation and habitat specialisation of harpacticoid copepods in a tropical seagrass bed,,Marine Biology,,,142,,345-355
"Kato, Tetsuya; Pleijel, Fredrik. (2003). A revision of <i>Paranaitis</i> Southern, 1914 (Polychaeta: Phyllodocidae). <em>Zoological Journal of the Linnean Society.</em> 138(4): 379-429.","Kato, Tetsuya; Pleijel, Fredrik",2003,"A revision of <i>Paranaitis</i> Southern, 1914 (Polychaeta: Phyllodocidae)",,Zoological Journal of the Linnean Society,,,138,4,379-429
"Faasse, M.; Van Moorsel, G. (2003). The North-American amphipods, Melita nitida Smith, 1873 and Incisocalliope aestuarius (Watling and Maurer, 1973) (Crustacea: Amphipoda: Gammaridea), introduced to the Western Scheldt estuary (The Netherlands). <em>Aquatic Ecology.</em> 37(1): 13-22.","Faasse, M.; Van Moorsel, G.",2003,"The North-American amphipods, Melita nitida Smith, 1873 and Incisocalliope aestuarius (Watling and Maurer, 1973) (Crustacea: Amphipoda: Gammaridea), introduced to the Western Scheldt estuary (The Netherlands)",,Aquatic Ecology,,,37,1,13-22
"Klautau, M.; Valentine, C. (2003). Revision of the genus <i>Clathrina</i> (Porifera, Calcarea). <em>Zoological Journal of the Linnean Society.</em> 139(1): 1-62.","Klautau, M.; Valentine, C.",2003,"Revision of the genus <i>Clathrina</i> (Porifera, Calcarea).",,Zoological Journal of the Linnean Society,,,139,1,1-62
"Giangrande, A.; Delos, A. L.; Fraschetti, S.; Musco, L.; Licciano, M.; Terlizzi, A. (2003). Polychaete assemblages along a rocky shore on the South Adriatic coast (Mediterranean Sea): patterns of spatial distribution. <em>Marine Biology.</em> 143(6): 1109-1116.","Giangrande, A.; Delos, A. L.; Fraschetti, S.; Musco, L.; Licciano, M.; Terlizzi, A.",2003,Polychaete assemblages along a rocky shore on the South Adriatic coast (Mediterranean Sea): patterns of spatial distribution,,Marine Biology,,,143,6,1109-1116
"Mastrototaro, F.; Matarrese, A.; D'Onghia, G. (2003). Occurrence of <i>Musculista senhousia</i> (Mollusca: Bivalvia) in the Taranto seas (eastern-central Mediterranean Sea). <em>Journal of the Marine Biological Association of the UK.</em> 83(6): 1279-1280.","Mastrototaro, F.; Matarrese, A.; D'Onghia, G.",2003,Occurrence of <i>Musculista senhousia</i> (Mollusca: Bivalvia) in the Taranto seas (eastern-central Mediterranean Sea),,Journal of the Marine Biological Association of the UK,,,83,6,1279-1280
"Hampel, H.; Cattrijsse, A.; Vincx, M. (2003). Habitat value of a developing estuarine brackish marsh for fish and macrocrustaceans. <em>ICES Journal of Marine Science.</em> 60(2): 278-289.","Hampel, H.; Cattrijsse, A.; Vincx, M.",2003,Habitat value of a developing estuarine brackish marsh for fish and macrocrustaceans,,ICES Journal of Marine Science,,,60,2,278-289
"Steyaert, M.; Vanaverbeke, J.; Vanreusel, A.; Barranguet, C.; Lucas, C.; Vincx, M. (2003). The importance of fine-scale, vertical profiles in characterising nematode community structure. <em>Estuarine, Coastal and Shelf Science.</em> 58(2): 353-366.","Steyaert, M.; Vanaverbeke, J.; Vanreusel, A.; Barranguet, C.; Lucas, C.; Vincx, M.",2003,"The importance of fine-scale, vertical profiles in characterising nematode community structure",,"Estuarine, Coastal and Shelf Science",,,58,2,353-366
"Huys, R. (2003). Book review: Martin, Joel W., and George E. Davis. 2001. An Updated Classification of the Recent Crustacea. Natural History Museum of Los Angeles County Contributions in Science 39: 1-124. <em>Journal of Crustacean Biology.</em> 23(2): 495-497.","Huys, R.",2003,"Book review: Martin, Joel W., and George E. Davis. 2001. An Updated Classification of the Recent Crustacea. Natural History Museum of Los Angeles County Contributions in Science 39: 1-124.",,Journal of Crustacean Biology,,,23,2,495-497
"Mostafawi, N. (2003). Recent ostracods from the Persian gulf. <em>Senckenbergiana maritima.</em> 32(1-2): 51-75.","Mostafawi, N.",2003,Recent ostracods from the Persian gulf,,Senckenbergiana maritima,,,32,1-2,51-75
"Karaytug, S. & R. Huys. (2004). Taxonomic position of and generic distinction between Parepactophanes Kunz, 1935 and Taurocletodes Kunz, 1975 (Copepoda, Canthocamptidae incertae sedis), with description of a new species from the Black Sea. <em>Zoological Journal of the Linnean Society.</em> 140(4): 469-486.","Karaytug, S. & R. Huys",2004,"Taxonomic position of and generic distinction between Parepactophanes Kunz, 1935 and Taurocletodes Kunz, 1975 (Copepoda, Canthocamptidae incertae sedis), with description of a new species from the Black Sea",,Zoological Journal of the Linnean Society,,,140,4,469-486
"Remerie, T.; Calderon, J.; Deprez, T.; Mees, J.; Vanfleteren, J.; Vanreusel, A.; Vierstraete, A.; Vincx, M.; Wittmann, K.; Wooldridge, T.; Bulckaen, B. (2004). Phylogenetic relationships within the Mysidae (Crustacea, Peracarida, Mysida) based on nuclear 18S ribosomal RNA sequences. <em>Molecular Phylogenetics and Evolution.</em> 32(3): 770-777.","Remerie, T.; Calderon, J.; Deprez, T.; Mees, J.; Vanfleteren, J.; Vanreusel, A.; Vierstraete, A.; Vincx, M.; Wittmann, K.; Wooldridge, T.; Bulckaen, B.",2004,"Phylogenetic relationships within the Mysidae (Crustacea, Peracarida, Mysida) based on nuclear 18S ribosomal RNA sequences",,Molecular Phylogenetics and Evolution,,,32,3,770-777
"Ahn, K. (2004). Moorea zealandica, new genus and species from New Zealand with a discussion of its phylogenetic relationships (Coleoptera: Staphylinidae: Aleocharinae). New Zealand Journal of Zoology. 31(3): 255-261.","Ahn, K.",2004,"Moorea zealandica, new genus and species from New Zealand with a discussion of its phylogenetic relationships (Coleoptera: Staphylinidae: Aleocharinae)",,New Zealand Journal of Zoology,,,31,3,255-261
"Muthumbi, A. W.; Vanreusel, A.; Duineveld, G.; Soetaert, K.; Vincx, M. (2004). Nematode Community Structure along the Continental Slope off the Kenyan Coast, Western Indian Ocean. <em>International Review of Hydrobiology.</em> 89(2): 188-205.","Muthumbi, A. W.; Vanreusel, A.; Duineveld, G.; Soetaert, K.; Vincx, M.",2004,"Nematode Community Structure along the Continental Slope off the Kenyan Coast, Western Indian Ocean",,International Review of Hydrobiology,,,89,2,188-205
"Gheskiere, T.; Hoste, E.; Vanaverbeke, J.; Vincx, M.; Degraer, S. (2004). Horizontal zonation patterns and feeding structure of marine nematode assemblages on a macrotidal, ultra-dissipative sandy beach (De Panne, Belgium). <em>Journal of Sea Research.</em> 52(3): 211-226.","Gheskiere, T.; Hoste, E.; Vanaverbeke, J.; Vincx, M.; Degraer, S.",2004,"Horizontal zonation patterns and feeding structure of marine nematode assemblages on a macrotidal, ultra-dissipative sandy beach (De Panne, Belgium)",,Journal of Sea Research,,,52,3,211-226
"Porter, J. (2004). Morphological and genetic characteristics of erect subtidal species of Alcyonidium (Ctenostomata: Bryozoa). <em>Journal of the Marine Biological Association of the UK.</em> 84(1): 243-252.","Porter, J.",2004,Morphological and genetic characteristics of erect subtidal species of Alcyonidium (Ctenostomata: Bryozoa),,Journal of the Marine Biological Association of the UK,,,84,1,243-252
"Ahn, K.; Ashe, J. S. (2004). Phylogeny of the Myllaenini and related taxa (Coleoptera: Staphylinidae: Aleocharinae). Cladistics. 20(2): 123-138.","Ahn, K.; Ashe, J. S.",2004,Phylogeny of the Myllaenini and related taxa (Coleoptera: Staphylinidae: Aleocharinae),,Cladistics,,,20,2,123-138
"Golani, D. (2004). First record of the muzzled blenny (Osteichthyes: Blenniidae: Omobranchus punctatus) from the Mediterranean, with remarks on ship-mediated fish introduction. <em>Journal of the Marine Biological Association of the UK.</em> 84(4): 851-852.","Golani, D.",2004,"First record of the muzzled blenny (Osteichthyes: Blenniidae: Omobranchus punctatus) from the Mediterranean, with remarks on ship-mediated fish introduction",,Journal of the Marine Biological Association of the UK,,,84,4,851-852
"Huys, R. & S.J. Song. (2004). The Ismardiidae Leigh-Sharpe (Copepoda, Harpacticoida Incertae Sedis): Enigmatic as Ever?. <em>Journal of Crustacean Biology.</em> 24(1): 37-53.","Huys, R. & S.J. Song",2004,"The Ismardiidae Leigh-Sharpe (Copepoda, Harpacticoida Incertae Sedis): Enigmatic as Ever?",,Journal of Crustacean Biology,,,24,1,37-53
"Fockedey, N.; Mees, J.; Vangheluwe, M.; Verslycke, T.; Janssen, C. R.; Vincx, M. (2005). Temperature and salinity effects on post-marsupial growth of Neomysis integer (Crustacea: Mysidacea). <em>Journal of Experimental Marine Biology and Ecology.</em> 326(1): 27-47.","Fockedey, N.; Mees, J.; Vangheluwe, M.; Verslycke, T.; Janssen, C. R.; Vincx, M.",2005,Temperature and salinity effects on post-marsupial growth of Neomysis integer (Crustacea: Mysidacea),,Journal of Experimental Marine Biology and Ecology,,,326,1,27-47
"Huys, R., S. Ohtsuka, S. Conroy-Dalton & Y. Kikuchi. (2005). Description of two new species of Neotachidius Shen & Tai, 1963 (Copepoda, Harpacticoida, Tachidiidae) from Korean brackish waters and proposal of a new genus for Tachidius (Tachidius) vicinospinalis Shen & Tai, 1964. <em>Zoological Journal of the Linnean Society.</em> 143(1): 133-159.","Huys, R., S. Ohtsuka, S. Conroy-Dalton & Y. Kikuchi",2005,"Description of two new species of Neotachidius Shen & Tai, 1963 (Copepoda, Harpacticoida, Tachidiidae) from Korean brackish waters and proposal of a new genus for Tachidius (Tachidius) vicinospinalis Shen & Tai, 1964",,Zoological Journal of the Linnean Society,,,143,1,133-159
"Fockedey, N.; Ghekiere, A.; Bruwiere, S.; Janssen, C. R.; Vincx, M. (2005). Effect of salinity and temperature on the intra-marsupial development of the brackish water mysid Neomysis integer (Crustacea: Mysidacea). <em>Marine Biology.</em> 148(6): 1339-1356.","Fockedey, N.; Ghekiere, A.; Bruwiere, S.; Janssen, C. R.; Vincx, M.",2005,Effect of salinity and temperature on the intra-marsupial development of the brackish water mysid Neomysis integer (Crustacea: Mysidacea),,Marine Biology,,,148,6,1339-1356
"Steyaert, M.; Moodley, L.; Vanaverbeke, J.; Vandewiele, S.; Vincx, M. (2005). Laboratory experiments on the infaunal activity of intertidal nematodes. <em>Hydrobiologia.</em> 540(1-3): 217-223.","Steyaert, M.; Moodley, L.; Vanaverbeke, J.; Vandewiele, S.; Vincx, M.",2005,Laboratory experiments on the infaunal activity of intertidal nematodes,,Hydrobiologia,,,540,1-3,217-223
"Musco, Luigi; Giangrande, Adriana. (2005). Mediterranean Syllidae (Annelida: Polychaeta) revisited: biogeography, diversity and species fidelity to environmental features. <em>Marine Ecology Progress Series.</em> 304: 143-153 + 4 pp. Supplementary appendix.","Musco, Luigi; Giangrande, Adriana",2005,"Mediterranean Syllidae (Annelida: Polychaeta) revisited: biogeography, diversity and species fidelity to environmental features",,Marine Ecology Progress Series,,,304,,143-153 + 4 pp. Supplementary appendix
"Moens, T.; Dos Santos, G.; Thompson, F.; Swings, J.; Fonsêca-Genevois, V.; Vincx, M.; De Mesel, I. (2005). Do nematode mucus secretions affect bacterial growth?. <em>Aquatic Microbial Ecology.</em> 40: 77-83.","Moens, T.; Dos Santos, G.; Thompson, F.; Swings, J.; Fonsêca-Genevois, V.; Vincx, M.; De Mesel, I.",2005,Do nematode mucus secretions affect bacterial growth?,,Aquatic Microbial Ecology,,,40,,77-83
"Bick, A. (2005). Redescription of <i>Fabriciola tonerella</i> Banse, 1959, and a new record of <i>Novafabricia infratorquata</i> (Fitzhugh, 1983) from the Mediterranean Sea, with a key for the Fabriciinae (Annelida: Polychaeta) of the Mediterranean Sea and the north-east Atlantic. <em>Zoologischer Anzeiger - A Journal of Comparative Zoology.</em> 244(2): 137-152.","Bick, A.",2005,"Redescription of <i>Fabriciola tonerella</i> Banse, 1959, and a new record of <i>Novafabricia infratorquata</i> (Fitzhugh, 1983) from the Mediterranean Sea, with a key for the Fabriciinae (Annelida: Polychaeta) of the Mediterranean Sea and the north-east Atlantic",,Zoologischer Anzeiger - A Journal of Comparative Zoology,,,244,2,137-152
"De Troch, M.; Vandepitte, L.; Raes, M.; Suàrez-Morales, E.; Vincx, M. (2005). A field colonization experiment with meiofauna and seagrass mimics: effect of time, distance and leaf surface area. <em>Marine Biology.</em> 148(1): 73-86.","De Troch, M.; Vandepitte, L.; Raes, M.; Suàrez-Morales, E.; Vincx, M.",2005,"A field colonization experiment with meiofauna and seagrass mimics: effect of time, distance and leaf surface area",,Marine Biology,,,148,1,73-86
"Gheskiere, T.; Vincx, M.; Weslawski, J. M.; Scapini, F.; Degraer, S. (2005). Meiofauna as descriptor of tourism-induced changes at sandy beaches. <em>Marine Environmental Research.</em> 60(2): 245-265.","Gheskiere, T.; Vincx, M.; Weslawski, J. M.; Scapini, F.; Degraer, S.",2005,Meiofauna as descriptor of tourism-induced changes at sandy beaches,,Marine Environmental Research,,,60,2,245-265
"Gheskiere, T.; Vincx, M.; Urban-Malinga, B.; Rossano, C.; Scapini, F.; Degraer, S. (2005). Nematodes from wave-dominated sandy beaches: diversity, zonation patterns and testing of the isocommunities concept. <em>Estuarine, Coastal and Shelf Science.</em> 62(1-2): 365-375.","Gheskiere, T.; Vincx, M.; Urban-Malinga, B.; Rossano, C.; Scapini, F.; Degraer, S.",2005,"Nematodes from wave-dominated sandy beaches: diversity, zonation patterns and testing of the isocommunities concept",,"Estuarine, Coastal and Shelf Science",,,62,1-2,365-375
"Buschbaum, C.; Gutow, L. (2005). Mass occurrence of an introduced crustacean (Caprella cf. mutica) in the south-eastern North Sea. <em>Helgoland Marine Research.</em> 59(3): 252-253.","Buschbaum, C.; Gutow, L.",2005,Mass occurrence of an introduced crustacean (Caprella cf. mutica) in the south-eastern North Sea,,Helgoland Marine Research,,,59,3,252-253
"Rueness, J. (2005). Life history and molecular sequences of <i>Gracilaria vermiculophylla</i> (Gracilariales, Rhodophyta), a new introduction to European waters. <em>Phycologia.</em> 44(1): 120-128.","Rueness, J.",2005,"Life history and molecular sequences of <i>Gracilaria vermiculophylla</i> (Gracilariales, Rhodophyta), a new introduction to European waters",,Phycologia,,,44,1,120-128
"Ivanenko, V.N., D. Defaye & R. Huys. (2005). A new species of Ambilimbus nom. nov., a replacement name for Amphicrossus Huys, 1991 (Copepoda, Cyclopoida, Erebonasteridae), from the Mid-Atlantic Ridge at 36°N (hydrothermal vent site Rainbow). <em>Marine Biology Research.</em> 1(3): 233-241.","Ivanenko, V.N., D. Defaye & R. Huys",2005,"A new species of Ambilimbus nom. nov., a replacement name for Amphicrossus Huys, 1991 (Copepoda, Cyclopoida, Erebonasteridae), from the Mid-Atlantic Ridge at 36°N (hydrothermal vent site Rainbow)",,Marine Biology Research,,,1,3,233-241
"Zagami, G., G. Costanzo & N. Crescenti. (2005). First record in Mediterranean Sea and redescription of the bentho-planktonic calanoid copepod species Pseudocyclops xiphophorus Wells, 1967. <em>Journal of Marine Systems.</em> 55(1-2): 67-76.","Zagami, G., G. Costanzo & N. Crescenti",2005,"First record in Mediterranean Sea and redescription of the bentho-planktonic calanoid copepod species Pseudocyclops xiphophorus Wells, 1967.",,Journal of Marine Systems,,,55,1-2,67-76
"Herkül, K.; Kotta, J.; Kotta, I. (2006). Distribution and population characteristics of the alien talitrid amphipod Orchestia cavimana in relation to environmental conditions in the Northeastern Baltic Sea. <em>Helgoland Marine Research.</em> 60(2): 121-126.","Herkül, K.; Kotta, J.; Kotta, I.",2006,Distribution and population characteristics of the alien talitrid amphipod Orchestia cavimana in relation to environmental conditions in the Northeastern Baltic Sea,,Helgoland Marine Research,,,60,2,121-126
"Bastrop, R.; Blank, M. (2006). Multiple Invasions – A Polychaete Genus Enters the Baltic Sea. <em>Biological Invasions.</em> 8(5): 1195-1200.","Bastrop, R.; Blank, M.",2006,Multiple Invasions – A Polychaete Genus Enters the Baltic Sea,,Biological Invasions,,,8,5,1195-1200
"Huys, R. & S. Conroy-Dalton. (2006). Revision of the genus Evansula T. Scott, 1906 (Copepoda, Harpacticoida, Cylindropsyllidae) with a description of three new species. <em>Zoological Journal of the Linnean Society.</em> 147(4): 419-472.","Huys, R. & S. Conroy-Dalton",2006,"Revision of the genus Evansula T. Scott, 1906 (Copepoda, Harpacticoida, Cylindropsyllidae) with a description of three new species",,Zoological Journal of the Linnean Society,,,147,4,419-472
"de León-González, Jesús Angel; Hernández-Guevara, Norma Angélica; Rodríguez-Valencia, José Alejandro. (2006). Paraonidae (Polychaeta) from western Mexico, with description of two new species. <em>Journal of the Marine Biological Association of the United Kingdom.</em> 86(2): 253-262.","de León-González, Jesús Angel; Hernández-Guevara, Norma Angélica; Rodríguez-Valencia, José Alejandro",2006,"Paraonidae (Polychaeta) from western Mexico, with description of two new species",,Journal of the Marine Biological Association of the United Kingdom,,,86,2,253-262
"Huys, R., J. Llewellyn-Hughes, P.D. Olson & K. Nagasawa. (2006). Small subunit rDNA and Bayesian inference reveal Pectenophilus ornatus (Copepoda incertae sedis) as highly transformed Mytilicolidae, and support assignment of Chondracanthidae and Xarifiidae to Lichomolgoidea (Cyclopoida). <em>Biological Journal of the Linnean Society.</em> 87(3): 403-425.","Huys, R., J. Llewellyn-Hughes, P.D. Olson & K. Nagasawa",2006,"Small subunit rDNA and Bayesian inference reveal Pectenophilus ornatus (Copepoda incertae sedis) as highly transformed Mytilicolidae, and support assignment of Chondracanthidae and Xarifiidae to Lichomolgoidea (Cyclopoida).",,Biological Journal of the Linnean Society,,,87,3,403-425
"Huys, R. S.  Conroy-Dalton. (2006). Comparative Analysis of Vermiform Genera (Copepoda: Harpacticoida: Cylindropsyllidae), Including Descriptions of Boreovermis, New Genus and Bolbotelos, New Genus, from the Southern North Sea. <em>Journal of Crustacean Biology.</em> 26(2): 206-223.","Huys, R. S.  Conroy-Dalton",2006,"Comparative Analysis of Vermiform Genera (Copepoda: Harpacticoida: Cylindropsyllidae), Including Descriptions of Boreovermis, New Genus and Bolbotelos, New Genus, from the Southern North Sea",,Journal of Crustacean Biology,,,26,2,206-223
"Golani, D.; Sonin, O. (2006). The Japanese threadfin bream <i>Nemipterus japonicus</i>, a new Indo-Pacific fish in the Mediterranean Sea. <em>Journal of Fish Biology.</em> 68(3): 940-943.","Golani, D.; Sonin, O.",2006,"The Japanese threadfin bream <i>Nemipterus japonicus</i>, a new Indo-Pacific fish in the Mediterranean Sea",,Journal of Fish Biology,,,68,3,940-943
"Dulcic, J.; Golani, D. (2006). First record of <i>Cyclopterus lumpus</i> L., 1758 (Osteichthyes: Cyclopteridae) in the Mediterranean Sea. <em>Journal of Fish Biology.</em> 69(1): 300-303.","Dulcic, J.; Golani, D.",2006,"First record of <i>Cyclopterus lumpus</i> L., 1758 (Osteichthyes: Cyclopteridae) in the Mediterranean Sea",,Journal of Fish Biology,,,69,1,300-303
"Dickinson, E. C.; Bruce, M. D.; Dowsett, R. J. (2006). Vivarium naturae or the naturalist's miscellany (1789–1813) by George Shaw: an assessment of the dating of the parts and volumes. <em>Archives of Natural History.</em> 33(2): 322-343.","Dickinson, E. C.; Bruce, M. D.; Dowsett, R. J.",2006,Vivarium naturae or the naturalist's miscellany (1789–1813) by George Shaw: an assessment of the dating of the parts and volumes,,Archives of Natural History,,,33,2,322-343
"Gheerardyn, H., F. Fiers, M. Vincx & M. De Troch. (2006). Peltidiphonte gen. n., a New Taxon of Laophontidae (Copepoda: Harpacticoida) from Coral Substrates of the Indo-West Pacific Ocean. <em>Hydrobiologia.</em> 553(1): 171-199.","Gheerardyn, H., F. Fiers, M. Vincx & M. De Troch",2006,"Peltidiphonte gen. n., a New Taxon of Laophontidae (Copepoda: Harpacticoida) from Coral Substrates of the Indo-West Pacific Ocean",,Hydrobiologia,,,553,1,171-199
"De Mesel, I.; Derycke, S.; Swings, J.; Vincx, M.; Moens, T. (2006). Role of nematodes in decomposition processes: Does within-trophic group diversity matter?. <em>Marine Ecology Progress Series.</em> 321: 157-166.","De Mesel, I.; Derycke, S.; Swings, J.; Vincx, M.; Moens, T.",2006,Role of nematodes in decomposition processes: Does within-trophic group diversity matter?,,Marine Ecology Progress Series,,,321,,157-166
"Eryilmaz, L.; Dalyan, C. (2006). First record of <i>Apogon queketti</i> Gilchrist (Osteichthyes: Apogonidae) in the Mediterranean Sea. <em>Journal of Fish Biology.</em> 69(4): 1251-1254.","Eryilmaz, L.; Dalyan, C.",2006,First record of <i>Apogon queketti</i> Gilchrist (Osteichthyes: Apogonidae) in the Mediterranean Sea,,Journal of Fish Biology,,,69,4,1251-1254
