String,Authors,Year,Title,bookTitle,SeriesTitle,publishers,City,Volume,Issue,Pagination
"<b>Fehse, D.; Vicián, Z.</b> (2020). Contributions of the knowledge of the Triviidae, XL: Closing a gap, <b><i>in</i></b>: Herrmann, M. (Ed.) <i>News on cowries and related families. Acta Conchyliorum,</i> 19: pp. 114-120","Fehse, D.; Vicián, Z.",2020,"Contributions of the knowledge of the Triviidae, XL: Closing a gap",News on cowries and related families,Acta Conchyliorum,,,,,114-120
"<b>Rûscak, M.; Perng, T.P.</b> (1993). Pitting of Fe-Mn-Al alloys in NaCl solution. <i>Journal of Marine Science and Technology 1(1)</i>: 1-5","Rûscak, M.; Perng, T.P.",1993,Pitting of Fe-Mn-Al alloys in NaCl solution,,Journal of Marine Science and Technology,,,1,1,1-5
"<b>Woodroffe, C.D.</b> (2007). The natural resilience of coastal systems: primary concepts, <b><i>in</i></b>: McFadden, L. <i>et al.</i> (Ed.) <i>Managing coastal vulnerability.</i> pp. 45-60","Woodroffe, C.D.",2007,The natural resilience of coastal systems: primary concepts,Managing coastal vulnerability,,,,,,45-60
"<b>Paxton, J.R.</b> (1979). Nominal genera and species of lanternfishes (Family Myctophidae). <i>Contrib. Sci.: Natur. Hist. Mus. Los Angeles County 322</i>: 1-28","Paxton, J.R.",1979,Nominal genera and species of lanternfishes (Family Myctophidae),,Contributions in Science. Natural History Museum Los Angeles County,,,322,,1-28
"<b>von Rothenburg, D.</b> (2006). Aquatic and oceanic science information in the life sciences databases - an integrated solution from Ovid to find ALL relevant information you search!, <b><i>in</i></b>: Konjevic, S. <i>et al.</i> <i>Open Waters - Open Sources: 11th Biennial Conference of the European Association of Aquatic Sciences Libraries and Information Centres (EURASLIC), 4-6th May 2005, Split, Croatia.</i> pp. 211-215","von Rothenburg, D.",2006,Aquatic and oceanic science information in the life sciences databases - an integrated solution from Ovid to find ALL relevant information you search!,"Open Waters - Open Sources: 11th Biennial Conference of the European Association of Aquatic Sciences Libraries and Information Centres (EURASLIC), 4-6th May 2005, Split, Croatia",,,,,,211-215
"<b>Mastrototaro, F.; D'Onghia, G.; Corriero, G.; Matarrese, A.; Maiorano, P.; Panetta, P.; Gherardi, M.; Longo, C.; Rosso, A.; Sciuto, F.; Sanfilippo, R.; Gravili, C.; Boero, F.; Taviani, M.; Tursi, A.</b> (2010). Biodiversity of the white coral bank off Cape Santa Maria di Leuca (Mediterranean Sea): an update. <i>Deep-Sea Res., Part II, Top. Stud. Oceanogr. 57(5-6)</i>: 412-430. <a href=""https://hdl.handle.net/10.1016/j.dsr2.2009.08.021"" target=""_blank"">https://hdl.handle.net/10.1016/j.dsr2.2009.08.021</a>","Mastrototaro, F.; D'Onghia, G.; Corriero, G.; Matarrese, A.; Maiorano, P.; Panetta, P.; Gherardi, M.; Longo, C.; Rosso, A.; Sciuto, F.; Sanfilippo, R.; Gravili, C.; Boero, F.; Taviani, M.; Tursi, A.",2010,Biodiversity of the white coral bank off Cape Santa Maria di Leuca (Mediterranean Sea): an update,,"Deep-Sea Research, Part II. Topical Studies in Oceanography",,,57,5-6,412-430
"(2010). Observations coordination group, third session, Paris, France, 9-11 March 2009. <i>JCOMM Meeting Report</i>, 66. WMO/IOC: [s.l.].  vii, 10 + annexes pp.",,2010,"Observations coordination group, third session, Paris, France, 9-11 March 2009",,JCOMM Meeting Report,"WMO, IOC",,66,,"vii, 10 + annexes"
"<b>Rist, S.; Dahdouh-Guebas, F.</b> (2006). Ethnosciences - A step towards the integration of scientific and indigenous forms of knowledge in the management of natural resources for the future. <i>Environ. Dev. Sustain. 8(4)</i>: 467-493. <a href=""https://dx.doi.org/10.1007/s10668-006-9050-7"" target=""_blank"">https://dx.doi.org/10.1007/s10668-006-9050-7</a>","Rist, S.; Dahdouh-Guebas, F.",2006,Ethnosciences - A step towards the integration of scientific and indigenous forms of knowledge in the management of natural resources for the future,,"Environment, Development and Sustainability",,,8,4,467-493
"<b>Philippart, C.J.M.</b> (1994). Effecten van verschuivingen van nutriëntenconcentraties op biota in de Nederlandse kustwateren: fluctuaties in nutriënten en organismen in de Nederlandse kustwateren. <i>BEON Rapport = BEON-report</i>(1). [S.n.]: [s.l.].  105 pp.","Philippart, C.J.M.",1994,Effecten van verschuivingen van nutriëntenconcentraties op biota in de Nederlandse kustwateren: fluctuaties in nutriënten en organismen in de Nederlandse kustwateren,,BEON Rapport = BEON-report,,,,1,105
FAO statistical development series. Food and Agriculture Organization of the United Nations: Rome.  ISSN 1014-3378,,1986,FAO statistical development series,,,Food and Agriculture Organization of the United Nations,Rome,,,
"<b>Van Waerebeek, K.; Félix, F.; Haase, B.; Palacios, D.M.; Mora-Pinto, D.M.; Munoz-Hincapie, M.</b> (1998). Inshore records of the striped dolphin, <i>Stenella coeruleoalba</i>, from the Pacific Coast of South America. <i>Rep. Int. Whal. Commn. 48</i>: 525-532","Van Waerebeek, K.; Félix, F.; Haase, B.; Palacios, D.M.; Mora-Pinto, D.M.; Munoz-Hincapie, M.",1998,"Inshore records of the striped dolphin, <i>Stenella coeruleoalba</i>, from the Pacific Coast of South America",,Report of the International Whaling Commission,,,48,,525-532
"<b>Bernaerts, F.; Doumen, C.; Sebrechts, J.; Kupers, L.; Van der Linden, A.; Van den Branden, C.; Decleir, W.</b> (1981). The aerobic metabolism during ontogeny in <i>Artemia</i>. <i>Biol. Jb. Dodonaea 49</i>: 49-56","Bernaerts, F.; Doumen, C.; Sebrechts, J.; Kupers, L.; Van der Linden, A.; Van den Branden, C.; Decleir, W.",1981,The aerobic metabolism during ontogeny in <i>Artemia</i>,,Biologisch Jaarboek (Dodonaea),,,49,,49-56
"<b>Borges, M.F.; Silva, A.; Abaunza, P.; Eltink, A.; Lucio, P.; Walsh, M.; Poulard, J.-C.; Casey, J.; Iversen, S.; Skagen, D.; Sanchez, F.</b> (1996). Changes on horse mackerel (<i>Trachurus trachurus</i>) catch distribution in the Northeast Atlantic. <i>CM Documents - ICES</i>, CM 1996(S:26). International Council for the Exploration of the Sea: Copenhagen.  3 + figures pp.","Borges, M.F.; Silva, A.; Abaunza, P.; Eltink, A.; Lucio, P.; Walsh, M.; Poulard, J.-C.; Casey, J.; Iversen, S.; Skagen, D.; Sanchez, F.",1996,Changes on horse mackerel (<i>Trachurus trachurus</i>) catch distribution in the Northeast Atlantic,,CM Documents - ICES,International Council for the Exploration of the Sea,Copenhagen,CM 1996,S:26,3 + figures
"<b>Hockey, P.A.R.; Bosman, A.L.</b> (1988). Stabilizing processes in bird-prey interactions on rocky shores, <b><i>in</i></b>: Chelazzi, G. <i>et al.</i> (Ed.) <i>Behavioral Adaptation to Intertidal Life: Proceedings of a NATO Advanced Research Workshop on Behavioral Adaptation to Intertidal Life, held May 19-24, 1987, in Castiglioncello, Italy. NATO ASI Series A: Life Sciences,</i> 151: pp. 297-315","Hockey, P.A.R.; Bosman, A.L.",1988,Stabilizing processes in bird-prey interactions on rocky shores,"Behavioral Adaptation to Intertidal Life: Proceedings of a NATO Advanced Research Workshop on Behavioral Adaptation to Intertidal Life, held May 19-24, 1987, in Castiglioncello, Italy",NATO ASI Series A: Life Sciences,,,,,297-315
Revue du droit des industries de réseau. Wolters Kluwer: Mechelen.  ISSN 2295-4406,,,Revue du droit des industries de réseau,,,Wolters Kluwer,Mechelen,,,
"<b>Van Wassenhove, M.; Roggeman, P.; Wens, F.</b> (1986). Bouwen van scheepsmodellen: Bouwen van een model type schip in polyester, IN79. Waterbouwkundig Laboratorium en Hydrologisch Onderzoek: Antwerpen.","Van Wassenhove, M.; Roggeman, P.; Wens, F.",1986,"Bouwen van scheepsmodellen: Bouwen van een model type schip in polyester, IN79",,,Waterbouwkundig Laboratorium en Hydrologisch Onderzoek,Antwerpen,,,
"<b>Ellingsen, K.E.; Gray, J.S.</b> (2002). Spatial patterns of benthic diversity: is there a latitudinal gradient along the Norwegian continental shelf? <i>J. Anim. Ecol. 71</i>: 373-389","Ellingsen, K.E.; Gray, J.S.",2002,Spatial patterns of benthic diversity: is there a latitudinal gradient along the Norwegian continental shelf?,,Journal of Animal Ecology,,,71,,373-389
"<b>Partensky, F.; Hess, W.R.; Vaulot, D.</b> (1999). <i>Prochlorococcus</i>, a marine photosynthetic prokaryote of global significance. <i>Microbiol. Mol. Biol. Rev. 63(1)</i>: 106-127","Partensky, F.; Hess, W.R.; Vaulot, D.",1999,"<i>Prochlorococcus</i>, a marine photosynthetic prokaryote of global significance",,Microbiology and Molecular Biology Reviews,,,63,1,106-127
"<b>Gevaert, F.</b> (1988). Vraagbaak. Terres à affermer à Ostende. <i>Roepsteen CXIII</i>: 3-5","Gevaert, F.",1988,Vraagbaak. Terres à affermer à Ostende,,"Roepsteen: orgaan van de Heemkring ""Ter Cuere""",,,CXIII,,3-5
(2003). De Europese Commissie erkent de rol van vrouwen in de visserij = The European Commission acknowledges women's role in fisheries. <i>Fishing in Europe = Visserij in Europa 17</i>: 3,,2003,De Europese Commissie erkent de rol van vrouwen in de visserij = The European Commission acknowledges women's role in fisheries,,Fishing in Europe = Visserij in Europa,,,17,,3
"<b>Willems, W.</b> (2004). Cladistische analyse van het taxon Trigonostomidae Graff, 1905 (Turbellaria, Platyhelminthes) aan de hand van morfologische data, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>VLIZ Young Scientists' Day, Brugge, Belgium 5 March 2004: book of abstracts. VLIZ Special Publication,</i> 17: pp. 132-133","Willems, W.",2004,"Cladistische analyse van het taxon Trigonostomidae Graff, 1905 (Turbellaria, Platyhelminthes) aan de hand van morfologische data","VLIZ Young Scientists' Day, Brugge, Belgium 5 March 2004: book of abstracts",VLIZ Special Publication,,,,,132-133
"<b>Fidalgo e Costa, P.</b> (1999). Reproduction and growth in captivity of the polychaete <i>Nereis diversicolor</i> O.F. Müller, 1776, using two different kinds of sediment: preliminary assays. <i>Bol. Inst. Esp. Oceanogr. 15(1-4)</i>: 351-355","Fidalgo e Costa, P.",1999,"Reproduction and growth in captivity of the polychaete <i>Nereis diversicolor</i> O.F. Müller, 1776, using two different kinds of sediment: preliminary assays",,Boletin del Instituto Español de Oceanografia,,,15,1-4,351-355
"<b>Vucetic, T.</b> (1961). Some new data on the zooplankton standing crop measurements in the Adriatic = Neki novi podaci o kolicinama zooplanktona u Jadranu. <i>Biljes. Notes Inst. Oceanogr. Ribar. Split 16</i>: [1-7]","Vucetic, T.",1961,Some new data on the zooplankton standing crop measurements in the Adriatic = Neki novi podaci o kolicinama zooplanktona u Jadranu,,Biljeske - Notes,,,16,,[1-7]
"<b>Williams, R.</b> (1985). Vertical distribution of <i>Calanus finmarchicus</i> and <i>C. helgolandicus</i> in relation to the development of the seasonal thermocline in the Celtic Sea. <i>Mar. Biol. (Berl.) 86</i>: 145-149","Williams, R.",1985,Vertical distribution of <i>Calanus finmarchicus</i> and <i>C. helgolandicus</i> in relation to the development of the seasonal thermocline in the Celtic Sea,,Marine Biology,,,86,,145-149
"<b>Pizzochero, A.C.; Michel, L.; Chenery, S.R.; McCarthy, I.D.; Vianna, M.; Malm, O.; Lepoint, G.; Das, K.; Dorneles, P.R.</b> (2018). Use of multielement stable isotope ratios to investigate ontogenetic movements of <i>Micropogonias furnieri</i> in a tropical Brazilian estuary. <i>Can. J. Fish. Aquat. Sci. 75(6)</i>: 977-986. <a href=""https://hdl.handle.net/10.1139/cjfas-2017-0148"" target=""_blank"">https://hdl.handle.net/10.1139/cjfas-2017-0148</a>","Pizzochero, A.C.; Michel, L.; Chenery, S.R.; McCarthy, I.D.; Vianna, M.; Malm, O.; Lepoint, G.; Das, K.; Dorneles, P.R.",2018,Use of multielement stable isotope ratios to investigate ontogenetic movements of <i>Micropogonias furnieri</i> in a tropical Brazilian estuary,,Canadian Journal of Fisheries and Aquatic Sciences = Journal canadien des sciences halieutiques et aquatiques,,,75,6,977-986
"<b>La Rivière, M.; Roumagnac, M.; Garrabou, J.; Bally, M.</b> (2013). Transient shifts in bacterial communities associated with the temperate gorgonian <i>Paramuricea clavata</i> in the Northwestern Mediterranean Sea. <i>PLoS One 8(2)</i>: e57385. <a href=""https://hdl.handle.net/10.1371/journal.pone.0057385"" target=""_blank"">https://hdl.handle.net/10.1371/journal.pone.0057385</a>","La Rivière, M.; Roumagnac, M.; Garrabou, J.; Bally, M.",2013,Transient shifts in bacterial communities associated with the temperate gorgonian <i>Paramuricea clavata</i> in the Northwestern Mediterranean Sea,,PLoS One,,,8,2,e57385
"<b>Klinect, D.A.; Loeffelman, P.H.; Van Hassel, J.H.</b> (1992). A new signal development process and sound system for diverting fish from water intakes. <i>Proc. Am. Power Conf. 54(1-2)</i>: 427-432","Klinect, D.A.; Loeffelman, P.H.; Van Hassel, J.H.",1992,A new signal development process and sound system for diverting fish from water intakes,,Proceedings of the American Power Conference,,,54,1-2,427-432
Journal of Chitin and Chitosan Science. AMER SCIENTIFIC PUBLISHERS: Valencia.  ISSN 2328-7519,,0,Journal of Chitin and Chitosan Science,,,AMER SCIENTIFIC PUBLISHERS,Valencia,,,
"<b>Hasan, H.</b> (2008). First record of <i>Thalamita indistincta</i> Apel & Spiridonov, 1998 (Decapoda, Brachyura, Portunidae) in the Mediterranean. <i>Crustaceana 81(2)</i>: 247-252","Hasan, H.",2008,"First record of <i>Thalamita indistincta</i> Apel & Spiridonov, 1998 (Decapoda, Brachyura, Portunidae) in the Mediterranean",,Crustaceana,,,81,2,247-252
"<b>Veen, P.</b> (1990). Word Perfect : Versie 5.1 : Gebruikersboek. Het Goede Boek: Huizen. ISBN 90-240-0676-7. 768 p. : ill. pp.","Veen, P.",1990,Word Perfect : Versie 5.1 : Gebruikersboek,,,Het Goede Boek,Huizen,,,768 p. : ill.
Psychology of Sport and Exercise. ELSEVIER SCIENCE BV: Amsterdam.  ISSN 1469-0292; e-ISSN 1878-5476,,0,Psychology of Sport and Exercise,,,ELSEVIER SCIENCE BV,Amsterdam,,,
"<b>Kanamatsu, T.; Ikehara, K.; Kawamura, K.; Fujioka, K.</b> (2001). Rock-magnetostratigraphy on cores obtained from the West Philippine Basin: implication for a change of sedimentary environment. <i>JAMSTEC J. Deep Sea Res./JAMSTEC Shinkai Kenkyu 18</i>: 95-101","Kanamatsu, T.; Ikehara, K.; Kawamura, K.; Fujioka, K.",2001,Rock-magnetostratigraphy on cores obtained from the West Philippine Basin: implication for a change of sedimentary environment,,JAMSTEC Journal of Deep Sea Research = JAMSTEC Shinkai Kenkyu,,,18,,95-101
"<b>Claus, S.; Souza Dias, F.; Vanhoorne, B.; De Hauwere, N.; Hernandez, F.</b> (2013). Marine Regions: towards a standard for georeferenced marine names, <b><i>in</i></b>: <i>IMDIS 2013 International Conference on Marine Data and Information Systems 23-25 September, 2013 - Lucca (Italy). Bollettino di Geofisica Teorica ed Applicata: an International Journal of Earth Sciences,</i> 54(Supplement): pp. 200-202","Claus, S.; Souza Dias, F.; Vanhoorne, B.; De Hauwere, N.; Hernandez, F.",2013,Marine Regions: towards a standard for georeferenced marine names,"IMDIS 2013 International Conference on Marine Data and Information Systems 23-25 September, 2013 - Lucca (Italy)",Bollettino di Geofisica Teorica ed Applicata: an International Journal of Earth Sciences,,,,,200-202
"<b>Dulaquais, G.; Boye, M.; Middag, R.; Owens, S.; Puigcorbe, V.; Buesseler, K.; Masqué, P.; De Baar, H.J.W.; Carton, X.</b> (2014). Contrasting biogeochemical cycles of cobalt in the surface western Atlantic Ocean. <i>Global Biogeochem. Cycles 28(12)</i>: 1387-1412. <a href=""https://dx.doi.org/10.1002/2014gb004903"" target=""_blank"">https://dx.doi.org/10.1002/2014gb004903</a>","Dulaquais, G.; Boye, M.; Middag, R.; Owens, S.; Puigcorbe, V.; Buesseler, K.; Masqué, P.; De Baar, H.J.W.; Carton, X.",2014,Contrasting biogeochemical cycles of cobalt in the surface western Atlantic Ocean,,Global Biogeochemical Cycles,,,28,12,1387-1412
"<b>Van Isacker, K.</b> (1963). De Antwerpse dokwerker 1830-1940. De Nederlandsche Boekhandel: Antwerpen.  243 pp.","Van Isacker, K.",1963,De Antwerpse dokwerker 1830-1940,,,De Nederlandsche Boekhandel,Antwerpen,,,243
"<b>Pohlmann, T.; Lenz, W.</b> (2004). Sino-German cooperation in marine science and technology since 1986, <b><i>in</i></b>: Morcos, S. <i>et al.</i> (Ed.) <i>Ocean sciences bridging the millennia: a spectrum of historical accounts.</i> pp. 269-275","Pohlmann, T.; Lenz, W.",2004,Sino-German cooperation in marine science and technology since 1986,Ocean sciences bridging the millennia: A spectrum of historical accounts,,,,,,269-275
"<b>Shroder, J.F. (Ed.)</b> (2013). Treatise on geomorphology. Elsevier/Academic Press: London, San Diego. ISBN 978-01237-4739-6. 6386 pp.","Shroder, J.F. (Ed.)",2013,Treatise on geomorphology,,,"Elsevier, Academic Press","London, San Diego",,,6386
"<b>Shetye, S.R.; Gouveia, A.D.; Shenoi, S.S.C.</b> (1992). Does winter cooling lead to the subsurface salinity minimum off Saurashtra, India?, <b><i>in</i></b>: Desai, B.N. (Ed.) <i>Oceanography of the Indian Ocean.</i> pp. 617-625","Shetye, S.R.; Gouveia, A.D.; Shenoi, S.S.C.",1992,"Does winter cooling lead to the subsurface salinity minimum off Saurashtra, India?",Oceanography of the Indian Ocean,,,,,,617-625
"<b>Jiankang, H.</b> (1999). Study of the MSA, nssSO<sub>4</sub><sup>2-</sup> concentration and MSA to nssSO<sub>4</sub><sup>2-</sup> ratio in the snow/ice and atmospheric aerosols of the regions surrounding the Weddell Sea. <i>Chin. J. Polar Sci. 10(1)</i>: 10-18","Jiankang, H.",1999,"Study of the MSA, nssSO<sub>4</sub><sup>2-</sup> concentration and MSA to nssSO<sub>4</sub><sup>2-</sup> ratio in the snow/ice and atmospheric aerosols of the regions surrounding the Weddell Sea",,Chinese Journal of Polar Science,,,10,1,10-18
"<b>McClintock, J.</b> (2015). A naturalist goes fishing: casting in fragile waters from the Gulf of Mexico to New Zealand's South Island. St. Martin's Press: New York. ISBN 978-1-137-27990-3. 268 pp.","McClintock, J.",2015,A naturalist goes fishing: casting in fragile waters from the Gulf of Mexico to New Zealand's South Island,,,St. Martin's Press,New York,,,268
"<b>Gabrielsen, K.J.; Johansen, R.A.</b> (2008). Exploring the unknown: collecting Arctic marine organisms in a search for unique, novel compounds. <i>MarBEF Newsletter 8</i>: 24-25","Gabrielsen, K.J.; Johansen, R.A.",2008,"Exploring the unknown: collecting Arctic marine organisms in a search for unique, novel compounds",,MarBEF Newsletter,,,8,,24-25
"<b>Klausing, D.</b> (2008). Jef Klausing.......Terugblik. <i>De Plate 37(3)</i>: 61-62","Klausing, D.",2008,Jef Klausing.......Terugblik,,"De Plate: Tijdschrift Heemkundige Kring ""De Plate""",,,37,3,61-62
"<b>Leote, C.; Mulder, L.; Epping, E.</b> (2014). A budget of bioavailable inorganic phosphorus in the sediment for the western Wadden Sea. <i>J. Sea Res. 87</i>: 79-90. <a href=""http://dx.doi.org/10.1016/j.seares.2013.12.009"" target=""_blank"">dx.doi.org/10.1016/j.seares.2013.12.009</a>","Leote, C.; Mulder, L.; Epping, E.",2014,A budget of bioavailable inorganic phosphorus in the sediment for the western Wadden Sea,,Journal of Sea Research,,,87,,79-90
"<b>Vandemaele, S.; Torreele, E.</b> (2011). Annex 9: Belgian self-sampling programme, <b><i>in</i></b>: ICES <i>Report of the Study Group on Practical Implementation of Discard Sampling Plans (SGPIDS) 27 June-1 July 2011, ICES Headquarters, Denmark. CM Documents - ICES,</i> 2011/ACOM: 50: pp. 108","Vandemaele, S.; Torreele, E.",2011,Annex 9: Belgian self-sampling programme,"Report of the Study Group on Practical Implementation of Discard Sampling Plans (SGPIDS) 27 June-1 July 2011, ICES Headquarters, Denmark",CM Documents - ICES,,,,,108
"<b>Wilkie, I.C.</b> (1996). Mutable collagenous tissues: extracellular matrix as mechano-effector, <b><i>in</i></b>: Jangoux, M. <i>et al.</i> <i>Echinoderm Studies, volume 5. Echinoderm Studies,</i> 5: pp. 61-102","Wilkie, I.C.",1996,Mutable collagenous tissues: extracellular matrix as mechano-effector,"Echinoderm Studies, volume 5",Echinoderm Studies,,,,,61-102
"<b>Taylor, I.R.; Taylor, S.G.</b> (2005). Foraging behavior of Pied oystercatchers in the presence of kleptoparasitic Pacific gulls. <i>Waterbirds (De Leon Springs Fla.) 28(2)</i>: 156-161","Taylor, I.R.; Taylor, S.G.",2005,Foraging behavior of Pied oystercatchers in the presence of kleptoparasitic Pacific gulls,,Waterbirds,,,28,2,156-161
"(1989-2001). De chemische kwaliteit van baggerspecie in de Westerschelde en in de Zeeschelde, 11. Vlaamse Milieumaatschappij (VMM): Erembodegem.",,1989,"De chemische kwaliteit van baggerspecie in de Westerschelde en in de Zeeschelde, 11",,,Vlaamse Milieumaatschappij (VMM),Erembodegem,,,
"<b>Conover, R.J.; Mayzaud, P.</b> (1976). Respiration and nitrogen excretion of neritic zooplankton in relation to potential food supply, <b><i>in</i></b>: Persoone, G. <i>et al.</i> (Ed.) <i>Proceedings of the 10th European Symposium on Marine Biology, Ostend, Belgium, Sept. 17-23, 1975: 2. Population dynamics of marine organisms in relation with nutrient cycling in shallow waters.</i> pp. 151-163","Conover, R.J.; Mayzaud, P.",1976,Respiration and nitrogen excretion of neritic zooplankton in relation to potential food supply,"Proceedings of the 10th European Symposium on Marine Biology, Ostend, Belgium, Sept. 17-23, 1975: 2. Population dynamics of marine organisms in relation with nutrient cycling in shallow waters",,,,,,151-163
"<b>Wybouw, R.</b> (1909). Over Belgische badsteden. A. Hoste: Gent. 14 pp.","Wybouw, R.",1909,Over Belgische badsteden,,,A. Hoste,Gent,,,14
"<b>Devogel, G.; Velghe, M. (Ed.)</b> (2016). De Belgische zeevisserij 2015 - Bedrijfsresultaten: Economische resultaten van de Belgische rederijen. Departement Landbouw en Visserij: Brussel.  34 pp.","Devogel, G.; Velghe, M. (Ed.)",2016,De Belgische zeevisserij 2015 - Bedrijfsresultaten: Economische resultaten van de Belgische rederijen,,,Departement Landbouw en Visserij,Brussel,,,34
"(2002). Nosy Be to Baie d'Antsiranana including Recif du Geyser and Iles Glorieuses. 2002 (1). The UK Hydrographic Office, Taunton, Somerset TA1 2DN, United Kingdom: London.  1 pp.",,2002,Nosy Be to Baie d'Antsiranana including Recif du Geyser and Iles Glorieuses,,,"The UK Hydrographic Office, Taunton, Somerset TA1 2DN, United Kingdom",London,,,1
Residue Reviews. Springer: New York etc..  ISSN 0080-181X,,1962,Residue Reviews,,,Springer,New York etc.,,,
"(2005). Abstracts of the 35th WEFTA meeting 19-22 September 2005, Antwerp, Belgium. CLO-Gent, Sea  Fisheries Department/RIVO: Ijmuiden. 141 pp.",,2005,"Abstracts of the 35th WEFTA meeting 19-22 September 2005, Antwerp, Belgium",,,"CLO-Gent, Sea  Fisheries Department, RIVO",Ijmuiden,,,141
"<b>Corsini-Foka, M.; Kondylatos, G.</b> (2015). First occurrence of <i>Actaeodes tomentosus</i> (H. Milne Edwards, 1834) (Brachyura: Xanthidae: Actaeinae) in the Mediterranean Sea. <i>Mediterr. Mar. Sci. 16(1)</i>: 201. <a href=""https://hdl.handle.net/10.12681/mms.1113"" target=""_blank"">https://hdl.handle.net/10.12681/mms.1113</a>","Corsini-Foka, M.; Kondylatos, G.",2015,"First occurrence of <i>Actaeodes tomentosus</i> (H. Milne Edwards, 1834) (Brachyura: Xanthidae: Actaeinae) in the Mediterranean Sea",,Mediterranean Marine Science,,,16,1,201
