String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination,DOI,,
"Dana, J.D. (1852). United States Exploring Expedition, during the years 1838, 1839, 1840, 1841, 1842. Under the command of Charles Wilkes, U.S.N.: XIII. Crustacea, part I. <em>Printed by C. Sherman: Philadelphia.</em> viii, 685 pp.","Dana, J.D.",1852,"United States Exploring Expedition, during the years 1838, 1839, 1840, 1841, 1842. Under the command of Charles Wilkes, U.S.N.: XIII. Crustacea, part I.",,Printed by C. Sherman: Philadelphia,,,,,"viii, 685",,,
"Beneden, P.J. van. (1853). Note sur un nouveau genre de Crustacé parasite (Pagodina). <em>Bulletin de l'Académie Royale de Belgique.</em> 20(1):482-487, pl. 1.","Beneden, P.J. van",1853,Note sur un nouveau genre de Crustacé parasite (Pagodina).,,Bulletin de l'Académie Royale de Belgique,,,20,1,"482-487, pl. 1.",,,
"Beneden, P.J. (1853). Note sur un nouveau genre de Crustacé parasite, Eudactylina. <em>Mémoires de l'Académie Royal des Sciences, des Lettres et des Beaux-Arts de Belgique.</em> 20: 235-239.","Beneden, P.J.",1853,"Note sur un nouveau genre de Crustacé parasite, Eudactylina.",,"Mémoires de l'Académie Royal des Sciences, des Lettres et des Beaux-Arts de Belgique",,,20,,235-239,,,
"Mulsant, É.; Rey, C. (1853). Description de quelques coléoptères nouveaux ou peu connus, de la tribu des brachélytres. <em>Opuscules Entomologiques Deuxième cahier.</em> 35-85, pl. I-II.","Mulsant, É.; Rey, C",1853,"Description de quelques coléoptères nouveaux ou peu connus, de la tribu des brachélytres.",,Opuscules Entomologiques Deuxième cahier,,,,,"35-85, pl. I-II",,,
"Beneden, P.J. van. (1854). Notice sur un nouveau genre de Siphonostome (genre Congéricole) habitant les branchies du Congre. <em>Bulletin de l'Académie Royale de Belgique.</em> 21(2):583-589, pl. 1.","Beneden, P.J. van",1854,Notice sur un nouveau genre de Siphonostome (genre Congéricole) habitant les branchies du Congre.,,Bulletin de l'Académie Royale de Belgique,,,21,2,"583-589, pl. 1",,,
"Thomson, C.G. (1857). Arter af slägtet Omalium, funna i Sverige. <em>Öfvers. K. Vetensk.-Akad. Förh.</em> 13(1856)</i>: 223-228.","Thomson, C.G.",1857,"Arter af slägtet Omalium, funna i Sverige",,Öfvers. K. Vetensk.-Akad. Förh.,,,13,1856,223-228,,,
"Motschoulsky, V. (1858). Énumération des nouvelles espèces de Coléoptères rapportés de ses voyages. <em>Bulletin de la Société Impériale des Naturalistes de Moscou.</em> XXXI(III): 204-264.","Motschoulsky, V.",1858,Énumération des nouvelles espèces de Coléoptères rapportés de ses voyages,,Bulletin de la Société Impériale des Naturalistes de Moscou,,,XXXI,III,204-264,,,
"Müller, F. (1858). Einiges über die Annelidenfauna der Insel Santa Catharina an der brasilianischen Küste. <em>Archiv für Naturgeschichte, Berlin.</em> 24(1): 211-220, plates VI-VII. (Aus einer brieflichen Mittheilung an Prof. Grube).","Müller, F.",1858,Einiges über die Annelidenfauna der Insel Santa Catharina an der brasilianischen Küste,,"Archiv für Naturgeschichte, Berlin",,,24,,"211-220, plates VI-VII",,,
"Nägeli, C.; Cramer, C. (1858). Die Stärkekörner: Morphologische, physiologische, chemisch-physicalische und systematisch-botanische Monographie. <em>Pflanzenphysiologische.</em> pls XI-XXVI.","Nägeli, C.; Cramer, C.",1858,"Die Stärkekörner: Morphologische, physiologische, chemisch-physicalische und systematisch-botanische Monographie.",,Pflanzenphysiologische,,,,,pls XI-XXVI.,,,
"Hodge, G. (1863). Descriptions of two new species of Pycnogonoidea. <em>Annals and Magazine of Natural History.</em> 19(3): 463-464.","Hodge, G.",1863,Descriptions of two new species of Pycnogonoidea,,Annals and Magazine of Natural History.,,,19,3,463-464,,,
"Rye, E.C. (1864). Coleoptera. New British species, corrections, &c., noticed since the publication of the Entomologist's Annual, 1863. <em>The Entomologist's Annual for... MDCCCLXIV.</em> 30-86.","Rye, E.C.",1864,"Coleoptera. New British species, corrections, &c., noticed since the publication of the Entomologist's Annual, 1863.",,The Entomologist's Annual for... MDCCCLXIV,,,,,30-86,,,
"Malm, A.W. (1865). Ichthyologiska Bidrag till Skandinaviens fauna. <em>Förhandlingar vid de Skandinaviske Naturforskarnes.</em> 9: 405-414.","Malm, A.W.",1865,Ichthyologiska Bidrag till Skandinaviens fauna,,Förhandlingar vid de Skandinaviske Naturforskarnes,,,9,,405-414,,,
"Sars, G.O. (1866). II. Beretning om en i Sommeren 1865 foretagen zoologisk Reise ved Kysterne af Christianias og Christiansands Stifter. <em>Nyt Magazin for Naturvidenskaberne.</em> 15: 84-128.","Sars, G.O",1866,II. Beretning om en i Sommeren 1865 foretagen zoologisk Reise ved Kysterne af Christianias og Christiansands Stifter,,Nyt Magazin for Naturvidenskaberne,,,15,,84-128,,,
Liénard E. (1870). Description d'espèces nouvelles provenant de l'Ile Maurice. <em>Journal de Conchyliologie.</em> 18: 304-305.,Liénard E.,1870,Description d'espèces nouvelles provenant de l'Ile Maurice,,Journal de Conchyliologie,,,18,,304-305,,,
"Sowerby, G. B., II. (1870). Descriptions of forty-eight new species of shells. <em>Proceedings of the Zoological Society of London.</em> 1870: 249-259 [publ. November].","Sowerby, G. B., II",1870,Descriptions of forty-eight new species of shells,,Proceedings of the Zoological Society of London,,,1870,,249-259,,,
"Sars, G. O. (1872). Carcinologiske Bidrag til Norges fauna. I. <em>Monographi over de ved Norges Kyster forekommende Mysider. Pt. 2 Christiania, K. Norske, Videnskab. Trondhjem.</em> 34, plates VI-VIII pp.","Sars, G. O.",1872,Carcinologiske Bidrag til Norges fauna. I.,,"Monographi over de ved Norges Kyster forekommende Mysider. Pt. 2 Christiania, K. Norske, Videnskab. Trondhjem",,,,,"34, plates VI-VIII",,,
"Wagner, N. (1872). Nouveau groupe d'Annelides. <em>Trudy Obsch.estest St.Petersburg.</em> 3: 344-347, Plate 33, fig.8-11.","Wagner, N.",1872,Nouveau groupe d'Annelides,,Trudy Obsch.estest St.Petersburg,,,3,,"344-347, Plate 33, fig.8-11.",,,
"Sars, G. O. (1872). Undersøgelser over Hardangerfjordens fauna I. <em>Förhadlingar i Videnskabsselskabet i Christiania.</em> 1871: 246-286.","Sars, G. O.",1872,Undersøgelser over Hardangerfjordens fauna I,,Förhadlingar i Videnskabsselskabet i Christiania,,,1871,,246-286,,,
"Sowerby, G. B., II. (1873). Descriptions of five new cones. <em>Proceedings of the Zoological Society of London.</em> 1873: 145-146, pl. 15.","Sowerby, G. B., II",1873,Descriptions of five new cones,,Proceedings of the Zoological Society of London,,,1873,,"145-146, pl. 15.",,,
"Sars, G.O. (1873). Bidrag til Kundskaben om Dyrelivet paa vore Havbanker. <em>Forhandlinger i Videnskaps-Selskapet i Christiania.</em> 1872, 73-119.","Sars, G.O.",1873,Bidrag til Kundskaben om Dyrelivet paa vore Havbanker,,Forhandlinger i Videnskaps-Selskapet i Christiania,,,1872,,73-119,,,
"Lyman, T. (1874). Ophiuridae and Astrophytidae: new and old. <em>Bulletin of the Museum of Comparative Zoölogy at Harvard College.</em> 3: 221-272, 7 pls.","Lyman, T.",1874,Ophiuridae and Astrophytidae: new and old,,Bulletin of the Museum of Comparative Zoölogy at Harvard College,,,3,,"221-272, 7 pls",,,
"von Willemoes-Suhm, R. (1875). On some Atlantic Crustacea from the Challenger Expedition. <em>Trans. Linn. Soc. of Lond., Zool. I(Part the First).</em> 23-59, plates VI-XIII.","von Willemoes-Suhm, R.",1875,On some Atlantic Crustacea from the Challenger Expedition,,"Trans. Linn. Soc. of Lond., Zool. I(Part the First)",,,,,"23-59, plates VI-XIII",,,
"Sowerby, G. B., III. (1875). Descriptions of ten new species of shells. <em>Proceedings of the Zoological Society of London.</em> 43: 125-129, pl. 24.","Sowerby, G. B., III",1875,Descriptions of ten new species of shells,,Proceedings of the Zoological Society of London,,,43,,"125-129, pl. 24.",,,
"Schulze, F.E. (1876). <i>Tiarella singularis</i>, ein neuer Hydroidpolyp. <em>Zeitschrift für wissenschaftliche Zoologie.</em> 27: 403-416.","Schulze, F.E.",1876,"<i>Tiarella singularis</i>, ein neuer Hydroidpolyp.",,Zeitschrift für wissenschaftliche Zoologie,,,27,,403-416,,,
"de Man, J. G. (1876). Contribution à la connaissance des Nématodes marins du Golf de Naples. <em>Tijdschrift der Nederlandsche Dierkundige Vereeniging.</em> 3: 88-118.","de Man, J. G.",1876,Contribution à la connaissance des Nématodes marins du Golf de Naples,,Tijdschrift der Nederlandsche Dierkundige Vereeniging,,,3,,88-118,,,
"Sars, G.O. (1877). Nye Bidrag til Kundskaben om Middelhavets Invertebratfauna I. Middelhavets Mysider. <em>Arch. Math. Naturvidenskaberne.</em> 2: 10-119, 36pls.","Sars, G.O.",1877,Nye Bidrag til Kundskaben om Middelhavets Invertebratfauna I. Middelhavets Mysider,,Arch. Math. Naturvidenskaberne,,,2,,"10-119, 36pls",,,
"Cooke, M.C.; Quélet, L. (1878). Clavis synoptica mymenomycetum Europaeorum. <em>London.</em> 240pp.","Cooke, M.C.; Quélet, L.",1878,Clavis synoptica mymenomycetum Europaeorum,,London.,,,,,240,,,
"Brady, G.S. (1878). A monograph of the free and semi-parasitic Copepoda of the British Islands. Ray Society, London 1:1-148, pls. 1-33.","Brady, G.S.",1878,A monograph of the free and semi-parasitic Copepoda of the British Islands.,,Ray Society,,London,1,,"1-148, pls. 1-33.",,,
"Sars, G.O. (1879). Extracts from Prof. G.O. Sars's report on the Norwegian Atlantic Expedition of 1876. <em>Report of the Commissioner 1877.</em> 681-692.","Sars, G.O.",1879,Extracts from Prof. G.O. Sars's report on the Norwegian Atlantic Expedition of 1876,,Report of the Commissioner 1877,,,,,681-692,,,
"Tauber, P. (1879). Annulata Danica. En Kritisk Revision af de i Danmark Fundne Annulata Chaetognatha, Gephyrea, Balanoglossi, Discophoreae, Oligochaeta, Gymnocopa og Polychaeta. <em>Reitzel. K benhavn.</em> 1-143.","Tauber, P.",1879,"Annulata Danica. En Kritisk Revision af de i Danmark Fundne Annulata Chaetognatha, Gephyrea, Balanoglossi, Discophoreae, Oligochaeta, Gymnocopa og Polychaeta.",,Reitzel. K benhavn.,,,,,1-143,,,
"Gobi, C. (1879). Berichte über die algologische Forschungen in finnischen Meerbusen im Sommer 1877 ausgeführt. <em>Trudy Leningradskogo obshchestva estestvoispytatelei.</em> 10: 83-92.","Gobi, C.",1879,Berichte über die algologische Forschungen in finnischen Meerbusen im Sommer 1877 ausgeführt,,Trudy Leningradskogo obshchestva estestvoispytatelei,,,10,,83-92,,,
"Watson, R.B. (1879). Mollusca of H.M.S. 'Challenger' Expedition. IV. Trochidae continued, viz. the genera <i>Basilissa</i> and <i>Trochus</i>, and the Turbinidae, viz. the genus <i>Turbo</i>. <em>Journal of the Linnean Society (London).</em> 14: 692-716.","Watson, R.B.",1879,"Mollusca of H.M.S. 'Challenger' Expedition. IV. Trochidae continued, viz. the genera <i>Basilissa</i> and <i>Trochus</i>, and the Turbinidae, viz. the genus <i>Turbo</i>",,Journal of the Linnean Society (London),,,14,,692-716,,,
"Thomson, G.M. (1880). New species of Crustacea from New Zealand. <em>The Annals and Magazine of Natural History.</em> Series 5, 6 (31): 1-6.","Thomson, G.M.",1880,New species of Crustacea from New Zealand,,The Annals and Magazine of Natural History,,,"Series 5, 6",31,1-6,,,
"Van Beneden, E. (1881). Existe-t-il un coelome chez les Ascidiens. <em>Zool. Anz.</em> 4.","Van Beneden, E.",1881,Existe-t-il un coelome chez les Ascidiens,,Zool. Anz.,,,4,,,,,
"Giesbrecht, W. (1881). Vorlaufige Mitteilung aus einer Arbeit uber die freilebenden Copepoden des Kieler Hafens. <em>Zoologischer Anzeiger.</em> 4(83):254-258. (16-v-1881).","Giesbrecht, W.",1881,Vorlaufige Mitteilung aus einer Arbeit uber die freilebenden Copepoden des Kieler Hafens.,,Zoologischer Anzeiger,,,4,83,254-258,,,
"Groves, J. (1881). Notes on plants received. Report. <em>Botanical Society and Exchange Club of the British Isles.</em> 1: 28-42.","Groves, J",1881,Notes on plants received. Report,,Botanical Society and Exchange Club of the British Isles,,,1,,28-42,,,
"Jullien, J. (1882). Note sur une nouvelle division des Bryozoaires cheilostomiens. <em>Bull. Soc. Zool. Fr.</em> 6: 271-285.","Jullien, J.",1882,Note sur une nouvelle division des Bryozoaires cheilostomiens,,Bull. Soc. Zool. Fr.,,,6,,271-285,,,
"Keller, C. (1883). Die Fauna im Suez Kanal und die Diffusion der mediterranen und erythraischen Thierwelt. Eine thiergeographische Untersuchung. <em>Neue Denkschriften der allgemeinen Schweizerischen Gesellschaft fur die gesammten Naturwissenschaften.</em> 28 (2): 1-39.","Keller, C.",1883,Die Fauna im Suez Kanal und die Diffusion der mediterranen und erythraischen Thierwelt. Eine thiergeographische Untersuchung.,,Neue Denkschriften der allgemeinen Schweizerischen Gesellschaft fur die gesammten Naturwissenschaften,,,28,2,1-39,,,
"Sars, G. O. (1883). Preliminary notices on the Schizopoda of H.M.S. Challenger Expedition. <em>Forhandl. Vidensk. Selsk. Christiania.</em> 1883, 7: 1-43.","Sars, G. O.",1883,Preliminary notices on the Schizopoda of H.M.S. Challenger Expedition,,Forhandl. Vidensk. Selsk. Christiania,,,7,,1-43,,,
"Sars, G.O. (1885). Crustacea. I. <em>Den Norske Nordhavs-Expedition, 1876-1878 (Norwegian North Atlantic Expedition 1876-1878), Zoology 6.</em> 14:1-280, pls. 1-21, map 1. [Copepods 234-240].","Sars, G.O.",1885,Crustacea. I.,,"Den Norske Nordhavs-Expedition, 1876-1878 (Norwegian North Atlantic Expedition 1876-1878), Zoology 6",,,14,,"1-280, pls. 1-21, map 1. [Copepods 234-240]",,,
"Sars, G. O. (1885). Report on the Schizopoda collected by H.M.S. Challenger during the years 1873-1876. <em>Report on the Scientific Results of the Voyage of H.M.S. Challenger during the years 1873–76. Zoology.</em> 13 (part 37): 1-228, pl. 1-38.","Sars, G. O.",1885,Report on the Schizopoda collected by H.M.S. Challenger during the years 1873-1876.,,Report on the Scientific Results of the Voyage of H.M.S. Challenger during the years 1873–76. Zoology,,,13,part 37,"1-228, pl. 1-38",,,
"Hincks, T. (1886). XXVI.— The Polyzoa of the Adriatic: a Supplement to Prof. Heller's ‘Die Bryozoen des adriatischen Meeres,' 1867. <em>Journal of Natural History Series 5.</em> 17(99): 254-271.","Hincks, T.",1886,"XXVI.— The Polyzoa of the Adriatic: a Supplement to Prof. Heller's ‘Die Bryozoen des adriatischen Meeres,' 1867",,Journal of Natural History Series 5,,,17,99,254-271,10.1080/00222938609460142,,
"Haeckel, E. (1887). Report on the Radiolaria collected by H.M.S. Challenger during the years 1873-76. <em>Report on the Scientific Results of the Voyage of H.M.S. Challenger during the years 1873–76. Zoology.</em> 18 (part 40): i-clxxxviii <small>[188]</small>, 1-1803, pl. 1-140.","Haeckel, E.",1887,Report on the Radiolaria collected by H.M.S. Challenger during the years 1873-76,,Report on the Scientific Results of the Voyage of H.M.S. Challenger during the years 1873–76. Zoology,,,18,part 40,"i-clxxxviii <small>[188]</small>, 1-1803, pl. 1-140",,,
"Dautzenberg, P.; d'Hamonville, L. (1887). Description d'espèces nouvelles du Tonkin et observations sur quelques autres Mollusques de la même région. <em>Journal de Conchyliologie.</em> 35: 213-225.","Dautzenberg, P.; d'Hamonville, L.",1887,Description d'espèces nouvelles du Tonkin et observations sur quelques autres Mollusques de la même région,,Journal de Conchyliologie,,,35,,213-225,,,
"Sowerby, G. B., III. (1888). Description of sixteen new species of shells. <em>Proceedings of the Zoological Society of London.</em> 1888: 207-213, pl. 11.","Sowerby, G. B., III",1888,Description of sixteen new species of shells.,,Proceedings of the Zoological Society of London,,,1888,,"207-213, pl. 11",,,
"Fischer, P. (1889). Nouvelle contribution à l actinologie française. <em>Actes de la Société linnéenne de Bordeaux.</em> 43(5): 251-309.","Fischer, P.",1889,Nouvelle contribution à l actinologie française.,,Actes de la Société linnéenne de Bordeaux,,,43,5,251-309,,,
"Keller, C. (1889). Die Spongienfauna des rothen Meeres (I. Hälfte). <em>Z. wiss. Zool.</em> 48: 311-405, pls XX-XXV.","Keller, C.",1889,Die Spongienfauna des rothen Meeres (I. Hälfte),,Z. wiss. Zool.,,,48,,"311-405, pls XX-XXV",,,
"Casey, T. L. (1890). II.-Coleopterological Notices. I. Annals of the New York Academy of Sciences. 5(1): 39-198.","Casey, T. L.",1890,II.-Coleopterological Notices. I,,Annals of the New York Academy of Sciences,,,5,1,39-198,10.1111/j.1749-6632.1890.tb57003.x,,
"Wood-Mason, J.; Alcock, A. (1891). Natural history notes from H.M. Indian marine survey steamer 'Investigator', Commander R.F. Hoskyn, R.N., commanding. No. 21. Note on the results of the last season's deep-sea dredging [concl.]. <em>Annals and Magazine of Natural History.</em> (6)34: 258-272.","Wood-Mason, J.; Alcock, A.",1891,"Natural history notes from H.M. Indian marine survey steamer 'Investigator', Commander R.F. Hoskyn, R.N., commanding. No. 21. Note on the results of the last season's deep-sea dredging [concl.]",,Annals and Magazine of Natural History,,,6,34,258-272,,,
"Wood-Mason J, Alcock A. (1891). Natural history notes from H.M. Indian marine survey steamer 'Investigator', Commander R.F. Hoskyn, R.N., commanding. No. 21. Note on the results of the last season's deep-sea dredging. <em>Annals and Magazine of Natural History, Series 6.</em> 7 (37): 1-19, (38) 186-202.","Wood-Mason J, Alcock A",1891,"Natural history notes from H.M. Indian marine survey steamer 'Investigator', Commander R.F. Hoskyn, R.N., commanding. No. 21. Note on the results of the last season's deep-sea dredging",,"Annals and Magazine of Natural History, Series 6",,,7,37,"1-19, (38) 186-202",,,
"Dautzenberg P. (1891). Contribution  la faune malacologique du Golfe de Gascogne. <em>Mémoires de la Société Zoologique de France.</em> 4: 604-619, pl. 16-17.",Dautzenberg P.,1891,Contribution  la faune malacologique du Golfe de Gascogne,,Mémoires de la Société Zoologique de France,,,4,,"604-619, pl. 16-17",,,
"Kallstenius, E. (1892). Eine neue Art der Oligochaetengattung Amphichaeta. <em>Biologiska Foereningens förhandlingar.</em> iv, pp. 42-55, 5 figg.","Kallstenius, E.",1892,Eine neue Art der Oligochaetengattung Amphichaeta,,Biologiska Foereningens förhandlingar,,,iv,,"42-55, 5 figg.",,,
"Dautzenberg, Ph. (1893). Contribution à la faune malacologique des Ïles Séchelles: récoltes de MM. Ch. Alluaud, A. Fauvel et Philibert. <em>Bull. Soc. Zool. Fr.</em> XVIII: 78-84.","Dautzenberg, Ph.",1893,"Contribution à la faune malacologique des Ïles Séchelles: récoltes de MM. Ch. Alluaud, A. Fauvel et Philibert",,Bull. Soc. Zool. Fr.,,,XVIII,,78-84,,,
"Dautzenberg, Ph. (1893). Description d'un Perideris nouveau provenant du Dahomey. <em>J. conchyliol.</em> XLI: 33-34, plate I.","Dautzenberg, Ph.",1893,Description d'un Perideris nouveau provenant du Dahomey,,J. conchyliol.,,,XLI,,"33-34, plate I",,,
"Dautzenberg, Ph. (1893). Description d'une nouvelle espèce du genre Littorina provenant des côtes de la Tunisie. <em>J. conchyliol.</em> XLI: 35-36, plate I.","Dautzenberg, Ph.",1893,Description d'une nouvelle espèce du genre Littorina provenant des côtes de la Tunisie,,J. conchyliol.,,,XLI,,"35-36, plate I",,,
"Dautzenberg, Ph. (1893). Liste des Mollusques marins recueillis à Granville et à Saint-Pair. <em>J. conchyliol.</em> XLI: 16-30.","Dautzenberg, Ph.",1893,Liste des Mollusques marins recueillis à Granville et à Saint-Pair,,J. conchyliol.,,,XLI,,16-30,,,
"Lendenfeld, R. von. (1894). Eine neue <i>Pachastrella</i>. <em>Sitzungsberichte der Kaiserlichen Akademie der Wissenschaften. Mathematisch-Naturwissenschaftliche Classe.</em> 103: 439-442, pl. I.","Lendenfeld, R. von",1894,Eine neue <i>Pachastrella</i>.,,Sitzungsberichte der Kaiserlichen Akademie der Wissenschaften. Mathematisch-Naturwissenschaftliche Classe,,,103,,"439-442, pl. I.",,,
"Wilson, H.V. (1894). Observations on the gemmule and egg development of marine sponges. <em>Journal of Morphology.</em> 9: 277-406, pls XIV-XXV.","Wilson, H.V.",1894,Observations on the gemmule and egg development of marine sponges.,,Journal of Morphology,,,9,,"277-406, pls XIV-XXV",,,
"Sowinsky, V. (1894). Sur les crustacés de la Mer d'Azov = ???????????? ????????? ????. <em>Zapiski Kievskago obshchestva estestvoispytatele = Mémoires de la Société des Naturalistes de Kieff.</em> 13: 289-406.","Sowinsky, V.",1894,Sur les crustacés de la Mer d'Azov = ???????????? ????????? ????.,,Zapiski Kievskago obshchestva estestvoispytatele = Mémoires de la Société des Naturalistes de Kieff,,,13,,289-406,,,
"Huxley, T.H. & Pelseneer, P. (1895). Report on the specimen of the genus Spirula collected by H.M.S. Challenger. <em>Report on the Scientific Results of the Voyage of H.M.S. Challenger during the years 1873–76. Zoology.</em> Summary volume (part 83): 1-32, pl. 1-6.","Huxley, T.H. & Pelseneer, P.",1895,Report on the specimen of the genus Spirula collected by H.M.S. Challenger.,,Report on the Scientific Results of the Voyage of H.M.S. Challenger during the years 1873–76. Zoology,,,Summary volume,part 83,"1-32, pl. 1-6",,,
